"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Tucson","AZ","Tucson","Pima",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,113000,118500,120000,123000,119900,119900,121250,118000,117500,115000,119900,119000,119900,123988,127500,125000,123000,121999,121999,115000,117000,120000,124900,125000,125000,127500,128450,129000,128000,125000,125000,126500,119900,119900
"Portland","OR","Portland","Multnomah",27,250000,250000,249900,245000,245750,245000,249000,240000,239900,214000,199900,209900,199900,2e+05,199700,191700,195000,189100,204900,210000,215000,207000,2e+05,189900,199900,199600,204900,219500,210000,211000,220000,225000,216000,237500,232500,239000,259900,265000,266900,249900,242900,249000,239000,243500,239900,249900,239900,239900,249000,268745,275000,269900,261950,279000,291000,298250,290000,277263,264900,269000,290000,299000,309950.5,299700,299900,299000,299000,289913,295000,308000,319900,325000,309900,315000,325000,329950,337250,349000,349000,349900,365000
"Omaha","NE","Omaha","Douglas",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217950,219900,224975,225000,225000,224750,218200,211500,194900,205000,202500,199900,194999,191500,205000,216450,199900,212500,215000,236950,240000,218000,215000,217000,217000,247500,229000,214500,229900,223500,222000,222000,222000,215000,221000,222000
"Albuquerque","NM","Albuquerque","Bernalillo",29,128599,130000,133900,139900,139444.5,136995,138990,137450,139900,130000,130000,130000,129500,128900,128950,126750,126900,129900,127950,130000,130000,130000,116500,112500,112500,109900,115000,115000,117950,116450,112000,114900,99950,105000,118500,116500,115000,120995,125500,125000,119900,126000,118500,119000,127700,124900,115000,118700,119900,125000,129542,129950,129700,126900,129000,119900,124500,115000,119900,122000,118450,120000,129950,134900,135000,134900,134950,133750,129900,129900,135000,135000,124875,135000,139900,139000,139250,144965,151885,134000,142000
"Fresno","CA","Fresno","Fresno",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98749.5,115000,115000,119500,125000,139900,133000,135000,133950,124800,115250,129950,123266,118900,118900,104900,115000,119900,122000,137500,155000,140000,152000,149900,151000,139995,151000,151500,133975,129995,139900
"Mesa","AZ","Phoenix","Maricopa",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,124250,124500,123875,127500,129900,129900,128950,125500,125000,127800,129900,128900,125500,129900,134972,132000,129900,126500,120000,122500,134900,139900,139900,144900,144950,149500,149500,145000,139900,139950,136200,135000,135000,142000
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289900,299000,299900,299500,285000,299000,299939.5,319900,315000,312450,325000,299949.5,305249.5,299900,338888,320000,309000,315000,319450,320000,325000,335000,339000,334950,329900,329000,339000,339000,351500,362449.5,359499.5,359995,361999.5,370000,359000
"Kansas City","MO","Kansas City","Jackson",33,192906.5,175000,170000,172308,170900,169900,170950,178250,174900,174900,174500,174900,171475,165000,169900,165000,159000,157297.5,159000,159900,165000,159000,159000,167000,170000,159450,168492.5,170000,166242.5,149250,145000,144900,150000,149900,162450,160000,158835,162000,155000,164900,159000,154450,155000,152500,159950,169975,168000,168000,161160,169500,170000,169950,174000,160000,159975,169900,162000,160000,164892.5,168900,164900,165000,177500,172500,169000,170700,175000,194900,198250,199500,216250,219000,225000,232475,211975,199995,199150,195000,205000,194450,192500
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",34,183000,183000,185000,192900,192000,190000,188750,184900,185000,182250,179000,178950,177000,175000,172700,169900,172000,169900,170000,174000,175000,175000,169000,165000,161900,163000,164999,160950,164900,165900,165000,165900,159000,159000,169900,170000,167700,169900,179900,195000,189000,185000,190000,185000,188900,185000,189000,189900,189000,195000,199000,199000,204700,2e+05,205000,199950,198700,197750,195000,190000,199900,205000,205000,212000,215000,212000,208000,205000,201000,199999,199000,194450,190000,196450,199900,199990,205450,214000,209900,199900,2e+05
"Colorado Springs","CO","Colorado Springs","El Paso",35,132000,132900,130000,131750,128352,128370,125900,125000,122900,118000,110000,110000,113450,114900,109900,113500,115000,119900,119900,115000,111500,112950,111900,108950,114000,1e+05,1e+05,102450,104900,109000,110950,103000,1e+05,104500,119000,114950,124900,124950,120000,119900,120500,120000,119850,120000,119700,118750,115000,119500,120000,123000,122450,123000,125000,130000,127500,124900,118525,120000,124900,124000,137500,135200,129950,129900,144900,145000,142950,135000,137900,138900,134900,142250,148500,149900,146500,157500,155450,154950,159900,162450,159900
"Atlanta","GA","Atlanta","Fulton",36,189900,189000,184949.5,179900,179900,177126,175000,179612.5,172500,165000,159900,155000,151900,150000,150000,149900,145900,142000,144900,144900,144900,149900,145000,141900,145900,145000,145000,149900,154950,154900,149900,149900,159000,159900,169900,169500,170000,175000,175000,175000,175000,175000,175000,175000,174500,175000,174900,175000,179000,184900,189450,194900,190000,194900,194950,195000,197000,199900,199900,196000,195900,199900,199900,2e+05,2e+05,209749.5,2e+05,220000,225000,225000,220000,219900,219900,225000,225000,232850,239900,236250,239000,238500,245000
"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",37,239000,239000,232000,235000,250000,240000,245000,239000,247000,229900,239000,235000,239000,269900,260000,259450,284713,285000,290700,290700,299000,299999.5,320000,328900,314697,305000,320000,330000,339500,348971,340452,348471,393515,348000,360000,375000,399000,390000,389000,380000,379000,385000,399000,380000,385000,387888.5,399900,399000,4e+05,399000,395000,399000,399000,399000,399000,399900,409900,410000,425000,429000,425000,425000,425000,420000,409500,409900,429900,439000,449000,449994.5,459900,469000,459900,458450,449000,450000,449000,449000,449000,440000,440000
