"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Pittsfield","MA","Pittsfield","Berkshire",137,159900,159900,159900,157000,159000,149900,149900,149000,149900,149900,153950,154900,149900,139900,139900,139900,139900,139900,139000,139000,136000,138000,138500,136000,136000,129950,135000,139450,139950,139000,139000,139000,137000,136000,132450,120950,125000,110950,127450,133900,133900,134450,136000,119997.5,119947.5,119900,119900,114000,114900,119900,119900,114000,107500,110000,118000,124000,129500,130000,128700,122700,123950,123950,129000,125000,124900,129900,129950,136950,139000,132400,129900,129900,129900,129900,119200,126900,129900,129450,129900,129900,129900
"York","PA","York","York",138,65000,64200,64200,61750,61750,61750,67700,64900,64900,69900,77000,74200,69900,61900,69900,62450,61000,64000,64950,69900,68900,66500,69000,69000,69500,65000,66000,69900,69900,69900,69900,69900,67000,69900,69900,69900,69900,69900,74700,69950,69900,74900,74900,74950,74900,69900,69900,69900,69950,70000,74900,69950,65500,69900,69900,64900,63950,62900,62900,62500,55000,62500,62500,62900,65450,62450,62200,64900,59900,59900,64900,65000,67900,65450,64700,63700,68950,65900,64900,66450,65900
"Taunton","MA","Providence","Bristol",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,229000,199900,199900,217350,225000,229450,234500,244900,229000,245000,229900,244900,244450,249900,239000,257400,237000,244900,247450,259000,259900,264000,269000,259950,254900,254900,257400,252450,259950,254450,249900,249900
"Woonsocket","RI","Providence","Providence",140,150000,149950,149900,142900,142900,139900,139900,137810,139900,139900,139900,139000,127900,128900,129900,131900,139900,139900,139900,129900,125999,119000,112450,110000,109900,119950,119000,119950,127000,110000,119900,109888,101400,103950,119450,109900,122160,110000,119320,117000,121450,120000,125600,119900,120000,119000,119900,119999,119900,119900,112500,119000,124900,124950,129900,139621,139900,139999,139000,119900,119900,112125,111000,114050,119949.5,125000,129900,130000,132450,134900,139900,129450,129900,119450,119950,125000,124900,122900,124950,127400,133500
"Fitchburg","MA","Worcester","Worcester",141,144900,137450,119000,129000,129000,129900,129900,135000,125000,124700,125000,119000,119900,129900,129950,119900,119900,120000,124950,124950,135950,135000,125000,124900,119950,122450,122450,125000,125000,124900,125000,124950,125000,125000,131900,129900,119900,119900,119900,124900,139900,137450,144950,139949.5,139900,139900,139900,142350,144900,144900,142900,137950,139950,139900,139900,139900,135000,135000,139900,135000,134900,134900,132400,134900,145000,139900,149000,149900,142000,149900,149900,143450,143450,142000,134900,133000,139000,149900,144900,144900,149000
"Wilkes-Barre","PA","Scranton","Luzerne",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,89900,89900,94900,1e+05,88900,79000,81449.5,79499.5,81449.5,84950,88900,89900,86000,85000,85000,85000,85000,86500,86500,83200,79900,77450,74995,76000,89250,87750,89000,89900,95000,98500,94000,95000,89900,83450,79900,74950,69950,69950,69900,76500,78500,78750,75900,74900
"Tonawanda","NY","Buffalo","Erie",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112450,121250,120000,119900,114999.5,119900,119900,119900,116950,116450,115000,114950,119900,117450,118500,119900,120958.5,119950
"Naples","FL","Naples","Collier",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,329900,329000,329900,329000,315000,330000,347500,349000,339000,349000,349000,319900,332495,337495,319000,282450,291950,284900,310000,350000
"Covington","KY","Cincinnati","Kenton",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87450,87250,87250,85000,79900,79500,82450,79500,79700,84500,84700,89900,93500,82500,89900,89850,88350
"Norristown","PA","Philadelphia","Montgomery",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119000,119950,125000,125000,129000,129450,127450,122500,116000,116500,118500,118500,119000,119450
"Lewiston","ME","Lewiston","Androscoggin",147,145000,145000,142500,139900,139950,140000,143500,145000,142500,139735,134000,125000,125000,125000,127450,115000,125000,125000,127900,133765,126450,125000,125000,121500,120750,119950,131250,129000,121500,119000,119500,113750,120500,116500,122450,115000,110000,109900,115000,115000,115000,120000,119000,119000,115000,130000,127000,127500,119500,122250,131500,126450,125000,132000,129000,121000,117325,125000,125000,125000,125000,125000,124900,126250,129900,135500,131450,127500,123450,129000,128250,122450,122400,114900,110000,110000,121000,115000,112450,121000,115000
"Jamestown","NY","Jamestown","Chautauqua",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42000,42250,42000,44999.5,47000,46500,48250,46850,45000,45850,44000,41950,43900,39950,39900,39350,39800,39900,39000,39900,39900,44500,44900,39800,39000,39350,39800,39800,39450,42300,43500,41100,39900,42100,39350,34900,34900,36200,34900,34900,34200,37500,34200
"Town of Watertown","NY","Watertown","Jefferson",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,118000,118000,118000,118000,118000,118000,118750,116500,106450,115000,101900,120000,119950,122000,120000,131900,115000,116750,105000,119000,109900,109900,118000,114900,114900,114900,117950,118950,119000,119000,114950,114900,115700,113500,109450,109900,110000,109900,109900,110000,99000,98490
"Long Beach","NY","New York","Nassau",150,559000,574990,550000,533750,539000,545000,548000,579000,589000,598000,584000,579000,579000,579000,549000,549000,549000,548500,591900,579000,595000,591900,614500,599000,599000,597000,532450,571500,569000,544000,539000,529000,549000,539000,519000,499000,485000,499000,499000,572000,572000,572000,572000,569000,569000,575000,559000,554450,572000,579000,569000,579000,559000,550000,550000,550000,549000,549000,549500,569000,549000,549000,569000,569000,569000,599000,559500,579000,575000,582000,575000,576000,549500,549000,562250,549745,594000,569000,599000,599000,639000
"Shaker Heights","OH","Cleveland","Cuyahoga",151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107400,89950,89900,102325,96825,110000,122500,125000,125000,119000,110500,112500
"Auburn","NY","Auburn","Cayuga",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71500,69900,69900,69900,69900,69900,69900,73500,79000,79700,79000,69900,79250,79000,79450,77500,78900,78200
