"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Syracuse","NY","Syracuse","Onondaga",180,71900,72500,72500,78000,78000,76000,72700,75999.5,75000,75000,74950,75000,75000,75000,79200,79900,79949.5,84000,84900,84900,84900,79900,79900,79900,79000,79900,79900,79945,79900,79900,79788.5,79900,79900,80000,80000,79900,77700,75000,79500,84900,88750,89900,84900,81249.5,79999,79900,79000,77000,74900,74700,79250,83750,85000,88450,85275,84900,85000,84900,79900,76950,76950,79000,82450,82700,88500,89000,84500,79900,75000,74900,74900,72500,69900,68700,72900,79900,82250,84900,82950,79900,79900
"Salem","OR","Salem","Marion",181,196750,195000,189500,189000,189000,189900,189950,189900,193500,185000,169945,169900,165000,165000,160778,155000,149500,149900,155000,159900,159900,154945,152000,149900,149900,149900,155000,155000,154900,150000,149000,149900,149900,150000,159900,157900,159000,164900,169000,179500,184945,192900,199900,199999,199900,195900,195000,195000,189900,195000,199950,209900,209900,214925,212999.5,215000,217000,209900,209900,209900,215000,215000,213250,215000,219900,225000,223900,229900,229000,229900,234550,231000,229900,235000,235000,239900,240000,240000,239900,239900,239900
"Hollywood","FL","Miami-Fort Lauderdale","Broward",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263500,246450,239000,244450,248250,249900,250000,250000,248850,239650,240000,239900,240000,249999,239900,259000,265000,249900,249000,249900,250000,260000,259900,264950,269900,280000,299649.5,299000,299400,299900,314900,319000,325000,330000,345000
"Paterson","NJ","New York","Passaic",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159000,159950,159900,161900,159947.5,172500,169900,171000,165000,164999.5,159000,159000,159000,159000,160000,166450,159900,160000,170000,169450,159900,155800,159900,154500,150500,150000,149900,150000,154000,149900,149900,149000,149000,154900
"Lakewood","CO","Denver","Jefferson",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302500,305000,309900,319000,319900,339250,339900,339900,339900,338500,350000,350000,345000,339450,350000,364975,369500,384500,389900,389000,389000,385000,399950,389900,395000,403750,415000,419000,415000,399000,414925,419000,409000,409900,410000
"Alexandria","VA","Washington","Alexandria City",185,549999,549450,549995,549900,549900,547000,569325,569825,624900,599000,593950,609950,586900,619000,6e+05,599000,594500,576950,585000,549000,575000,550000,546450,519000,547500,549995,579900,649000,649900,635000,615000,605000,650000,689000,704450,689900,729000,727890,727890,729900,749400,775000,789499.5,772450,750000,779000,725000,774900,769900,792000,799945,798950,799000,795000,779000,759250,779450,767400,799886,763967.5,775000,799900,762500,752499.5,769000,767444,739000,749250,749000,730000,745000,764995,762350,759900,795000,779000,772450,785000,749990,749990,799000
"Dayton","OH","Dayton","Montgomery",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,43000,43900,45000,45000,49900,49900,49900,50000,49900,47900,45825,42900,39900,44900,47250,49900,49900,49900,49900,49700,45000,45000,45000,44900,42250,43450,42900,45000,49000,49900,47550,45000,45450,49900
"Yuma","AZ","Yuma","Yuma",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162300,174000,169900,179000,180000,189000,184900,185350,189900,182000,179900,177750,179900,179949.5,180000,185000,177000,180000,199000,195000,189900,189900,189900,189900,187000,180000,180000,175000,175900,178400,179500,179950,183743,185000,185000
"Visalia","CA","Visalia","Tulare",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198500,199900,195900,2e+05,209900,219000,215000,229500,235750,234995,239000,234000,229900,209980.5,218750,229792,235495,239000,238500,240495,245000,247900,249000,249900,249831.5,239900,239000,249000,250000,256750,264900,265000,260000,263250,264295
"Odessa","TX","Odessa","Ector",189,135000,134900,134900,137250,135500,137500,135900,139900,138900,135500,139900,139900,139900,139900,139500,139900,139500,139700,139900,142000,145000,139900,139900,139900,135700,137500,139900,140990,149000,150700,149900,155000,160000,149900,152500,149000,150000,155000,153900,144500,149000,155000,168500,169700,179900,179900,179900,180000,184950,189200,186750,189900,199900,194900,189900,199900,192400,2e+05,205000,199950,199900,196964,199500,199000,195000,193000,190950,189900,194950,199000,195700,185000,189000,185000,188250,189900,189925,187500,184950,180000,183950
