"RegionName","State","Metro","CountyName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Parker","CO","Denver","Douglas",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.02,16.3,20.57,23.87,24.02,20.87,31.11,37.5,27.84,24.79,26.83,23.56,18.78,19.31,17.51,17.68,20.59,26.52,15.57,27.91,17.82,8.59,13.66,6.63,10.39,11.45,7.3,2.94,4.11,7.83,6.45,3.41,6.41,3.33,2,1.92,1.27,0.54,1.27,3.7
"Longmont","CO","Boulder","Boulder",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.82,52.83,45.45,43.42,34.21,36.26,34.25,36.49,40.3,41.54,39.62,36.67,35.16,23.08,29.79,24,11.97,19.33,13.89,10.23,14.29,12.7,18.75,20,16.92,5.88,7.41,9.57,3.81,8.26,6.67,4,6.59,3.41,7.41,3.51,2.73,3.36,7.14,3.07,2.26,3.12,3.2,2.68,3.66,2.3,2.17,1.82,1.25,2.22,6.12,4.5,1.2,1.85,3.92
"Maryville","TN","Knoxville","Blount",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.15,19.12,14.93,24.53,18.6,29.69,23.75,22.58,20.34,23.33,29.31,39.39,28.3,14.49,26.37,25.64,10.87,21.62,29.17,21.13,19.05,18.07,26.15,31.67,23.81,26.67,17.39,23.76,16,20.51,21.33,27.5,25.4,23.94,18.52,29.55,16.85,29.9,26.96,20.75,23.36,24.49,13.56,16.67,13.25,28.09,20.97,18.97,28.7,16.67,20.51,25.78,13.28,16.36,14.41,10.66,13.64,18.75,19.48,19.05,17.02,17.02,14.66,15.18,18.75,14.29,4.88
"Largo","FL","Tampa","Pinellas",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.94,24.56,29.63,30.14,27.59,39.13,36.21,28.85,33.33,21.57,26.92,28.12,30.16,24.56,22.95,29.41,34,31.03,16.92,20.51,21.15,29.73,31.94,26.67,21.51,14.46,26.76,27.4,24.56,25.49,12.68,14.29,12.9,9.64,20.25,10.71,14.89,17.39,10.2,15.38
"Asheville","NC","Asheville","Buncombe",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.24,29.41,17.31,30.19,32.61,27.38,18.56,18.56,26.47,20.72,23.91,23.17,20,23.4,17.72,24.69,16.33,15.45,17.91,15.75,18.4,14.09,19.19,15.83,22.11,17.44,17.81,19.44,12.37,7.61,15.08,15.91,7.97,13.45,14.14,15.89,12.24,12.75,18.84,12.99,16.39,11.83,10,10.91,6.75,15.7,7.32,9.52,17.39,3.77,8.14,11.48,6.06,10.26,7.87,3.77,1.19,8.62,13.46
"Weston","FL","Miami-Fort Lauderdale","Broward",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.57,43.18,36.36,36.36,42.62,42.25,45.65,45.83,42.19,34.85,36.9,34.62,36.94,27.59,38.16,39.13,33.87,28.57,39.68,35.85,30.77,21.52,29.07,27.84,19.05,17.98,23.08,20.65,12.33,13.33,16.67,12.5,20.37,13.7,17.65,18.75,14.71,10.39,16.67,13.16,14.89,18.18,17.39,20.75,10,13.85,11.25,13.27,11.43,15.96,15.87,20.83,15.69,19.78,20.41,10.42,5.56,20.27,20.62,8.75,10.87,10.87,9.68
"Venice","FL","North Port-Sarasota-Bradenton","Sarasota",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,38.71,29.51,32.45,23.15,25.44,28.48,27.43,25.25,32.39,25.15,36.42,36.36,25.75,33.8,35.26,29.91,15.84,21.24,17.16,15.7,19.21,25.67,15.17,18.71,18.71,14.4,16.67,11.32,13.04,13.25,17.07,21.43,13.11,13,12.5,7.14
"Tamarac","FL","Miami-Fort Lauderdale","Broward",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,48.28,48.84,45.45,41.12,31.52,42.98,36.19,35.48,40.37,37.5,39.78,32.88,47.37,35.14,27.27,39.8,35.29,25.58,26.14,22.64,29.17,30.14,33.75,38.57,27.27,23.6,33.33,29,25.69,16.98,21.11,19.47,20,23.46,20.35,22.03,21.84,24.18,20.72,18.18,15.94,20,18.31,15
"Jupiter","FL","Miami-Fort Lauderdale","Palm Beach",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.83,30.67,36.67,32.54,36.43,25.64,27.78,27.35,26.92,19.81,28.95,28.21,24.56,17.04,22.39,20.71,18.94,19.83,13.93,18.8,8.99,13.6,14.47,24.66,10.68,19.21,14.65,18.37,17.24,14.96,16.67,15.31,7.95,7.48,8.43,17.07,19.53,13.01,16.26,16.67,15.29,8,10.42
"Kissimmee","FL","Orlando","Osceola",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,40.82,42.45,42.05,50,46.15,35.82,48.57,36.14,49.45,47.22,38.78,35.42,27.27,38.78,36.08,33.33,37.65,35.38,41.43,37.21,38.78,26.32,30.5,28.33,27,32.94,24.19,29.03,27.36,30.3,32.39,31.37,33.61,29.91,33.93,26.79,26.96,32.14
"Lake Havasu City","AZ","Lake Havasu City","Mohave",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,18.95,20.78,23.29,27.63,25.97,22.95,13.21,27.69,21.82,32.08,29.69,20.41,27.54,26.44,19.72,20.9,13.56,20.63,18.18,10.34,23.08,18.97,11.76,26.47,15.79,14.81,19.35,14.47,18.64,7.69,18.87,18.57,11.32,9.09,17.31,13.56,17.95,12.62,6.25,11.76,15,6.52,12.5
"Delray Beach","FL","Miami-Fort Lauderdale","Palm Beach",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.23,36.41,43.31,52.99,50.55,49.34,42.77,49.8,46.21,55.93,50.4,48.87,51.8,46.7,48.78,44.83,53.52,47.71,52.28,53.85,59.09,59.3,49.01,47.53,52.21,55.32,57.59,55.28,54.55,51.34,50.42,45.54,41.97,47.31,39.89,44.59,43.48,41.01,44.51,41.84,39.36,40.66,34.98,32.92,32.7,34.17,33.81,33.33,24.76,29,29.49,31.08,23.58,24.14,24.47,27.23,22.17,17.21,19.03,25.75,24.71,23.61,22.22,18.4,15.35,15.29,16.73,17.08,24.46,13.85,15.76,16.2,15.66,13.43,24.22,13.77,13.21,13.67,16.59,11.02,15.08,12.5,18.18
"Prescott","AZ","Prescott","Yavapai",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,32.47,40.62,46.88,33.9,25.93,29.79,36.36,26.32,34.33,29.49,22.22,15.29,22.5,28.99,21.62,13.11,13.85,17.65,28.89,19.23,15.52,20.25,22.54,22.37,15.87,14.67,17.91,15.28,18.97,20,26.47,13.85,16.87,16.67,20.48,10.84,17.39,18.75,19.23,13.64,21.21,14.81,18.52,12.31,14.08,23.17,11.58,12.9,14.85,11.86
"Seminole","FL","Tampa","Pinellas",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.53,30.69,30.67,21.14,27.94,16.3,26.03,30.59,24.07,37.35,27.45,25.86,30,36.47,34.25,33.71,20.83,30.26,25.68,19.75,29.82,35.92,24.32,16.67,30.26,27.47,22.64,15.62,20,22.35,17.65,11.36,11.54,18.18,18.97,12.68,17.78,16.85,17.02,13.41,17.02,14.81,14.29
"Richland","WA","Kennewick","Benton",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54,8.93,9.72,10.77,5.88,12.9,10.64,6.06,15.28,15.15,11.32,12.2,11.84,11.59,9.84,18.06,10.91,9.68,15.91,12.28,13.64,10.64,22.58,14.58,19.64,9.23,15.07,10.29,18.06,6.98,6.9,3.41,6.25,2.17,6.82,0,8.33,5.68,6.17,1.16,2.61,1.12,7.5,1.14,1.75,2.63,10,7.5,1.35,1.33,1.04,2.08,4.6,0,1.45
"Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.23,35.73,36.96,39.11,32.46,39.33,33.44,29.93,28.07,29.32,28.1,30.71,29.47,24.68,25.9,26.36,23.29,28.1,23.39,26.59,20.91,22.16,21.85,21.55,18.63,19.8,17.38,18.59,14.51,20.52,18.18,15.85,18.47,16.32,16.02,18.25,19.49,14.99,19.4,14.37,16.27,14.67,12.99,12.75,11.88,12.23,12.66,12.73,10.75,13.81,16.76
"Manassas","VA","Washington","Prince William",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.78,19.32,20.22,24.39,20.56,19.15,21.74,21.35,17.72,23.68,18.84,10.2,15.62,10.96,14.74,15.79,9.09,10.34,14.29,19.48,12.86,14.29,18.52,11.76,13.24,13.7,21.05,13.27,14.75,16.5,14.43,23.75,17.39,16.46,17.24,18.84,21.69,12.9,15.08,18.89,12.9,13.85,5.71
"Palm Beach Gardens","FL","Miami-Fort Lauderdale","Palm Beach",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.93,31.82,30,32.14,23.81,29.59,27.34,20.34,26.67,26.19,27.45,23.85,21.11,22.34,16.24,22.97,22.97,21.09,22.73,16.18,17.83,16.9,23.93,25.55,24.04,18.81,24.39,24.1,20.35,19.49,21.9,16.26,17.65,17.91,11.43,15.38
"Sun City","AZ","Phoenix","Maricopa",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.05,30.3,35.34,33.33,28.79,25.56,30.38,20.63,22.22,25.37,14.63,24.18,20.2,26.36,25.49,26.37,28.17,20.73,13.54,20,14.29,14.71,22,25,16.43,17.12,13.89,17.54,24.73,11.11,21.78,14.08,17.82,14.16,13.51,13.98,12.74,8.76,15.22,14.96,13.27,15.73,20.9
