"RegionID","RegionName","County","State","Metro","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
6181,"New York","Queens","NY","New York",1,4.77052162401547,4.54545454545454,4.54752254115312,4.7804041991002,4.61925009663703,5,4.99961448431174,4.84949832775919,4.76190476190477,4.95710650672483,5.3968253968254,5.07936507936508,4.88095238095239,5.01792114695341,4.90196078431373,5.25547445255474,5.26506998143067,4.98582116568119,4.48934347760367,4.3010752688172,4.18410041841004,4.25531914893616,4.18410041841004,4.28877988963826,4.32345876701361,4.36828006311695,4.32692307692307,4.55318522689462,4.62487275262318,4.40251572327044,4.44455555555555,4.28568010202861,4.4543429844098,4.54310910967258,4.16666666666666,4.16,4.27051671732522,4.16666666666666,4.2571306939123,4.34741020613133,4.36681222707423,4.43262411347518,4.17536534446764,4.18410041841004,4.27906976744186,4.17536534446764,4,4.00734691419567,4.19289054533947,4.39560439560439,4.16840350145894,4.22264875239923,4.44938820912124,4.01808237977034,4.02673112795421,4.52261306532663,4.50859330513664,4.13793103448276,4.13663469017371,3.84615384615384,4.34782608695652,4.30148103063501,4.44444444444444,4.17536534446764,4.41176470588235,4.25758502707724,4.32345876701361,4.2,4.16666666666666,4.17275356464416,4.1025641025641,4.01204014454613,4.2688267059401
12447,"Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim",2,5.07196919453187,5.16343519494205,5.07936507936508,5.58659217877095,5.19469387673455,5.27704485488126,4.98099619923985,4.98599439775911,4.76595744680851,4.77793919269482,4.77326968973747,4.75649227638316,5,5,5.0259067357513,5.3340445392719,4.8,4.91618537822228,4.65332712889717,4.58428506167199,4.20681135225376,4.52261306532663,3.94261867839071,4.71824245505937,4.04131290467442,4.17536534446764,3.84615384615384,4.1478615946701,4.07964601769912,3.74061729962518,4.25622472866567,4.00534045393859,4.54586784374018,4.01606425702812,3.84850304510425,3.29004329004329,3.52941176470588,3.59550561797752,3.71481759328721,3.6979969183359,3.22997416020672,2.92689891490577,3.125,2.68364630548961,2.94985250737463,3.08166409861325,2.87563053005871,2.89971346704871,2.86532951289399,3.0505540166205,3.23325635103926,3.19223985890653,3.13513513513514,2.6829268292683,2.80855032985033,3.33612575523964,3.0935452276012,2.55863539445629,2.96296296296297,2.83127576867649,3.01515451515751,2.91278317152103,3.01364089053521,2.85800171583091,3.00375469336671,2.60846682086058,2.97337195377118,2.92366341727235,3.02016823755954,3.02729452734798,2.87671232876713,2.78551532033426,2.67657689928034
17426,"Chicago","Cook","IL","Chicago",3,4.54545454545454,4.2571306939123,4.74376071632692,5.00250125062531,5.26592943654555,4.60674157303371,4.44444444444444,4.34782608695652,4.19392073874567,4.35729847494554,4.55357142857142,4.53878242718681,4.54545454545454,4.76190476190477,5.05050505050505,5.73986308583465,5.22630657664416,5.00736377025037,4.44691495275152,4.34783553879345,4.5662100456621,4.23296637083593,4.46428571428571,4.5662100456621,4.35189212701174,4.44444444444444,4.94337471650667,5.51181102362205,4.78468899521531,4.61894038165224,4.35573098312835,4.23079227123078,4.11015215277595,4.09978429559907,4.02808943510431,3.74067164179104,3.70507595405706,3.54297338531955,4.00801603206413,5.45945945945946,4.34877167766703,4.2407660738714,3.76569037656904,3.75718929732433,3.42607495976086,3.33377783704494,3.50877192982456,3.51422600104498,3.44896551724138,3.45429977490115,3.72593148287071,4.54545454545454,4.23076923076923,4.08163265306123,3.57145408181487,3.54297338531955,3.42857142857143,3.29032258064517,3.33889816360601,3.33444481493831,3.34448160535117,3.33889816360601,3.44456803856136,4,3.41453106669484,3.34821428571429,3.36134453781513,3.30110036678893,3.24193548387097,3.20661379351573,3.13479623824452,3.12152004454343,3.10679611650485
39051,"Houston","Harris","TX","Houston",4,4.23361467360897,4.49690837549185,4.76190476190477,5,4.58333333333333,4.78359908883826,4.48033320230498,4.53428506167199,4.36681222707423,4.61538461538461,4.9049049049049,4.99604133677807,5.41580245270393,4.43064278052819,4.59770114942529,5.01002004008017,4.81927710843374,4.85714285714286,4.82887951242381,3.89791267228593,4.76190476190477,4.37773608505316,4.71427004917885,5,4.65116279069767,4.71781116390114,4.55583229555832,4.7945205479452,4.35161009573543,4.71151082410101,4.93427319489427,4.00667779632721,3.52941176470588,3.65853658536586,4.00333889816361,4.28043735224586,4,4,3.584229390681,4.28724599203513,4.52173913043479,3.68671423717296,4.52261306532663,3.77026501652303,3.87186880068758,4.004004004004,3.54010025062657,4.34971809134597,3.88349514563107,4,3.8560411311054,4.44454321207138,3.34696913350688,4.15525114155251,3.33333333333333,4.37391304347826,4.08204081632653,3.54748941318814,3.58315947145991,3.63636363636364,3.64551390343429,3.57142857142857,3.37606837606838,3.23232323232323,3.57142857142857,3.74975819426555,3.86100386100386,3.61598276148374,3.18879134521592,3.80504489097905,3.4494653328734,2.97576005024096,3.47356284856285
13271,"Philadelphia","Philadelphia","PA","Philadelphia",5,4.61220499148685,4.34924437021835,4.23239707579839,4.95867768595041,4.87762694991184,4.17014178482068,4.00548696844993,3.84911470361817,3.84615384615384,3.92233786413742,4.11071526445601,4.16,3.85085374113285,4.03853278992219,4.35283854069068,4.34782608695652,4.08673894912427,4.00320256204964,4,4.00320256204964,4.16840350145894,3.92270739360717,4.17014178482068,4.16840350145894,4.0008,4.34971726837755,4,4.21052631578948,4.60674157303371,4.00320256204964,4.17014178482068,4.09510367026752,3.84911470361817,3.77429717159198,4.17014178482068,4.0016006402561,4.0016006402561,3.86100386100386,3.84615384615384,4.26829268292683,4.04448938321537,4.53623971186006,4.08580183861083,3.70507595405706,3.84911470361817,3.57398141529665,3.84911470361817,3.9226116349779,3.4453781512605,3.75,3.63855421686747,4,4.16173605786859,4.14354477726339,4.0016006402561,3.38636506836368,3.63967242948134,3.41535050831166,3.70507595405706,3.92310710082385,3.64329091960671,3.63745892661556,3.84911470361817,4.16289948978824,4.16666666666666,4.17014178482068,3.82939122673457,3.74531835205992,3.72170180091491,3.7074074074074,3.56551330524234,3.82576787170427,3.6697247706422
40326,"Phoenix","Maricopa","AZ","Phoenix",6,8.69565217391305,7.14285714285714,7.14285714285714,6.98649884317636,7.7120822622108,6.66666666666667,7.33333333333334,6.79937865838211,6.66666666666667,6.54511453950444,5.005005005005,5.36659238657891,5.43640485035479,5.76808713263273,5.80187298800117,6.00240096038416,5.86498551477951,4.49742718349921,3.23160826177767,4.03822146941413,3.0314460414516,4.97180194450513,4.18410041841004,3.86694537922903,4.74697562167777,4.93506493506494,5.16929439131558,4.73853890759293,4.41826215022091,3.55484101464809,3.97628458498024,3.78380312996828,3.84689377571255,4.16666666666666,3.57398141529665,3.23387096774194,3.09519117067402,3.37912578055308,3.1205227975656,3.69747899159664,3.03951367781155,3.125,2.77777777777778,2.5,2.89855072463768,2.6345962273852,2.80165891385978,3.33444518567934,2.85755107872553,2.88129496402878,2.7507641011392,3.50949612737403,2.84701114488349,2.60107955464694,2.49512475623781,2.6410003441551,2.75862068965518,2.24604448520982,2.70596448692207,2.99145299145299,2.56317689530686,2.33444497379705,2.66270585782781,2.54237288135594,2.50125062531266,2.54237288135594,2.27904391328516,2.10526315789473,2,1.92307692307693,2.01005025125628,2.10042791600494,1.86629680701328
18959,"Las Vegas","Clark","NV","Las Vegas",7,6.99300699300699,7.41015292534937,7.42380999245481,8.1799591002045,7.69230769230769,7.4514495723332,8.40385695562629,7.84615384615385,8.30645193162731,8.76986462625073,7.55032051282051,8.23773753855338,6.79611650485437,6.97167755991286,6.99502832697422,7.57963008766867,5.91715976331361,6.60377358490566,6.34384158701569,6.20663265306122,6.61841128433556,6.71333333333333,5.45235097741448,6.8,5.12098049497617,5.58659217877095,5.38461538461539,5.74572127139364,5.91397849462365,5.96804511278195,5.94202898550724,5.55555555555556,5.34369970406521,5.03597122302159,4.54959053685169,5.40540540540541,4.86301223143328,5.01782938887109,5.67387820950316,5.87915253152403,5.60146923783288,5.32445923460898,4.86772486772487,5.55901449790981,5,4.77175714814837,4.85176518749739,4.07999999999999,4.49438202247191,4.4351817159985,5.00863557858376,4.58372310570627,4.26039536468984,3.72753797702853,3.84615384615384,4.38453159041394,4.14669306655551,4.25532005432342,4.00001142860408,3.69967355821545,3.84713017762859,3.35570469798657,3.48085397502441,4.0650406504065,3.51600440565958,4.00801603206413,4.00228289981671,3.41296928327645,3.85185185185185,3.79055814320676,3.33344445185235,3.55294117647059,3.56742833545773
6915,"San Antonio","Bexar","TX","San Antonio",8,8.65766481334392,6.31578947368421,7.90537780803268,6.40625,5.05050505050505,6.83760683760684,4.76190476190477,4.78434087507252,5.31352109326685,5.22614780679297,5.17241379310345,5.16512076151775,4.14141414141415,5.31914893617022,5.63801048784364,4.78859984569855,4.88182644049623,4.72083908019107,4.27752587903156,3.70370370370371,4.54545454545454,4.48430493273543,4.44234074886026,5.00834724540902,4.36328015673104,4.39613526570048,5.00417362270451,4.83933787731256,3.84937238493723,5.13682902272141,4.54545454545454,5.18518518518518,4.39214165816675,4.4973544973545,4.14215686274509,4.95238095238095,3.61496448197293,4.04498855108316,3.92857142857143,2.53807106598984,5.41055560065326,3.67003367003367,4.78260869565217,4.13793103448276,3.36724288823851,4.40060698027314,3.6979969183359,3.04876672240803,3.07929176289453,3.84615384615384,3.84911470361817,3.37151153411841,3.4281139623886,3.85109114249037,4.16216216216216,1.54423380726699,4.02024300329385,2.5974025974026,3.77358490566038,3.64188163884673,5,4.80549199084668,3.68615060558188,0.153846153846149,5.72362996756994,3.63636363636364,7.00389105058365,3.63636363636364,4.38413361169102,3.84615384615384,2.84167794316644,3.23452484742807,3.81450329620368
54296,"San Diego","San Diego","CA","San Diego",9,4.35667739680729,4.26439232409381,4.11957173084164,4.52173913043479,4.60846846846846,4.16840350145894,4.19392073874567,4.41501103752759,4,4,3.99774774774775,4.00240160115287,3.97532556545579,3.92235356912981,4.0650406504065,4.03560714878981,4.36681222707423,3.73831775700935,4.02633578121043,3.75095648310419,3.47368421052632,3.12727272727272,3.3274801698859,3.61881785283474,3.36634455448185,3.23607898950365,3.38983050847458,3.84907681634479,3.27868852459017,3.2,3.00178463137832,3.33333333333333,3.74108900065602,2.95931399379675,3.08166409861325,3.06406685236769,2.78551532033426,2.71002710027101,2.85918659309217,3.07889799545769,2.55319148936171,2.57400683751623,2.87521564117309,2.5878028363804,2.8133704735376,2.93704030597234,2.50312891113892,2.53164556962026,2.51099446730033,2.5,2.81581053203439,2.63574357285671,2.55323772272925,2.60870018904381,2.7268655613099,2.86144029580976,2.89855072463768,2.78551532033426,2.69333333333334,2.6179604261796,2.62529832935561,2.52368442003025,2.75277323149664,2.56482114376851,2.62759841333601,2.86123032904149,2.52369087778727,2.66684446815131,2.57972086144745,2.73972602739726,2.54787406686141,2.63852242744064,2.35294117647059
38128,"Dallas","Dallas","TX","Dallas-Fort Worth",10,5.06329113924051,4.76758045292014,4.87675753975131,5.45822013047159,4.9049049049049,4.34971726837755,4.35283854069068,4.36974789915966,4.02726289774483,4.34782608695652,4.00240160115287,5.08557494343094,4.44938820912124,3.85542168674698,4.18006430868167,4.94397288216332,4.57629124080789,4.47298074728448,3.97115384615385,4.24657534246575,3.80173243503369,3.92584981590889,4,4.64205254774785,4.34393538613538,3.78544061302682,4.38182927636869,3.07692307692308,4.38364224771992,3.71747211895911,3.47826086956522,3.43866966947916,3.70438982888038,4.04884845504467,3.23624595469255,3.85133962541217,3.17255182273052,3.15151515151515,3.01273885350319,3.65729721055869,3.23879818940088,4.00320256204964,3.36515940192677,3.5175879396985,3.201750132898,3.28320802005012,3.33555703802535,3.34448160535117,3.25240888144114,3.59783717608652,3.63636363636364,4.54545454545454,5.52727272727273,3.67826675185088,3.36742927570651,3.6851505535392,3.38983050847458,3.45007050378157,3.00090936647469,3.79978949631901,3.70644922164566,3.34448160535117,3.51493848857645,3.33952912019826,3.58011431442748,4.28571428571428,3.72342968438759,3.1116547607398,3.16455696202531,3.13825757575757,3.07692307692308,2.50306758432728,3.53255672794698
