"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Colts Neck","NJ","New York","Monmouth",503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599000,1599000,1699900,1699000,1699900,1982000,2e+06,1987499.5,1975000,1912500,1975000,1912500,1850000,1889000,1844450
"Sienna Plantation","TX","Houston","Fort Bend",504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600950,598700,616900,607900,612900,607900,612900,594990,569989,579445,590950,547900,498500,480000,525200,498700,499900,552990,575995,549990,549990,579989,611207.5,599420,569000,549000,539494.5
"Town of Nantucket","MA",,"Nantucket",505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995000,3995000,3995000,4022500,3995000,4345000,3995000,4495000,4495000,4095000,4495000,4495000,4575000,4550000,4500000
"Guyton","GA","Savannah","Effingham",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259900,260400,260400,232500,232606,231275,229425,239075,242137.5,247875,246387.5,255667,264750,257700,259900,261500,268712.5,268712.5,268712.5,269400,268025
"Hailey","ID","Hailey","Blaine",507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3347500,3200000,3347500,3495000,3245000,2947500,2850000,2995000,2947500,2900000,2450000,2595000,2595000,2547500,2797500
"Ocean City","NJ","Ocean City","Cape May",508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198000,1223500,1199800,1154900,1154900,1099500,1095000,1095000,1127400,1127400,1097500,1239000,1229000,1249900,1209000,1172000,1224900,1149000,1099900,1099900,1099000,1092000,999450,999000,999450,1174000,1167000,1110000,1199900,1199000,1099500,1099000,1019500,999450,999000,1039000,1034000,1079900,1079900,1097000
"Southampton","NY","New York","Suffolk",509,,,,,,,,,,,,,,,2895000,2895000,2995000,2945000,2995000,2900000,2997450,2650000,2795000,2725000,2870000,2895000,2895000,2950000,2997450,3297500,3250000,3472500,3425000,3495000,3495000,3472500,3370000,3295000,3300000,3472500,3495000,2999900,3422500,3395000,3300000,3272500,3295000,2999900,3247500,3199000,3462500,3450000,3497500,3995000,3772500,3695000,3995000,4200000,3995000,4240000,4250000,4272500,4295000,4295000,4272500,4390000,4495000,4900000,4695000,4447500,4399500,4622500,4350000,4295000,4295000,4350000,4295000,4300000,4298000,4295000,4225000
"Davenport","FL","Lakeland","Polk",510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324990,337225,334950,332495,339990,329990,345990,345970,339990,349445,330990,329260,329260,322805,319625,314995,299990,299445,319990,319990,321990,320535,305990,306490,310495,322535,325000,322535,344495,339000,346900,349400,352000,337995,335990,340990
"Zionsville","IN","Indianapolis","Boone",511,811950,786900,679000,650000,6e+05,639500,610000,610000,662500,6e+05,650000,699000,687000,699900,685000,698500,696000,697000,650000,650000,650000,650000,650000,630000,599000,612000,599000,634500,659500,599900,612400,682450,675000,622400,612400,550000,511950,569500,567250,582000,549000,549000,549000,535000,502997.5,499495,499990,499990,524900,512497.5,522500,520000,565000,515000,593800,612500,597000,579900,589450,577450,567450,526350,534900,569950,625000,647000,649900,677000,677000,649450,630000,615000,577371,607450,649900,649900,624000,689850,715950,799949.5,812299.5
"Highland Park","TX","Dallas-Fort Worth","Dallas",512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475000,3485000,3485000,3295000,3799000,3995000,3987500,4022500,3987500,3980000,4050000,3595000,3495000,3410000,3200000,3649000,3895000,3995000,3922500,3795000,3750000,3550000,3772500,3395000,3499000,3524500,3524500,3799000,3797000,3772500,3795000,3950000
"Brigantine","NJ","Atlantic City","Atlantic",513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899000,899000,899000,899000,917450,949000,909900,909900,899000,949000,899000,899000,899000,895000,889000,892000,834000,889000,858500,895000,849000,829900,849000,849450,799900
"Chappaqua","NY","New York","Westchester",514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499000,1499999,1540600,1515599.5,1499999,1531200,1550000,1499000,1464000,1464000,1499000,1449500,1499000,1499000,1495000,1499000,1499500,1499000,1697000,1697000,1899000,1874000,1849000,1799000,1539000,1539000,1690000,1724000,1724000,1599000,1749000,1768500
"Wimauma","FL","Tampa","Hillsborough",515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270790,272790,272790,271790,274500,274245,271990,264990,258990,255445,252015,256990,255990,256490,255990,263590,256490,250000,250995,244990,241590,249990,250490,245244.5,237490
"Celebration","FL","Orlando","Osceola",516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951950,984975,901000,956975,850000,908000,878944,858888,850000,869000,874999,869000,849900,9e+05,947500,964500,987000,934950,799900,899000,799900,899000,782500,799900,822888,879000,859988,859000,849999,799900,834499.5,959500
"Prosper","TX","Dallas-Fort Worth","Collin",517,469995,463445,449500,443950,412500,421445,419900,488495,439000,424450,426445,420990,407990,402990,402490,4e+05,409990,399450,393490,389000,405400,399900,411900,408900,417400,428445,419995,410900,420945,432990,434900,428945,435400,419900,452990,488830,479900,489000,494990,499425,489900,488364,487450,482900,477000,485900,475000,475000,494900,510629,490945,512400,519995,519000,524900,539990,546610,560990,555811.5,556900,558995,555356.5,551517,549900,545043.5,547990,549479.5,551363,560495,556757,554900,554900,559450,558569,552450,552450,552450,539000,567995,536000,569490
"Spanish Fort","AL","Daphne","Baldwin",518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392900,390450,399999,399999.5,394900,435000,449950,445000,445000,445000,467165.5,467165.5,445000
"Heber City","UT","Heber","Wasatch",519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000,749000,724000,749000,687000,699000,699000,714000,702000,750000,770000,899900,899900,899900,850000,749900,750000,772500,732000,762000
"Rosedale","CA","Bakersfield","Kern",520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425945,427737.5,429575,434187.5,452550,463400,447450,448675,473850,467800,428700,432250,439000,450000,427000,425000
"Edwards","CO","Edwards","Eagle",521,,,,,,2495000,2472500,2300000,2295000,2150000,2325000,2199000,2250000,2245000,2245000,2e+06,1887500,1900000,1912500,1850000,1790000,1795000,1850000,1900000,2172500,2195000,2180000,2150000,2157500,2100000,2125000,2125000,2250000,2100000,2095000,2150000,2287500,2295000,2407500,2297500,2222500,2395000,2422500,2450000,2495000,2572500,2450000,2499000,2572500,2497000,2499000,2587500,2524500,2699000,2637500,2674500,2812500,2700000,2895000,2925000,2895000,2890000,2870000,2725000,2750000,2697500,2700000,2750000,2750000,2750000,2750000,2750000,2785000,2895000,2895000,2872500,2795000,2785000,2622500,2490000,2650000
