"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Tulsa","OK","Tulsa","Tulsa",43,1003,-0.00397219463753724,-0.00099601593625498,0.000998003992015968,129997
2016-09-30,"Cleveland","OH","Cleveland","Cuyahoga",44,847,-0.00352941176470588,-0.0151162790697674,-0.0241935483870968,87915
2016-09-30,"Honolulu","HI","Urban Honolulu","Honolulu",45,2888,-0.00550964187327824,-0.0163487738419619,0.0176180408738548,51481
2016-09-30,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",46,1554,0.00452488687782805,0.0123778501628664,0.0170157068062827,79231
2016-09-30,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",47,1276,-0.0093167701863354,-0.0237184391736802,-0.0311313591495824,120895
2016-09-30,"New Orleans","LA","New Orleans","Orleans",48,1380,-0.0212765957446809,-0.0502408809359945,-0.103896103896104,83101
2016-09-30,"Arlington","TX","Dallas-Fort Worth","Tarrant",49,1454,0.00414364640883978,0.00832177531206657,0.0430416068866571,89527
2016-09-30,"Raleigh","NC","Raleigh","Wake",50,1385,-0.00144196106705119,-0.00716845878136201,0.00947521865889213,123859
2016-09-30,"Wichita","KS","Wichita","Sedgwick",51,927,-0.00429645542427497,-0.0272822665267576,-0.0472764645426516,121985
2016-09-30,"Tampa","FL","Tampa","Hillsborough",52,1317,-0.000758725341426404,-0.000758725341426404,0.0241057542768274,91242
2016-09-30,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",53,2666,0.00565824217276499,0.021455938697318,0.0664,49002
2016-09-30,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange",54,2504,0,-0.00239043824701195,0.0325773195876289,34659
2016-09-30,"Aurora","CO","Denver","Arapahoe",55,1881,-0.00212201591511936,0.00213106020245072,0.045,72570
2016-09-30,"Saint Louis","MO","St. Louis","Saint Louis City",56,931,0.00323275862068966,0.014161220043573,0.0344444444444444,75348
2016-09-30,"Corpus Christi","TX","Corpus Christi","Nueces",57,1364,0.00146842878120411,-0.0123099203475742,-0.0586611456176674,82599
2016-09-30,"Cincinnati","OH","Cincinnati","Hamilton",58,1107,0.010958904109589,0.0193370165745856,0.0463137996219282,68947
2016-09-30,"Pittsburgh","PA","Pittsburgh","Allegheny",59,1115,-0.0115248226950355,-0.0219298245614035,0.00631768953068592,84123
2016-09-30,"Riverside","CA","Riverside","Riverside",60,1774,0.00169395821569735,0.00453001132502831,0.0201265094882116,61506
2016-09-30,"Marietta","GA","Atlanta","Cobb",61,1672,-0.00298151460942159,-0.00476190476190476,0.0232558139534884,88108
2016-09-30,"Anchorage","AK","Anchorage","Anchorage",62,2076,-0.0104861773117255,-0.0276346604215457,-0.02945301542777,59270
2016-09-30,"Bakersfield","CA","Bakersfield","Kern",63,1372,-0.000728332119446468,-0.00363108206245461,-0.014367816091954,90997
2016-09-30,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",64,1395,0.0021551724137931,-0.000716332378223496,0.0108695652173913,58943
2016-09-30,"Toledo","OH","Toledo","Lucas",65,795,-0.00500625782227785,-0.0124223602484472,-0.0148698884758364,89211
2016-09-30,"Silver Spring","MD","Washington","Montgomery",66,2330,-0.00342172797262618,-0.00724328930549638,-0.00384779820436084,52317
2016-09-30,"Lexington","KY","Lexington","Fayette",67,1232,0.00244100895036615,0.0065359477124183,0.0361648444070648,93022
2016-09-30,"Newark","NJ","New York","Essex",68,1494,-0.00333555703802535,0.0218878248974008,0.0506329113924051,32219
2016-09-30,"Tallahassee","FL","Tallahassee","Leon",69,1302,0,0.00153846153846154,-0.0143830431491294,63712
2016-09-30,"Stockton","CA","Stockton","San Joaquin",70,1369,0.00440205429200293,0.0103321033210332,0.0506523407521105,66720
2016-09-30,"Plano","TX","Dallas-Fort Worth","Collin",71,1991,-0.00250501002004008,-0.00300450676014021,0.00912316269640142,69229
2016-09-30,"Buffalo","NY","Buffalo","Erie",72,927,0.0198019801980198,0.0209251101321586,0.04627539503386,38741
2016-09-30,"Chandler","AZ","Phoenix","Maricopa",73,1499,0,0.000667556742323097,0.0232081911262799,81058
