"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Decatur","IL","Decatur","Macon",402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82448.5,88948.5,86250,89897,92500,97500,99823.5,99700,1e+05,99823.5,98700,97900,96000,94500,91000,89200,92400,93198.5,95750,99500,94900,91897,94250,89900,89900,87500,89900,84950,85400,89900,89900,91700,89900,90000,89900
"Duluth","MN","Duluth","Saint Louis",402,154900,145000,149900,149900,149900,152000,149900,149900,159900,152750,149900,154900,153450,152000,147000,149900,153850,149900,148250,142250,139900,136500,134900,134900,137900,133900,132950,134900,135000,140450,139900,144900,149900,150000,150000,149000,144900,145000,145000,145500,144900,145000,148200,149000,142000,140900,139900,139900,138000,139900,139900,148500,155000,157900,155000,150000,154900,154900,159000,153500,151750,149900,155450,160750,169000,165000,166000,159900,159450,159900,159900,154900,159000,164900,173700,169900,169900,168000,165000,169900,169900
"Orem","UT","Provo","Utah",404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199900,197900,209900,218900,219900,210000,211900,213900,224900,224800,219900,219900,224900,221900,226900,226900,219450,227900,229900,229900,229970,239900,248750,254900,255400,249900,249900,249900,260000,260000,265000,263000,264900,265000,265000,265000,260000,260000
"Anderson","SC","Greenville","Anderson",405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134900,131800,130000,131750,137000,139900,142950,142388.5,139900,140950,145000,144500,144700,139900,148500,149900,149900,157500,150000,149900,151638.5,152500,149900,155000,149500,148888.5,149900,149900,149900,149999.5,150000,157777,156000,156950,150777,149900,150000,146777,149900,152777,157900,159900,164900,159900,161777,160777
"Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,450000,439700,429000,449500,429000,427750,465000,425000,425000,430000,435000,459000,449000,455000,424450,409000,439000,439000,429000,424000,449900,445000,459900,475000,475000,465000,449900,439000,434950,425500,439900,445000,450000,450000,5e+05,539900,529000,524900,499000,535000,535000,549000,535000,525000,524500
"Fall River","MA","Providence","Bristol",407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185900,186900,185000,185000,182700,189900,195000,196500,205450,209900,199000,198000,210000,208700,212450,196500,209900,209900,218000,219000,219000,219000,211450,209000,209000,209900,212450,209450,199900,199999,199900,199900,199949.5,204900,209000,209000,199900,203995,199950,199900,199900,205900,207450,209950,215000,222000
"Concord","NC","Charlotte","Cabarrus",408,160000,159700,160000,157900,156350,155000,151900,155000,160000,150000,150000,149500,149900,150000,149900,149900,149900,159900,159900,159000,149500,145000,139900,142000,159900,155000,155000,148250,149950,150000,150000,149900,149900,149950,172500,174900,174900,175000,178500,184900,189000,189900,188750,178945,179500,180990,175000,179900,175990,179900,196995,195995,190000,187950,190000,192500,189900,189900,189900,189950,190245,199490,189200,199500,203740,199990,2e+05,198500,192500,190000,190000,190000,205900,199000,216900,215000,224800,221995,239275,238032.5,242900
"Flagstaff","AZ","Flagstaff","Coconino",409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339900,329900,329000,319900,329900,332900,332400,335000,334900,334900,329000,329900,339450,339000,336000,345000,349900,350000,359900,365000,365000,369450,365000,374900,366920,366535,365000,365000,366650,367000,375000,375900,375900,377900,385000,395000,385765,375900,384850,374912,388000,389900,384500,377700,389000,395000
"Allen","TX","Dallas-Fort Worth","Collin",410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326981,316450,317250,310000,304020,314750,313500,311000,328813,340000,367990,329950,349900,363450,349900,339900,360995,396250,399000,399995,428000,429450,425000,427990,425000,410000,399900,380000,364950,354677,350000,349000,353610,375000,346990,351749.5,359900,369900,370000,360990,359745,349900
"Franklin","TN","Nashville","Williamson",411,369900,364900,359945,359000,350000,349951,349959,350000,362900,364900,359900,349900,342400,349900,349000,349900,359900,359000,359999,354900,357000,357900,372627,374500,360495,375000,364900,375000,375000,379900,377500,374947,384450,386450,399000,399900,399900,399900,4e+05,414999,417000,424900,429900,445642.5,456500,455000,474400,475000,473990,474950,464900,469900,464995,465000,475000,475000,499900,495000,504400,518700,5e+05,519250,514900,499000,499900,502500,499625,504500,499500,499250,499000,499500,479945,499900,525000,497990,485220,494495,474900,479945,509970
