"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Framingham","MA","Boston","Middlesex",576,1779,-0.00112296462661426,-0.00336134453781513,0.0545346769413159,4896
2016-09-30,"Lauderhill","FL","Miami-Fort Lauderdale","Broward",577,1197,0,-0.00581395348837209,0.000836120401337793,15349
2016-09-30,"Apple Valley","CA","Riverside","San Bernardino",578,1047,-0.00190657769304099,0.00673076923076923,0.0597165991902834,1881
2016-09-30,"Kirkland","WA","Seattle","King",579,1909,0.00685654008438819,0.0257925846319183,0.109883720930233,11563
2016-09-30,"Waipahu","HI","Urban Honolulu","Honolulu",580,1768,0.00340522133938706,0.00397501419647927,0.0166762507188039,5880
2016-09-30,"Redondo Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",581,3339,0.001499700059988,0.00876132930513595,0.0688220230473752,13473
2016-09-30,"Yuba City","CA","Yuba City","Sutter",582,1191,0.00676246830092984,-0.0075,0.0846994535519126,1206
2016-09-30,"Bismarck","ND","Bismarck","Burleigh",583,1116,0,-0.0201931518876207,-0.112877583465819,4059
2016-09-30,"Greer","SC","Greenville","Greenville",584,1201,-0.0033195020746888,-0.00661703887510339,-0.0155737704918033,510
2016-09-30,"Mooresville","NC","Charlotte","Iredell",585,1158,0.011353711790393,0.0211640211640212,0.0633608815426997,2125
2016-09-30,"Casa Grande","AZ","Phoenix","Pinal",586,854,-0.0161290322580645,-0.0594713656387665,-0.00582072176949942,1448
2016-09-30,"Salisbury","NC","Charlotte","Rowan",587,811,-0.00368550368550369,-0.016969696969697,-0.0390995260663507,946
2016-09-30,"Centreville","VA","Washington","Fairfax",588,1911,-0.00312989045383412,-0.00778816199376947,0.0235672201392608,12928
2016-09-30,"San Marcos","CA","San Diego","San Diego",589,2223,0.00497287522603978,0.00588235294117647,0.0636363636363636,5353
2016-09-30,"Pasco","WA","Kennewick","Franklin",590,1070,-0.0237226277372263,-0.00834105653382762,-0.0655021834061135,615
2016-09-30,"Rome","GA","Rome","Floyd",591,928,-0.0117145899893504,-0.0200633579725449,0.0545454545454545,538
2016-09-30,"Warwick","RI","Providence","Kent",592,1394,0.0130813953488372,0.0356612184249629,0.0584662110858011,4310
2016-09-30,"Bremerton","WA","Bremerton","Kitsap",593,1120,0.0081008100810081,0.0237659963436929,0.116650049850449,3427
2016-09-30,"Spring Valley","CA","San Diego","San Diego",594,1802,0.00670391061452514,0.00614182021217197,0.0446376811594203,2838
2016-09-30,"Great Falls","MT","Great Falls","Cascade",595,1143,-0.00695047784535187,0.00263157894736842,-0.00435540069686411,1712
2016-09-30,"O Fallon","MO","St. Louis","Saint Charles",596,1234,-0.00323101777059774,-0.0128,-0.0374414976599064,4229
2016-09-30,"Waterford","MI","Detroit","Oakland",597,1339,-0.0022354694485842,-0.0022354694485842,0.0404040404040404,5120
2016-09-30,"Passaic","NJ","New York","Passaic",598,1783,-0.00223838836038053,-0.0256830601092896,-0.00613154960981048,1089
2016-09-30,"Schaumburg","IL","Chicago","Cook",599,1491,-0.00533689126084056,-0.0119284294234592,0.0135961930659415,15147
2016-09-30,"Lodi","CA","Stockton","San Joaquin",600,1173,0.0103359173126615,0.0182291666666667,0.0586642599277978,2625
2016-09-30,"Ellicott City","MD","Baltimore","Howard",601,2016,-0.00738552437223043,-0.013215859030837,-0.0024740227610094,4489
2016-09-30,"West Lafayette","IN","Lafayette-West Lafayette","Tippecanoe",602,1060,0.00189035916824197,-0.000942507068803016,0.141011840688913,1616
2016-09-30,"Plymouth","MN","Minneapolis-St Paul","Hennepin",603,1445,-0.000691562932226833,-0.00891632373113855,-0.0129781420765027,7933
2016-09-30,"Waldorf","MD","Washington","Charles",604,1632,0.00245700245700246,-0.0156815440289505,0.0105263157894737,7206
2016-09-30,"Marysville","WA","Seattle","Snohomish",605,1496,0.00740740740740741,0.0183798502382573,0.0824891461649783,2531
2016-09-30,"Casper","WY","Casper","Natrona",606,973,-0.0289421157684631,-0.0880974695407685,-0.227777777777778,1656
2016-09-30,"Hanford","CA","Hanford","Kings",607,940,-0.0157068062827225,-0.0408163265306122,-0.0177638453500522,724
2016-09-30,"Lynwood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",608,1992,0.00555275113579,0.0257466529351184,0.122886133032694,1910
2016-09-30,"Youngstown","OH","Youngstown","Mahoning",609,487,-0.0201207243460765,-0.0793950850661626,-0.122522522522523,1191
2016-09-30,"Avondale","AZ","Phoenix","Maricopa",610,1031,-0.00482625482625483,0.00585365853658537,0.0933191940615059,265
2016-09-30,"Temple","TX","Killeen","Bell",611,810,0.00997506234413965,0.0062111801242236,-0.0276110444177671,967
2016-09-30,"San Rafael","CA","San Francisco","Marin",612,3160,-0.00409706901985503,-0.000632511068943707,0.01575056252009,5649
2016-09-30,"Palo Alto","CA","San Jose","Santa Clara",613,4141,-0.00743048897411314,-0.0114585820004774,-0.00719251977942939,4384
2016-09-30,"Milpitas","CA","San Jose","Santa Clara",614,3032,-0.00394218134034166,-0.0023033892727871,0.0447966919365955,4319
2016-09-30,"Portland","ME","Portland","Cumberland",615,1727,0,-0.0204197390811117,-0.00461095100864553,9487
2016-09-30,"Jonesboro","AR","Jonesboro","Craighead",616,680,0.00591715976331361,0.00890207715133531,0.0164424514200299,536
2016-09-30,"Union City","NJ","New York","Hudson",617,1985,-0.0134194831013916,-0.0456730769230769,-0.048418024928092,4953
2016-09-30,"Union City","CA","San Francisco","Alameda",618,2484,0.00323101777059774,0.011400651465798,0.0638115631691649,4109
2016-09-30,"Kenner","LA","New Orleans","Jefferson",619,1195,-0.000836120401337793,-0.00416666666666667,-0.0252854812398042,1093
2016-09-30,"Dubuque","IA","Dubuque","Dubuque",620,1074,-0.0128676470588235,-0.0289330922242315,-0.0367713004484305,1199
2016-09-30,"Palatine","IL","Chicago","Cook",621,1454,-0.00818553888130969,-0.0235057085292142,0.00972222222222222,13602
2016-09-30,"Tomball","TX","Houston","Harris",622,1477,-0.00135226504394861,-0.00471698113207547,0.0102599179206566,495
2016-09-30,"The Woodlands","TX","Houston","Montgomery",623,1564,-0.00761421319796954,-0.0237203495630462,-0.0351634793337446,1203
2016-09-30,"Lafayette","IN","Lafayette-West Lafayette","Tippecanoe",624,793,0.00379746835443038,0.0101910828025478,0.077445652173913,3027
2016-09-30,"North Little Rock","AR","Little Rock","Pulaski",625,642,0.0110236220472441,0.00784929356357928,0.0158227848101266,963
2016-09-30,"Waterloo","IA","Waterloo","Black Hawk",626,667,0,-0.0361271676300578,-0.0512091038406828,6739
2016-09-30,"Vienna","VA","Washington","Fairfax",627,2467,-0.000405186385737439,0.00652794777641779,0.00941080196399345,5195
2016-09-30,"East Orange","NJ","New York","Essex",628,1293,0,0,-0.00614911606456572,928
2016-09-30,"Weston","FL","Miami-Fort Lauderdale","Broward",629,1622,0.00123456790123457,-0.00429711479435236,0.0390775144138373,5504
2016-09-30,"Chino Hills","CA","Riverside","San Bernardino",630,1833,-0.00163398692810458,-0.00811688311688312,-0.00108991825613079,1661
2016-09-30,"Bellingham","WA","Bellingham","Whatcom",631,1216,0.00829187396351575,0.00247320692497939,0.0184254606365159,7945
2016-09-30,"Salisbury","MD","Salisbury","Wicomico",632,1142,-0.004359197907585,-0.0129645635263613,0.0106194690265487,2196
2016-09-30,"Winchester","VA","Winchester","Frederick",633,970,-0.00919305413687436,-0.029029029029029,-0.032901296111665,255
2016-09-30,"Manhattan","KS","Manhattan","Riley",634,945,0,-0.0166493236212279,-0.0780487804878049,1699
2016-09-30,"Alameda","CA","San Francisco","Alameda",635,2885,0.00452646239554318,0.0165609584214235,0.0813343328335832,7005
2016-09-30,"Eagan","MN","Minneapolis-St Paul","Dakota",636,1321,0.00227617602427921,0.007627765064836,0.029618082618862,6310
2016-09-30,"Daytona Beach","FL","Daytona Beach","Volusia",637,1011,0.00597014925373134,0.00198216055500496,0.0664556962025316,7746
2016-09-30,"Pico Rivera","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",638,2081,0.00337512054001929,0.0136385776911836,0.0737874097007224,1371
2016-09-30,"Racine","WI","Racine","Racine",639,818,0.0136307311028501,0.00863131935881628,0.069281045751634,4484
2016-09-30,"Bel Air","MD","Baltimore","Harford",640,1356,-0.00440528634361234,-0.0166787527193619,-0.038979447200567,3702
2016-09-30,"Denham Springs","LA","Baton Rouge","Livingston",641,995,0.00810536980749747,-0.00698602794411178,-0.016798418972332,123
2016-09-30,"York Township","PA","York","York",642,1227,0.000815660685154976,-0.0152487961476726,-0.045136186770428,1581
2016-09-30,"Auburn","WA","Seattle","King",643,1611,0.0075046904315197,0.0235069885641677,0.092944369063772,4902
2016-09-30,"Gastonia","NC","Charlotte","Gaston",644,839,-0.00592417061611374,0,0.0770218228498075,1300
2016-09-30,"Conway","SC","Myrtle Beach","Horry",645,909,-0.0021953896816685,-0.0021953896816685,0.0248027057497181,1849
2016-09-30,"Corvallis","OR","Corvallis","Benton",646,1228,-0.00887812752219532,-0.00887812752219532,0.108303249097473,2314
2016-09-30,"West Bloomfield","MI","Detroit","Oakland",647,1779,0.000562429696287964,0.00565291124929339,0.0067911714770798,7238
2016-09-30,"Brunswick","GA","Brunswick","Glynn",648,1043,-0.0123106060606061,-0.0123106060606061,-0.00666666666666667,1019
2016-09-30,"Mount Vernon","NY","New York","Westchester",649,2240,-0.00311526479750779,-0.0171127687582273,-0.000446229361892012,6059
2016-09-30,"Venice","FL","North Port-Sarasota-Bradenton","Sarasota",650,1860,-0.00747065101387407,-0.0367685137234594,-0.0466427473090723,11887
2016-09-30,"Bethesda","MD","Washington","Montgomery",651,2211,-0.00673854447439353,-0.0160213618157543,0.0170193192272309,7665
2016-09-30,"Bolingbrook","IL","Chicago","Will",652,1544,-0.000647249190938511,0.0012970168612192,0.0238726790450928,1426
2016-09-30,"Brandon","MS","Jackson","Rankin",653,1239,0.00323886639676113,-0.00800640512409928,0.0239669421487603,168
2016-09-30,"Cocoa","FL","Melbourne","Brevard",654,969,0.0135983263598326,0.0275715800636267,0.0544069640914037,2952
2016-09-30,"Appleton","WI","Appleton","Outagamie",655,939,-0.00318471337579618,-0.0126182965299685,-0.0177824267782427,1541
2016-09-30,"Lorain","OH","Cleveland","Lorain",656,651,0.00618238021638331,0.00618238021638331,-0.0180995475113122,2624
2016-09-30,"Maple Grove","MN","Minneapolis-St Paul","Hennepin",657,1422,0.00282087447108604,0.0135424091233072,0.0296886314265025,6682
2016-09-30,"Baytown","TX","Houston","Harris",658,1223,-0.00163265306122449,-0.0097165991902834,-0.0176706827309237,764
2016-09-30,"West Hartford","CT","Hartford","Hartford",659,1420,-0.00350877192982456,-0.011142061281337,-0.028062970568104,4862
2016-09-30,"Aiken","SC","Augusta","Aiken",660,779,-0.0238095238095238,-0.0867526377491207,-0.060313630880579,168
2016-09-30,"Glen Allen","VA","Richmond","Henrico",661,1481,-0.000674763832658569,-0.00870147255689424,-0.019205298013245,4902
2016-09-30,"Statesville","NC","Charlotte","Iredell",662,999,0.00604229607250755,0.02672147995889,0.069593147751606,815
2016-09-30,"Taylor","MI","Detroit","Wayne",663,806,-0.0194647201946472,-0.0606060606060606,-0.080957810718358,180
2016-09-30,"Grants Pass","OR","Grants Pass","Josephine",664,1119,-0.0123565754633716,-0.0166959578207381,0.047752808988764,1162
2016-09-30,"Ames","IA","Ames","Story",665,988,-0.0178926441351889,-0.0740393626991565,0.0845225027442371,7145
2016-09-30,"Columbus","IN","Columbus","Bartholomew",666,1145,0.0186832740213523,0.0418562329390355,0.207805907172996,1418
2016-09-30,"Goodyear","AZ","Phoenix","Maricopa",667,1149,0,0.0105540897097625,0.103746397694524,491
2016-09-30,"North Port","FL","North Port-Sarasota-Bradenton","Sarasota",668,1622,0.0156543519098309,0.0842245989304813,-0.00612745098039216,813
2016-09-30,"Coon Rapids","MN","Minneapolis-St Paul","Anoka",669,1193,0.000838926174496644,0.00590219224283305,0.00252100840336134,1947
2016-09-30,"Orland Park","IL","Chicago","Cook",670,1623,-0.00061576354679803,-0.0018450184501845,0.00995644057249533,9816
2016-09-30,"North Bergen","NJ","New York","Hudson",671,2015,-0.0175524134568503,-0.049079754601227,-0.0377268385864374,5103
2016-09-30,"Rosemead","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",672,2262,-0.00615114235500879,-0.0126582278481013,0.0324052943861251,3184
2016-09-30,"Des Plaines","IL","Chicago","Cook",673,1492,-0.00267379679144385,-0.00533333333333333,0.0170415814587594,7373
2016-09-30,"Snellville","GA","Atlanta","Gwinnett",674,984,0.00923076923076923,0.0102669404517454,-0.00202839756592292,541
2016-09-30,"Elyria","OH","Cleveland","Lorain",675,693,-0.00144092219020173,-0.01,-0.026685393258427,2056
2016-09-30,"Laguna Niguel","CA","Los Angeles-Long Beach-Anaheim","Orange",676,2349,0.00427533133817871,0.00815450643776824,0.0380026513477685,7683
2016-09-30,"San Marcos","TX","Austin","Hays",677,1150,-0.002601908065915,-0.0262489415749365,0.0186005314437555,1633
2016-09-30,"Arcadia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",678,2577,0.00116550116550117,0.00703399765533412,0.0382755842062853,4923
2016-09-30,"Yorba Linda","CA","Los Angeles-Long Beach-Anaheim","Orange",679,2207,-0.000452898550724638,-0.0036117381489842,0.0454760776882994,2733
2016-09-30,"Florence","SC","Florence","Florence",680,999,-0.001998001998002,0.00604229607250755,0.0684491978609626,593
2016-09-30,"Harrisonburg","VA","Harrisonburg","Harrisonburg City",681,998,0.00200803212851406,-0.00992063492063492,0.0121703853955375,2416
2016-09-30,"Woodbury","MN","Minneapolis-St Paul","Washington",682,1295,-0.000771604938271605,-0.00384615384615385,0.0212933753943218,2211
2016-09-30,"Vineland","NJ","Vineland","Cumberland",683,1186,-0.00836120401337793,-0.0173985086992543,-0.0108423686405338,126
2016-09-30,"Burnsville","MN","Minneapolis-St Paul","Dakota",684,1341,0.000746268656716418,0.00149365197908887,0.0260137719969396,5218
2016-09-30,"Georgetown","TX","Austin","Williamson",685,1415,-0.00492264416315049,-0.0132496513249651,0.0313411078717201,1693
2016-09-30,"La Habra","CA","Los Angeles-Long Beach-Anaheim","Orange",686,1977,-0.000505561172901921,0.0143663417136993,0.0674946004319654,2787
2016-09-30,"Carmel","IN","Indianapolis","Hamilton",687,1346,-0.00370096225018505,-0.0182348650619985,-0.0203784570596798,3674
2016-09-30,"Eden Prairie","MN","Minneapolis-St Paul","Hennepin",688,1445,0.00277585010409438,0,0.00696864111498258,6777
2016-09-30,"Shawnee","KS","Kansas City","Johnson",689,1276,-0.000783085356303837,0.00156985871271586,0.0340356564019449,1857
2016-09-30,"Jefferson City","MO","Jefferson City","Cole",690,821,0.0110837438423645,0.0379266750948167,0.278816199376947,1010
2016-09-30,"Valley Stream","NY","New York","Nassau",691,2350,-0.00634249471458774,-0.0244914902449149,-0.0150880134115675,2405
2016-09-30,"Hamden","CT","New Haven","New Haven",692,1336,-0.00224047796863331,-0.00816629547141797,0.026902382782475,4899
2016-09-30,"Hendersonville","TN","Nashville","Sumner",693,1243,-0.00639488409272582,0.0105691056910569,0.0633019674935843,597
2016-09-30,"Bristol","CT","Hartford","Hartford",694,1123,-0.0123131046613896,-0.0335628227194492,0.0199818346957312,5162
2016-09-30,"West Allis","WI","Milwaukee","Milwaukee",695,871,-0.0135900339750849,-0.0268156424581006,-0.0694444444444444,915
2016-09-30,"Punta Gorda","FL","Punta Gorda","Charlotte",696,1765,0.00113442994895065,0.0376249265138154,0.122773536895674,10810
2016-09-30,"Tamarac","FL","Miami-Fort Lauderdale","Broward",697,1282,0.00234558248631744,0.00470219435736677,0.0322061191626409,16899
2016-09-30,"Medina","OH","Cleveland","Medina",698,1120,0.0163339382940109,0.0341643582640813,0.0399257195914578,1408
2016-09-30,"Meriden","CT","New Haven","New Haven",699,1189,-0.00251677852348993,-0.00999167360532889,-0.00834028356964137,4589
2016-09-30,"Fayetteville","AR","Fayetteville","Washington",700,945,-0.00943396226415094,-0.0227507755946225,0.0139484978540773,1980
2016-09-30,"Reston","VA","Washington","Fairfax",701,2014,-0.00247647350173353,-0.00739280433711188,-0.00346363186541316,16680
2016-09-30,"Taylorsville","UT","Salt Lake City","Salt Lake",702,1195,0.000837520938023451,0.00843881856540084,0.00843881856540084,3133
2016-09-30,"Lancaster","PA","Lancaster","Lancaster",703,894,0.00562429696287964,0.041958041958042,0.0982800982800983,2814
2016-09-30,"Waltham","MA","Boston","Middlesex",704,2235,-0.00178651183564091,0.00179291797400269,0.0186873290793072,6636
2016-09-30,"Haverhill","MA","Boston","Essex",705,1528,0.0026246719160105,-0.00391134289439374,0.0444292549555707,8381
2016-09-30,"Bellevue","NE","Omaha","Sarpy",706,1069,-0.00834879406307978,-0.0101851851851852,0.0594648166501487,518
2016-09-30,"Springdale","AR","Fayetteville","Washington",707,1030,-0.0199809705042816,-0.0301318267419962,0.0107948969578018,1099
2016-09-30,"Lakewood","WA","Seattle","Pierce",708,1231,0.00407830342577488,0.00571895424836601,0.0275459098497496,2681
2016-09-30,"Saint Cloud","MN","St. Cloud","Stearns",709,1040,0.0166177908113392,0.0420841683366733,0.147902869757174,2014
2016-09-30,"San Gabriel","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",710,2344,-0.00467091295116773,-0.0105529759392149,0.0271691498685364,3139
2016-09-30,"Jupiter","FL","Miami-Fort Lauderdale","Palm Beach",711,1907,-0.00104766893661603,-0.00625325690463783,0.0483782297965915,16354
2016-09-30,"Greenwich","CT","Stamford","Fairfield",712,3117,0.000642054574638844,0.0133289986996099,0.0310949388025141,5851
2016-09-30,"Kendale Lakes","FL","Miami-Fort Lauderdale","Miami-Dade",713,1603,-0.00124610591900312,-0.00496585971446307,0.0210191082802548,13115
2016-09-30,"Encinitas","CA","San Diego","San Diego",714,2641,0.00380083618396047,0.0134305448963929,0.0393545848091303,5732
2016-09-30,"Pontiac","MI","Detroit","Oakland",715,1222,-0.00569568755085435,-0.00488599348534202,0.032967032967033,1695
2016-09-30,"Sanford","NC","Sanford","Lee",716,941,-0.0136268343815514,-0.0228452751817238,-0.0427263479145473,306
2016-09-30,"Fountainbleau","FL","Miami-Fort Lauderdale","Miami-Dade",717,1536,-0.0025974025974026,-0.00646830530401035,0.00523560209424084,18793
2016-09-30,"Malden","MA","Boston","Middlesex",718,2143,0.0014018691588785,0.0204761904761905,0.0278177458033573,8066
2016-09-30,"Gardena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",719,2186,-0.00364630811303555,0.0069092584062644,0.104040404040404,4126
2016-09-30,"Blaine","MN","Minneapolis-St Paul","Anoka",720,1390,0,-0.00643316654753395,0.0036101083032491,1844
2016-09-30,"Royal Oak","MI","Detroit","Oakland",721,1326,0,0,0.0106707317073171,3975
2016-09-30,"Novato","CA","San Francisco","Marin",722,2797,-0.00815602836879433,-0.011660777385159,-0.0113114174620007,5026
2016-09-30,"Manchester","CT","Hartford","Hartford",723,1200,-0.00497512437810945,-0.0115321252059308,0.0238907849829352,4658
2016-09-30,"Florence-Graham","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",724,1967,0.00510986203372509,0.0186431900569653,0.127866972477064,3315
