SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,Multi-Family (5+ Unit),6201 Geary Blvd,San Francisco,CA,94121,3750000,8,,Central Richmond,8750,3889,1923,5,Active,,,http://www.redfin.com/CA/San-Francisco/6201-Geary-Blvd-94121/unit-6209/home/962709,San Francisco MLS,62846143,N,Y,37.7797469,-122.4859154
MLS Listing,Single Family Residential,625 Jarboe Ave,San Francisco,CA,94110,2195000,4,2.5,Bernal Heights,,1873,1909,2,Active,,,http://www.redfin.com/CA/San-Francisco/625-Jarboe-Ave-94110/home/760518,San Francisco MLS,62892909,N,Y,37.7384219,-122.4122234
MLS Listing,Condo/Co-op,631 Folsom St Unit 10E,San Francisco,CA,94107,1040000,2,2,Yerba Buena,953,,2009,37,Active,,,http://www.redfin.com/CA/San-Francisco/631-Folsom-St-94107/unit-10E/home/39826097,San Francisco MLS,62393581,N,Y,37.7848176,-122.3969578
MLS Listing,Condo/Co-op,637 Powell St,San Francisco,CA,94108,775000,1,1,San Francisco County,954,,1923,37,Active,,,http://www.redfin.com/CA/San-Francisco/637-Powell-St-94108/home/1259676,BAREIS,62390016,N,Y,37.7906513,-122.4091786
MLS Listing,Condo/Co-op,637 Powell St #101,San Francisco,CA,94108,775000,1,1,Downtown,954,,1923,27,Active,,,http://www.redfin.com/CA/San-Francisco/637-Powell-St-94108/unit-101/home/1871257,San Francisco MLS,62524457,N,Y,37.7906513,-122.4091786
MLS Listing,Single Family Residential,638 Sawyer St,San Francisco,CA,94134,1080000,5,4,Visitacion Valley,2120,2697,1947,15,Active,,,http://www.redfin.com/CA/San-Francisco/638-Sawyer-St-94134/home/2037688,San Francisco MLS,62705724,N,Y,37.709182,-122.416219
MLS Listing,Single Family Residential,64 Goettingen St,San Francisco,CA,94134,799000,1,1,Portola,2550,4748,1915,10,Active,,,http://www.redfin.com/CA/San-Francisco/64-Goettingen-St-94134/home/1336195,San Francisco MLS,62790662,N,Y,37.730666,-122.408425
MLS Listing,Single Family Residential,64 Sussex St,San Francisco,CA,94131,849000,2,1,Glen Park,834,2700,1908,1,Active,November-15-2016 12:00 PM,November-15-2016 01:30 PM,http://www.redfin.com/CA/San-Francisco/64-Sussex-St-94131/home/1431498,San Francisco MLS,62901089,N,Y,37.7371011,-122.4338827
MLS Listing,Multi-Family (2-4 Unit),640 Octavia St,San Francisco,CA,94102,1950000,5,,Hayes Valley,3140,2506,1923,31,Active,,,http://www.redfin.com/CA/San-Francisco/640-Octavia-St-94102/home/1963771,San Francisco MLS,62482921,N,Y,37.778211,-122.424636
MLS Listing,Condo/Co-op,645 Haight St #5,San Francisco,CA,94117,899000,1,1,Hayes Valley,976,,1994,46,Active,,,http://www.redfin.com/CA/San-Francisco/645-Haight-St-94117/unit-5/home/1269195,San Francisco MLS,62135647,N,Y,37.7716518,-122.4328342
MLS Listing,Single Family Residential,65 Miraloma Dr,San Francisco,CA,94127,2500000,5,3.5,Sherwood Forest,3768,8546,1961,44,Active,,,http://www.redfin.com/CA/San-Francisco/65-Miraloma-Dr-94127/home/1884466,San Francisco MLS,62283657,N,Y,37.7390468,-122.460786
MLS Listing,Condo/Co-op,650 Delancey St #415,San Francisco,CA,94107,1695000,2,2,South Beach,1514,,1996,47,Active,,,http://www.redfin.com/CA/San-Francisco/650-Delancey-St-94107/unit-415/home/12396322,San Francisco MLS,62062596,N,Y,37.7827982,-122.3897154
MLS Listing,Condo/Co-op,656 Vermont St,San Francisco,CA,94107,998000,2,1,Potrero Hill,1249,,1925,17,Active,,,http://www.redfin.com/CA/San-Francisco/656-Vermont-St-94107/home/40457024,San Francisco MLS,62693003,N,Y,37.7613534,-122.4043283
MLS Listing,Condo/Co-op,66 Cleary Ct #1202,San Francisco,CA,94109,1098000,3,2,Western Addition,1200,,1963,30,Active,,,http://www.redfin.com/CA/San-Francisco/66-Cleary-Ct-94109/unit-1202/home/575215,San Francisco MLS,62495058,N,Y,37.7842506,-122.4271638
MLS Listing,Condo/Co-op,66 Summit Way,San Francisco,CA,94132,1099625,3,2,Stonestown,1547,,2017,37,Active,,,http://www.redfin.com/CA/San-Francisco/66-Summit-Way-94132/home/109257780,San Francisco MLS,62388087,N,Y,37.713979,-122.4744667
MLS Listing,Condo/Co-op,666 Post St #1201,San Francisco,CA,94109,749000,1,1,Downtown,,,1926,10,Active,,,http://www.redfin.com/CA/San-Francisco/666-Post-St-94109/unit-1201/home/12400957,San Francisco MLS,62786540,N,Y,37.787933,-122.4128901
MLS Listing,Multi-Family (5+ Unit),669 Ellis St,San Francisco,CA,94109,3500000,,,Tenderloin,7654,2363,1909,39,Active,,,http://www.redfin.com/CA/San-Francisco/669-Ellis-St-94109/home/1029801,San Francisco MLS,62358604,N,Y,37.784098,-122.417131
MLS Listing,Condo/Co-op,690 Market St #2304,San Francisco,CA,94104,1750000,2,2,Financial District,1414,,2007,42,Active,,,http://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-2304/home/21967098,San Francisco MLS,62297585,N,Y,37.788254,-122.4032018
MLS Listing,Single Family Residential,691 29th Ave,San Francisco,CA,94121,1759000,4,4.5,Central Richmond,2348,1799,1941,17,Active,,,http://www.redfin.com/CA/San-Francisco/691-29th-Ave-94121/home/616578,San Francisco MLS,62685476,N,Y,37.776305,-122.489
MLS Listing,Multi-Family (5+ Unit),698 Bush St,San Francisco,CA,94109,12000000,28,,Downtown,23120,4624,1907,17,Active,,,http://www.redfin.com/CA/San-Francisco/698-Bush-St-94108/home/1277124,San Francisco MLS,62688684,N,Y,37.7903421,-122.408576
MLS Listing,Single Family Residential,700 15th Ave,San Francisco,CA,94118,2250000,4,3,Central Richmond,2877,2495,1916,25,Active,,,http://www.redfin.com/CA/San-Francisco/700-15th-Ave-94118/home/2018633,San Francisco MLS,62556617,N,Y,37.774797,-122.473261
MLS Listing,Single Family Residential,701 Faxon Ave,San Francisco,CA,94112,1248000,3,2,Westwood Park,1720,4835,1917,10,Active,,,http://www.redfin.com/CA/San-Francisco/701-Faxon-Ave-94112/home/1917150,San Francisco MLS,62776654,N,Y,37.725858,-122.460161
MLS Listing,Multi-Family (2-4 Unit),709-711 Lyon St,San Francisco,CA,94115,1399000,,,North Panhandle,,,,15,Active,,,http://www.redfin.com/CA/San-Francisco/711-Lyon-St-94115/home/1269588,San Francisco MLS,62706685,N,Y,37.777573,-122.4436122
MLS Listing,Multi-Family (2-4 Unit),709-713 Webster St,San Francisco,CA,94107,2900900,9,4,Alamo Square,5528,3419,1900,26,Active,,,http://www.redfin.com/CA/San-Francisco/713-Webster-St-94117/home/1530050,San Francisco MLS,62547728,N,Y,37.7772086,-122.4300281
MLS Listing,Condo/Co-op,712 Bryant St #3,San Francisco,CA,94107,1649000,2,3,South of Market,2246,,2001,24,Active,,,http://www.redfin.com/CA/San-Francisco/712-Bryant-St-94107/unit-3/home/12397086,San Francisco MLS,62595408,N,Y,37.7777351,-122.4009663
