"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"East Harlem","New York","NY","New York","New York",22,,,,,,,,,,,,,,,,,,,2700,2500,2395,2395,2400,2525,2500,2350,2495,2450,2350,2495,2400,2400,2450,2395,2600,2595,2695,2645,2550,2495,2400,2399,2500,2550,2780,2850,2750,2750,2750,2750,2725,2850,2850,2900,2920,2995,2900,2920,2900,2900,2900,2900,2900,2920,2900,2900,2900,2900,2900,2900,2900,2900,2900,2950,2900,2900,2900,2900,2900,2900
"Bushwick","New York","NY","New York","Kings",23,,,,,,,,,,,,,,,,,,,,,,,,1700,1650,1600,1625,1670,1800,1800,1850,1800,1800,1800,1850,1700,1899,2000,2295,2399,2300,2200,2300,2300,2299,2150,2250,2250,2250,2225,2200,2225,2200,2300,2275,2500,2397.5,2450,2395,2475,2450,2395,2400,2500,2500,2500,2600,2599,2600,2600,2500,2697,2591,2700,2500,2349,2500,2699,2717.5,2450
"Enterprise","Las Vegas","NV","Las Vegas","Clark",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.5,1100,1099,1150,1100,1100,1000,1000,995,1000,1000,1000,1000,1050,1100,1100,1100,1100,1150,1198,1200,1150,1100,1050,1125,1050,1100,1095,1095,1097.5,1100,1100,1095,1100,1100,1100,1100,1100,1125,1100,1100,1100
"Lower East Side","New York","NY","New York","New York",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2997.5,3050,2997.5,3100,3100,3000,3000,3150,3050,3200,3200,3300,3300,3347.5,3200,3200,3100,2997.5,3225,3200,3295,3150,2875,2800,2995,3200,3087.5,3087.5,3000,2897.5,2900,3000,2997.5,2750
"Logan Square","Chicago","IL","Chicago","Cook",26,,,,,,,,,,,,,,,,,1400,1500,1525,1500,1500,1400,1450,1500,1575,1600,1525,1550,1600,1500,1597.5,1650,1447.5,1350,1315,1250,1350,1450,1395,1352.5,1300,1250,1200,1250,1400,1400,1375,1400,1495,1495,1675,1697.5,1750,1750,1700,1637.5,1600,1472.5,1400,1450,1497.5,1570,1600,1600,1675,1600,1650,1595,1500,1500,1600,1675,1695,1600,1600,1625,1700,1698,1700,1750
"South Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1750,1750,1724.5,1750,1795,1800,1990,2000,1900,1872.5,1950,1895,1675,1585,1572.5,1512.5,1600
"Flushing","New York","NY","New York","Queens",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1500,1500,1500,1575,1550,1587.5,1550,1622.5,1600,1600,1647.5,1625,1650,1800,1800,1875,2100,2200,2200,2100,2100,2100,2100,2150,2100,2000,2175,2250,2150,2200,2150,2200,2150,2100,2200,2400,2425,2450,2400,2400,2300,2400,2300,2200,2200,2150,2100,2300,2200
"Downtown","San Jose","CA","San Jose","Santa Clara",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3196,3000,3000,2975,2925,2975,3200,2972.5,2850,3050,3020,2750,2950
"Ahwatukee Foothills","Phoenix","AZ","Phoenix","Maricopa",30,,,,,,,,,,,,,,,,,999.5,997,1024.5,895,1000,1000,895,895,850,882.5,899,925,912.5,899.5,897,985,937,1050,962.5,904.5,897.5,950,1062.5,960,960,995,912.5,1018.5,1050,997.5,1150,1089.5,1079,1087,1100,1107.5,1150,1027,975,1079,1115,1074.5,1100,1150,1180,1200,1199.5,1180,1079,1100,1195,1180,1180,1107.5,1177.5,1180,1150,1150,1095,1107.5,1132.5,1000,1180,1180
"Forest Hills","New York","NY","New York","Queens",31,,,,,,,,,,,,,1475,1400,1400,1425,1495,1525,1550,1675,1687,1450,1500,1650,1600,1550,1697.5,1700,1700,1700,1687.5,1675,1700,1650,1725,1750,1700,1650,1670,1825,1800,1875,1900,1925,1825,1872.5,1850,1800,1800,1750,1750,1725,1700,1825,1837.5,1800,1800,1797.5,1800,1800,1850,1800,1800,1800,1800,1872.5,1895,1950,1895,1900,1900,1900,1850,1820,1885,1900,1950,1897.5,1950,1950
"East Village","New York","NY","New York","New York",32,,,,,,,,,,,,,,2697.5,2600,2595,2600,2800,2995,2919.5,2972.5,2895,2995,3000,2999,2900,2850,2950,3150,3050,3100,3150,3200,3150,3000,3000,3100,3050,3050,3192.5,3122.5,3095,3200,3300,3350,3400,3400,3400,3400,3400,3400,3397.5,3350,3400,3450,3400,3400,3400,3397.5,3450,3400,3400,3400,3400,3445,3445,3462.5,3475,3475,3450,3400,3447.5,3445,3422.5,3400,3400,3450,3447.5,3447.5,3400
