"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75500,78900,84700,82750,80000,89950,89900,95000,95000,96900,1e+05,99950,1e+05,99450,99000,1e+05,99000,105000,110000,113500,109000,115000,114974.5,118250,119900,119694,125000,125000,135000,130000,130944,129444,130000,129900,127500,139638.5,139999.5,139800,133800,129900,128000,135150,147000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489000,487475,450000,462000,449450,475000,495000,490000,494000,499500,499950,499000,499000,489450,489900,499000,519000,525000,522000,522000,514500,522000,539000,537000,567000,615000,604450,564000,549500,586450,575000,545000,529000,549000,560000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,259900,259900,265000,271000,275000,275000,280000,294900,298000,292400,288000,295000,299000,299900,310000,3e+05,318000,319950,309900,315000,315000,319400,318800,319400,315000,319900,327000,329999,339933,335000,349900,359000,359000,363875
"Upper East Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,1344500,1350000,1380000,1350000,1350000,1349000,1395000,1400000,1400000,1350000,1393000,1394000,1360000,1325000,1399000,1395000,1395000,1399000,1395000,1400000,1495000,1397500,1400000,1395000,1375000,1352500,1295000,1295000,1350000,1395000,1495000,1680000,1754500,1795000,1795000,1825000,1595000,1500000,1595000,1725000,1712500,1710000,1892500,1800000,1900000,1800000,1800000,1850000,1895000,1850000,1750000,1895000,1888000,1995000,1950000,1895000,1900000,1995000,1999500,1850000,1964275,1897500,1849500,1850000,1890000,1825000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000,67000,65000,68000,66000,66000,66450,65000,65000,66450,66950,68900,65000,65000,66300,70000,70000,67000,69900,69900,68250,68000,69999.5,69900,70000,72000,73000,75497.5,76900,76000,76000,76950,79750,78000,79118
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92532.5,94900,95000,94900,91400,94900,95000,95000,99900,99950,98900,1e+05,99900,99600,99700,99900,99900,102500,104949.5,104999,110000,113000,110000,109950,110000,110000,110000,112350,118500,125000,129000,124900,118800,125000,128900,125000,125000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224000,229000,226950,222450,229000,230000,240000,239995,245394,250000,256000,249950,255000,229000,259900,259499.5,269950,253450,259999.5,268900,270000,276999.5,279855,279900,284500,295495,299000,299000,299000,299000,299000,299000,299450,299450,299999.5
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,134900,136000,132400,129450,129950,144000,129450,144900,155500,139900,153750,149900,166250,157500,149900,138950,139250,140450,138000,149500,150000,161950,159450,149900,151250,164700,155000,160000,154900,154900,154900
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108750,108500,108700,116500,132250,124900,117200,112500,114950,117900,125900,119900,120000,119750,120000,120000,119950,119950,114900,115900,122400
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261500,269000,269000,270000,285500,270000,269900,276450,289000,285000,289975,289950,277700,279450,289900,286000,309000,299000,299000,327028,325201,328850.5,315000,295000,284900,283447.5,287900,282500,299000,285000,296450,299900,299000
"Astoria","New York","NY","New York","Queens",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652000,652000,659500,749500,825000,829000,865000,849500,829000,840000,830000,782000,725000,712000,712000,785000,790000,725000,835000
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e+05,105250,112700,114900,112500,115000,111950,119900,122400,129500,124900,124400,120900
