"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Broad Channel","NY","New York","Queens","New York",5061,2136,0.0108849976336962,0.0313858039594399,0.0574257425742574,869
2016-09-30,"Grant","OR","Salem","Marion","Salem",5062,1206,0.0272572402044293,0.0616197183098592,0.0993618960802188,683
2016-09-30,"Estate Groves and Valencia Estates","AZ","Phoenix","Maricopa","Mesa",5063,3365,-0.00443786982248521,-0.0076673547626069,0.0398640296662546,464
2016-09-30,"Harbor Village","FL","Miami-Fort Lauderdale","Broward","Pompano Beach",5064,2237,-0.01105216622458,-0.0184291355857832,0.00358905338716913,740
2016-09-30,"South Blue Valley","MO","Kansas City","Jackson","Kansas City",5065,644,0.0046801872074883,-0.00923076923076923,-0.0197869101978691,812
2016-09-30,"Wendell Phillips","MO","Kansas City","Jackson","Kansas City",5066,740,0.0013531799729364,-0.00537634408602151,0.002710027100271,421
2016-09-30,"Altura","NM","Albuquerque","Bernalillo","Albuquerque",5067,1389,0.00798258345428157,0.0109170305676856,0.0175824175824176,595
2016-09-30,"Mountain Home","NC","Asheville","Henderson","Hendersonville",5068,1173,0,-0.00339847068819031,0.0217770034843206,869
2016-09-30,"Greenbriar","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Glendale",5069,4575,-0.000218531468531469,0.00993377483443709,0.0764705882352941,828
2016-09-30,"Miami Chapel","OH","Dayton","Montgomery","Dayton",5070,639,0,-0.0123647604327666,-0.0214395099540582,459
2016-09-30,"Highland Grove","FL","Tampa","Pinellas","Saint Petersburg",5071,1176,0.000851063829787234,0.00170357751277683,0.0585058505850585,827
2016-09-30,"Greenville","DE","Philadelphia","New Castle","Wilmington",5072,4002,-0.00373412994772218,-0.0101409844175117,-0.0326323422770123,798
2016-09-30,"Villages of Eastridge","AZ","Phoenix","Maricopa","Mesa",5073,1643,0.00182926829268293,0.0148239654107474,0.0648088139987038,939
2016-09-30,"Peace Haven","NC","Winston-Salem","Forsyth","Winston-Salem",5074,1769,0.00340328984685196,-0.000564971751412429,0.0793166564978646,542
2016-09-30,"Arlington","PA","Pittsburgh","Allegheny","Pittsburgh",5075,882,-0.0056369785794814,0.00113507377979569,0.0184757505773672,714
2016-09-30,"Barclay","MD","Baltimore","Baltimore City","Baltimore",5076,1308,-0.00833965125094769,-0.0238805970149254,-0.0318282753515914,871
2016-09-30,"Evergreen Park","CA","San Jose","Santa Clara","Palo Alto",5077,4053,-0.00270669291338583,0.0129967508122969,0.0178302360622803,512
2016-09-30,"Lincoln Knolls","OH","Youngstown","Mahoning","Youngstown",5078,548,-0.00363636363636364,-0.0283687943262411,-0.0551724137931035,578
2016-09-30,"Atlantic Station","GA","Atlanta","Fulton","Atlanta",5079,1651,0.0122624156958921,0.0166256157635468,0.0135052179251074,962
2016-09-30,"Brimhall Estates","CA","Bakersfield","Kern","Bakersfield",5080,2566,-0.00194476857253987,-0.00773395204949729,-0.0198624904507257,688
