"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Westnedge Hill","MI","Kalamazoo","Kalamazoo","Kalamazoo",3473,1215,-0.0169902912621359,-0.044811320754717,0.0305343511450382,1425
2016-09-30,"Tuscany-Canterbury","MD","Baltimore","Baltimore City","Baltimore",3474,1357,0,0.00667655786350148,0.0374617737003058,1512
2016-09-30,"Sugaw Creek-Ritch Ave","NC","Charlotte","Mecklenburg","Charlotte",3475,991,0.00101010101010101,0.00711382113821138,0.0280082987551867,769
2016-09-30,"French Quarter","LA","New Orleans","Orleans","New Orleans",3476,2184,0.00784494693124135,0.00229463056447912,-0.0491946016543317,1656
2016-09-30,"Glenwood Meadows","CA","Sacramento","Sacramento","Sacramento",3477,1385,0.0036231884057971,0.0131675201170446,0.0613026819923372,1110
2016-09-30,"Arrowhead","FL","Jacksonville","Duval","Jacksonville",3478,1181,-0.000846023688663283,0.0051063829787234,0.00339847068819031,1662
2016-09-30,"Vittum Park","IL","Chicago","Cook","Chicago",3479,1562,0.000640614990390775,0.00774193548387097,0.0539811066126856,1324
2016-09-30,"Central Business District","PA","Pittsburgh","Allegheny","Pittsburgh",3480,1490,-0.017798286090969,-0.0261437908496732,-0.0393294648613798,1118
2016-09-30,"Menomonee River Hills East","WI","Milwaukee","Milwaukee","Milwaukee",3481,1129,-0.00440917107583774,-0.00964912280701754,0.0162016201620162,722
2016-09-30,"Jackson Heights","AL","Mobile","Mobile","Mobile",3482,1008,0.00198807157057654,0.00198807157057654,-0.0251450676982592,930
2016-09-30,"Southmoreland","MO","Kansas City","Jackson","Kansas City",3483,1130,0.00533807829181495,0.00892857142857143,0.143724696356275,1274
2016-09-30,"Wilbur I","NJ","Trenton","Mercer","Trenton",3484,1283,-0.0138355111452729,-0.029500756429652,-0.128988458927359,1222
2016-09-30,"El Dorado - Oates Prairie","TX","Houston","Harris","Houston",3485,1274,-0.00156739811912226,-0.00856031128404669,0.0175718849840256,712
2016-09-30,"Central Business District - Downtown","MO","Kansas City","Jackson","Kansas City",3486,987,0.00304878048780488,-0.00804020100502513,0.0544871794871795,2443
2016-09-30,"Broadleigh","OH","Columbus","Franklin","Columbus",3487,880,-0.00677200902934537,-0.0211345939933259,0.0451306413301663,635
2016-09-30,"40th & A","NE","Lincoln","Lancaster","Lincoln",3488,1163,0.00518582541054451,-0.00171673819742489,0.0130662020905923,1860
2016-09-30,"Plymouth - Exchange","NY","Rochester","Monroe","Rochester",3489,860,-0.00921658986175115,-0.0293453724604966,-0.0549450549450549,919
2016-09-30,"Limberlost","AZ","Tucson","Pima","Tucson",3490,976,0.00205338809034908,0.0113989637305699,0.0472103004291846,812
2016-09-30,"Hilliard Green","OH","Columbus","Franklin","Columbus",3491,869,0,-0.044004400440044,-0.0461031833150384,1469
2016-09-30,"Chinatown","IL","Chicago","Cook","Chicago",3492,1719,0.00526315789473684,0.0262686567164179,0.0630797773654917,1127
2016-09-30,"Rogers Park","AK","Anchorage","Anchorage","Anchorage",3493,2151,-0.0023191094619666,-0.00508788159111933,-0.0023191094619666,1322
2016-09-30,"Drexel-Alvernon","AZ","Tucson","Pima","Tucson",3494,937,-0.00106609808102345,-0.00319148936170213,0.00969827586206897,767
2016-09-30,"Crafton Heights","PA","Pittsburgh","Allegheny","Pittsburgh",3495,949,-0.00628272251308901,-0.016580310880829,-0.037525354969574,1435
2016-09-30,"West Lake Forest","LA","New Orleans","Orleans","New Orleans",3496,1217,-0.0169628432956381,-0.0318217979315831,-0.0543900543900544,998
2016-09-30,"Park Duvalle","KY","Louisville/Jefferson County","Jefferson","Louisville",3497,783,-0.00127551020408163,-0.00634517766497462,0.024869109947644,1607
2016-09-30,"Desert Spring Flower","NM","Albuquerque","Bernalillo","Albuquerque",3498,1064,-0.00187617260787992,-0.000938967136150235,0.0181818181818182,928
2016-09-30,"Boise","OR","Portland","Multnomah","Portland",3499,2207,-0.0031616982836495,0.0128499311610831,0.127746550843127,1099
2016-09-30,"Hillman City","WA","Seattle","King","Seattle",3500,2229,0.00996828273674671,0.0229463056447912,0.107852882703777,1005
2016-09-30,"South University","OR","Eugene","Lane","Eugene",3501,1617,-0.00919117647058824,-0.0437610881135423,0.027972027972028,827
2016-09-30,"Rickarby","AL","Mobile","Mobile","Mobile",3502,748,-0.00266666666666667,-0.0183727034120735,-0.0209424083769634,1437
2016-09-30,"Centennial Park","CA","Los Angeles-Long Beach-Anaheim","Orange","Santa Ana",3503,2445,-0.00528885272579333,-0.0105220558478349,0.0338266384778013,777
2016-09-30,"Oakridge","TX","Dallas-Fort Worth","Dallas","Garland",3504,1692,0.00118343195266272,-0.000590667454223272,0.0367647058823529,1171
2016-09-30,"Rain Tree","NC","Charlotte","Mecklenburg","Charlotte",3505,1922,-0.00311203319502075,-0.00466079751424133,0.0852625635234331,1337
2016-09-30,"Guilford","MD","Baltimore","Baltimore City","Baltimore",3506,3887,-0.00715197956577267,-0.0106897429371341,0.00335570469798658,824
2016-09-30,"Westhill","AL","Mobile","Mobile","Mobile",3507,1124,0.00446827524575514,0.015356820234869,0.0349907918968692,905
2016-09-30,"Whites Bend","TN","Nashville","Davidson","Nashville",3508,1753,0.00689259046524986,0.0138808559861191,0.0150550086855819,781
2016-09-30,"Galindo","TX","Austin","Travis","Austin",3509,2028,-0.00343980343980344,-0.0164888457807953,-0.031055900621118,1089
2016-09-30,"Jacksonville Heights South","FL","Jacksonville","Duval","Jacksonville",3510,1272,-0.00156985871271586,0.00315457413249211,0.0249798549556809,1219
2016-09-30,"Park of the Canals","AZ","Phoenix","Maricopa","Mesa",3511,1277,0.000783699059561128,0.00551181102362205,0.0458640458640459,1265
2016-09-30,"Elvehjem","WI","Madison","Dane","Madison",3512,1442,-0.00345542501727712,-0.00483091787439614,-0.0302622730329522,1510
2016-09-30,"Wilbur II","NJ","Trenton","Mercer","Trenton",3513,1346,0.000743494423791822,-0.00956585724797645,-0.0855978260869565,948
2016-09-30,"Core City","MI","Detroit","Wayne","Detroit",3514,743,0,-0.00402144772117962,-0.0197889182058048,2008
2016-09-30,"Oakland City","GA","Atlanta","Fulton","Atlanta",3515,886,0,-0.00225225225225225,0.00681818181818182,1507
2016-09-30,"Downtown","OK","Tulsa","Tulsa","Tulsa",3516,1020,-0.0135396518375242,-0.0422535211267606,0.107491856677524,692
2016-09-30,"Nautilus","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",3517,2781,-0.00678571428571429,-0.0283018867924528,-0.0106723585912487,2401
2016-09-30,"South Nyack","NY","New York","Rockland","Orangetown",3518,2569,0.00587314017227878,0.00430023455824863,0.0655329738697636,746
2016-09-30,"Parkway","NM","Albuquerque","Bernalillo","Albuquerque",3519,1218,0.000821692686935086,-0.00163934426229508,0.00995024875621891,1412
2016-09-30,"Sendera Ranch","TX","Dallas-Fort Worth","Tarrant","Fort Worth",3520,1475,0.00271923861318831,0.00476839237057221,0.00613915416098227,3237
2016-09-30,"Ward Parkway","MO","Kansas City","Jackson","Kansas City",3521,1472,0.00136054421768707,-0.0120805369127517,0.121951219512195,1756
2016-09-30,"East Baltimore Midway","MD","Baltimore","Baltimore City","Baltimore",3522,1230,-0.00726392251815981,-0.0230341540905481,-0.0120481927710843,1665
2016-09-30,"Trilogy","CA","Riverside","Riverside","Corona",3523,2134,0.00234852043212776,0.00046882325363338,0.0104166666666667,3380
2016-09-30,"Edgemoor","FL","Tampa","Pinellas","Saint Petersburg",3524,1245,-0.000802568218298555,0.0032232070910556,0.0488626790227464,1425
2016-09-30,"Meadowbrook","WA","Seattle","King","Seattle",3525,2472,0.00121506682867558,0.00446972775294596,0.0537084398976982,1265
2016-09-30,"Bryant","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3526,1465,0.00411240575736806,0.0166551006245663,0.0338743824982357,886
2016-09-30,"Cloverleaf","KY","Louisville/Jefferson County","Jefferson","Louisville",3527,1038,0.00776699029126214,0.00581395348837209,0.036963036963037,1345
2016-09-30,"Mission Beach","CA","San Diego","San Diego","San Diego",3528,3226,0.00561097256857855,-0.00370599135268684,0.0147845234350425,2589
2016-09-30,"Broadway East","MD","Baltimore","Baltimore City","Baltimore",3529,1208,-0.00739523418241578,-0.0122649223221586,0.00415627597672485,3771
2016-09-30,"South Wedge","NY","Rochester","Monroe","Rochester",3530,992,-0.00301507537688442,-0.0303030303030303,-0.0998185117967332,843
2016-09-30,"Greensbriar","MI","Detroit","Wayne","Detroit",3531,729,-0.00681198910081744,-0.0175202156334232,-0.018842530282638,1614
2016-09-30,"Camelot","TX","Dallas-Fort Worth","Dallas","Garland",3532,1486,0.00134770889487871,0.011572498298162,0.0807272727272727,1519
2016-09-30,"Volker","MO","Kansas City","Jackson","Kansas City",3533,1162,0,0.00258843830888697,0.105613701236917,1558
2016-09-30,"Arrowhead Farms","CA","Riverside","San Bernardino","San Bernardino",3534,1339,0,0.00450112528132033,0.0420233463035019,734
2016-09-30,"East Community Team South","MO","Kansas City","Jackson","Kansas City",3535,643,0.00155763239875389,-0.0138036809815951,-0.0301659125188537,1801
2016-09-30,"South Salt Creek","NE","Lincoln","Lancaster","Lincoln",3536,878,0.0126874279123414,0.0233100233100233,-0.0309050772626932,1168
2016-09-30,"Riverview","WA","Seattle","King","Seattle",3537,2238,0.0103837471783296,0.0318118948824343,0.118440779610195,1433
2016-09-30,"Sunny Slope","TX","San Antonio","Bexar","San Antonio",3538,898,-0.00111234705228031,-0.00111234705228031,0.0333716915995397,1035
2016-09-30,"Overton","AL","Mobile","Mobile","Mobile",3539,1648,0.00549115314215985,0.0210656753407683,0.0659767141009056,922
2016-09-30,"Westbrooke-Heritage","OH","Columbus","Franklin","Columbus",3540,1752,-0.00341296928327645,-0.0173864273696018,0.0127167630057803,1290
2016-09-30,"Hayward Park","CA","San Francisco","San Mateo","San Mateo",3541,3896,0.00128501670521717,0.00464156781846313,0.03342175066313,1148
2016-09-30,"Park Meadow","NY","Buffalo","Erie","Buffalo",3542,1795,0.00279329608938547,-0.00333148250971682,-0.0370171673819742,1026
