"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Rosedale","New York","NY","New York","Queens",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559000,599000,629000,625000,659499.5,699000,699000,639000,639000,639000,649999,639999,639000,627000,644000,650000,689000,7e+05,699000,7e+05
"Northwest Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479950,417500,425000,419900,399950,399000,385000,385000,389900,388750,399950,399900,407499.5,422450,475000,475000,481900,475000,514900,437331,425000,439900,469900,434500,437450,449900,449900,426000,449450,449950,477500,460000,469900,469900,449950,450000,429900,431950,429950,447300
"Forest Park","Springfield","MA","Springfield","Hampden",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141900,143749.5,142499.5,149900,149950,147400,144900,137400,144900,134900,146800,149900,149949.5,145000,132000,144900,144400,134499.5,134499.5,139900,139450,139450,139900,140000,144900,139900,139000,129950,129900,135000,139450,142400,139000,135122,144900,137561,144900
"Great Bridge","Chesapeake","VA","Virginia Beach","Chesapeake City",73,464900,467950,466000,459900,455000,458400,477777,476388.5,480900,478838.5,476388.5,477777,469900,469900,457900,449450,439900,419500,419500,420950,419000,419950,399500,405900,411900,414900,403900,404650,404150,418900,428575,419900,404625,409900,405450,399900,404900,428700,420000,429900,439000,439900,434950,429900,425000,417950,412745,408150,404400,412322.5,399900,391900,397900,404400,396000,409625,403400,437950,444900,444900,439900,439894,439644,450500,451920,451840,452585,438900,459900,454900,449950,449900,434400,427827.5,434900,434900,439900,434900,434900,434400,429900
"Greenbrier East","Chesapeake","VA","Virginia Beach","Chesapeake City",74,498500,499000,489500,489000,479950,479950,495000,491875,529000,483900,483900,492500,491750,476950,469000,449950,468450,459900,455140,449945,449990,439900,389900,388900,389900,390950,381900,391900,416985,426900,433912.5,438900,416985,406000,433912.5,465500,454995,440870,448200,416900,450000,432427.5,429900,438565,426500,435725,428950,449500,448812.5,444740,412900,412900,412900,419445,412900,412900,404400,403900,409900,403900,401900,403900,406233,409400,415400,415795,409844,408150,409400,409844,419900,419990,417325,420900,417900,419400,417162.5,419650,419062.5,418862.5,429900
"Anthem","Henderson","NV","Las Vegas","Clark",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747444,709450,764900,710000,695000,722449.5,695000,704900,698750,740000,770000,797000,797000,772000,750000,750000,750000,8e+05,8e+05,781450,774900,795000
"Sheep Mountain","Las Vegas","NV","Las Vegas","Clark",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408381,392492.5,394990,397495,402189.5,414101,409096,398990,404894.5,411990,406799,376950,374000,412437,420000,420000,407990,422062,431944,423888,435000,421950,419450,417000,409900,460600,499850,494145
"Westgate","Henderson","NV","Las Vegas","Clark",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444950,422000,439900,454990,499900,528950,463551.5,472113,450869,499999,494999.5,483401.5,483401.5,485000,492450,486500,492400,5e+05,542450,535000,599450,552000,520000,549900,550000,550000,541944,529950,534888,577354.5,549450
"Elkhorn","Omaha","NE","Omaha","Douglas",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473997.5,489000,498425,450000,450000,426500,430225,423950,426500,430225,433950,450000,461000,469000,469450,469450,467512,467512,467512,479950
"North Stamford","Stamford","CT","Stamford","Fairfield",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159000,1249000,1249000,1199000,1249000,1125000,1125000,1099000,1125000,1212500,1125000,1099000,1099000,1072000,1045000,1125000
"Pine Hills","Albany","NY","Albany","Albany",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177900,178450,180500,183450,192200,194500,194500,169900,174450,175000,169900,171200,173750,188000,180000,187000,167450,169900,184500,179000,182000
"Lake Houston","Houston","TX","Houston","Harris",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283950,309900,290425,289900,290925,342868,344443,342868,366990,365945,374945,379900,365990,369490,401995,416920,384990,384990,422840,438490,437572,419900,429167,416925,402265,407470,429167,441199,434083.5,420908.5,426992,434692.5,430947.5,448189,430781,435056,429000,424083.5,429553.5,429000,422467,418825.5,409533,409533,409000,409696,427720,427900,427540,430000,411500.5
"Pinnacle Peak","Scottsdale","AZ","Phoenix","Maricopa",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670000,1749000,1767000,1687250,1880000,1675000,1595000,1495000,1597250,1575000,1585000,1595000,1650000,1560000,1705000,1790000
"New Tampa","Tampa","FL","Tampa","Hillsborough",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,317500,309900,304900,310950,323990,309900,321995,325900,321750,321990,328690,329750,325900,331290,333990,335595,329900,326945,325000,328495
"Mill Basin","New York","NY","New York","Kings",84,,,,,,,,,,,,,,,,,,,,,,,,,,,1349000,1399000,1175000,1349000,1299000,1175000,1199000,1199000,1224500,1369000,1369000,1224500,1369000,1399000,1384000,1369000,1369000,1399000,1399000,1389000,1379000,1379000,1399000,1379000,1524000,1549000,1379000,1299000,1199000,1299000,1299000,1349000,1349000,1414500,1450000,1450000,1399500,1349000,1547000,1499000,1399000,1349000,1290000,1199000,1290000,1249000,1299000,1349000,1400000,1349000,1349000,1199000,1149500,1299000,1299000
"Osterville","Barnstable","MA","Cape Cod","Barnstable",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2974500,2772500,2795000,2722000,2695000,2795000,2595000,2672500,2795000,2595000,2469000,2359500,2359500,2495000,2495000,2495000,2595000,2595000,2650000,2475000,2475000,2595000,2545000,2485000,2595000
"Northwest Harbor","East Hampton","NY","New York","Suffolk",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395000,2345000,2295000,2272500,2250000,2495000,2350000,2350000,2250000,2350000,2295000,2367000,2464500,2490000,2295000,2395000,2495000,2195000,2195000,2345000,2500000,2610000,2895000,2950000,2950000,2562500,2595000,2547500,2595000,2595000,2645000,2750000,3200000,3200000,3025000,3200000,3322500,3275000
"The Dominion","San Antonio","TX","San Antonio","Bexar",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922500,1040000,1097500,1047500,1112500,997000,995000,1047500,995000,929000,947000,1047500,995000,995000,939499.5,925000,939999,939999
"Alafaya","Orlando","FL","Orlando","Orange",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327551,328725.5,318000,319995,324900,320000,314900,309990,309900,302495,309990,310490,295000,299949.5,299999,318857.5,304900,307897.5,314000,328938.5,326495,336450,331950,328945,332000,328220,320000,337900,341000,342000,337900,333900,330000,337900,340000
