"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,126.31585167909,124.877571008815,129.774730656219,132.668325041459,131.773390664184,133.004926108374,130.303346293187,127.310388782664,131.535087719298,127.311522048364,128.668785077395,123.731435643564,116.491841491841,120,125.056230319388,125.944016911775,126.832377310389,126.832377310389,116.767865483419,116.497741610586,107.990874785592,107.92,107.92,107.92,115.773615635179,120.553023813806,125.165562913907,119.21201814059,119.444444444444,118.698441796517,113.917015449188,124.793224626869,123.163565132223,122.986949547838,129.532133399865,119.77886977887,124.025513819986,125.274151436031,125.92867756315,134.310810542694,140.790693219005,142.644246254057,145.46283629731,150.892374256355,149.625935162095,152.046138664483,153.949447077409,143.425925925926,140.635221883007,151.58924205379,154.999992633094,152.359773497414,157.36600890517,151.120375195414,150,151.120375195414,148.579413134606,152.818991097923,151.401446654611,148.125291103866,162.343605189991,162.187210379981,167.86301373582,169.124024284475,173.086994544208,168.435069137056,164.787372441918,163.673678809646,183.938814267654,186.796699174794,182.651622002821,190.694492664588,189.042292096239,189.269190325973,213.95655036208,214.053448901823,214.150347441567,208.116770616771,212.575941676792,213.266246019436,223.40003797734
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.969465648855,86.4197530864197,85.513078470825,86.7849223946785,87.10407239819,86.3636363636364,89.8357289527721,90.0709219858156,87.1046064253307,88.6721391391864,89.5739910313901,93.8511326860841,95.0597548260248,96.0422278992629,93.6363636363636,99.0327380952381,100.231481481481,96.4523281596452,100.808860679861,97.9623824451411,100.942509871081,101.802507836991,107.947530864198,107.142857142857,103.626943005181,106.611078022633,109.10304972805,107.656072241183,105.218855218855,112.986167030003,113.980409617097,112.97798377752,111.873607001972,111.924264007597,109.631929046563,113.1625967838,120.822916666667
"Upper West Side","New York","NY","New York","New York",3,1104.41767068273,1003.01204819277,1081.41524877226,1119.19195953142,1150.34144259496,1130,1119.96251171509,1122.48125585754,1115.39284361786,1091.33212024717,1102.20883534137,1104.83870967742,1145.56416881998,1125,1200,1229.36948297604,1262.24928595788,1258.90529973936,1229.50819672131,1191.56736938588,1194.70538001708,1150,1151.98887938409,1150,1078.07807807808,1170.58823529412,1192.66055045872,1192.66055045872,1193.83027522936,1166.66666666667,1181.48148148148,1209.5782396088,1166.23488773748,1150.72566303994,1162.64367816092,1191.32290184922,1211.91135734072,1271.71215880893,1226.92307692308,1212.12060606061,1212.01598170066,1189.41145092461,1187.5,1254.07735321528,1304.34782608696,1293.72210476862,1358.64135864136,1405.78635014837,1461.74863387978,1429.98027613412,1330.55555555556,1297.81420765027,1354.09067882472,1380.55555555556,1392.28295819936,1386.11111111111,1461.53846153846,1524.90421455939,1527.4123342283,1530.16635617871,1532.91909872591,1549.55708190031,1557.10764174199,1555.55555555556,1562.29825693996,1604.42600276625,1670.17913593256,1650.20631409822,1680.83462132921,1681.60169828237,1727.47580044676,1786.84376976597,1910.85659004929,1930.48576214405,1905.43959519292,1903.91459074733,1880.23450586265,1880,1887.58389261745,1887.58389261745,1913.70911621434
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.835847382431,347.224730810454,342.748091603053,339.950347425343,341.86015086022,339.783767738873,338.258759750514,346.812070433803,343.312151486989,351.398155420116,357.432432432432,365.422053677435,358.65173554587,366.645292263808,368.071021706779,377.524143985953,378.279330768694,377.66761095373,377.66761095373,375.881685695418,377.996298309648,397.318395264914,398.407044553301,400.445434298441,389.183830465554,398.529411764706,400,400.850292598036,394.886363636364,393.810032017076,405.555555555556,424.796303268346,403.562119895743,408.532176428055,402.99667095235,418.936795783916
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.474961585438,220.527181775577,220.120071629468,221.280602636535,225.000381004633,234.33519245335,235.640648011782,243.594834850959,245.621934396076,253.629316420014,251.965725806452,254.100593077476,263.419483101392,262.204247045201,259.150479580141,270.110076206605,267.73350751143,267.795325184287,264.383012820513,264.378001116139,263.595166163142,265.494432526305,267.584097859327,268.443575916489,276.389448168589,276.846153846154,274.725809735414,273.25358992467,272.259493670886,270.601777838314,277.261466688469,294.502617801047,298.111332007952,298.111332007952,301.780653556969,310.945273631841
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.01148742872,1453.18889970789,1457.75360485707,1312.03263086336,1301.15309738931,1289.14057295137,1396.66666666667,1377.95275590551,1450,1447.94788544789,1329.16666666667,1401.29096855387,1336.38928067701,1354.64087439278,1403.60169491525,1464.592760181,1434.51680672269,1393.93655317234,1419.6065128901,1391.73373481286,1477.07458022378,1463.38383838384,1421.46410803127,1454.54545454545,1684.21052631579,1684.21052631579,1628.6167497555,1578.00274664093,1628.28718322832,1576.31578947368,1620.94763092269,1611.22167870921,1601.49572649573
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1681243926142,64.034151547492,63.0952380952381,63.6550308008214,63.1681243926142,63.4259259259259,64.4396551724138,62.6899696048632,65.2577146111629,64.4284474206349,63.1195335276968,64.4142270003239,62.3716453017693,62.5260960334029,62.9021381578947,66.3801337153773,66.334006251628,64.0224358974359,64.8148148148148,65.442415835086,64.5771144278607,64.1627543035994,65.2400835073069,65.11175898931,66.4176449662042,68.5131195335277,70.2380952380952,70.7861902167731,73.2091194552495,74.1752096924511,74.2468415937804,74.3258017492711,74.4641192917055,74.8697916666667,74.613105541626
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2509652509653,90.3876778324256,92.1787709497207,94.9390243902439,94.8940269749518,91.2674912699322,93.160621761658,95.6937799043062,96.0407239819005,96.9760166840459,96.7536422853165,95.2380952380952,97.8831700007853,99.0615224191867,96.5995771099778,97.1540726202159,97.4133281446283,97.9098628347485,100.517763342556,100.393908629442,101.764186929282,104.166666666667,105.089226701917,105.136436597111,104.45652173913,106.324693250159,107.454751131222,107.466063348416,107.65306122449,111.425339366516,114.107883817427,116.171095986241,116.171095986241,112.690108913818,114.223646187434,117.664376840039,117.493472584856,116.637440153834
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.449910619337,231.87017592657,222.78797512895,222.554601054041,222.437137330754,228.758169934641,239.190432382705,239.190432382705,248.41967243283,253.759062248271,253.606739305892,242.007009752117,244.100895036615,229.166666666667,258.838383838384,270.924087274647,272.739572989076,265.668767507003,266.525034451079,278.189910979229,278.810408921933,281.164698988882,284.438775510204,296.108291032149,291.937229437229,296.195450046632,303.030303030303,311.580854015724,298.295454545455,295.417409387998,298.295454545455,305.634266699224,307.377049180328,304.426273534234,305.573616529403
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.503184713376,95.1388888888889,106.105106516291,107.606144033423,108.430631868132,112.068965517241,105.9,106.804790419162,107.52688172043,125,123.425924605947,132.244301719142,135.245901639344,130.555277888844,143.248220448663,137.775735294118,142.581967213115,139.91935483871,124.538745387454,115.495028997514,115.287903893952,126.405098280098,123.395061728395,124.166666666667,134.426229508197,134.730538922156,143.325143325143,129.501439263097,130.750749521437,150.305303473849,150.175644028103,151.639344262295,133.933316798356,132.779777233099,149.229287090559
