"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Southwest Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",284,1804,-0.00386526780784097,-0.0104223806911684,0.014052838673412,10840
2016-09-30,"South Loop","IL","Chicago","Cook","Chicago",285,1975,-0.0285292670929661,-0.0831012070566388,-0.0792540792540792,977
2016-09-30,"South Boston","MA","Boston","Suffolk","Boston",286,2915,0.00171821305841924,-0.00545888775162061,0.00275197798417613,1882
2016-09-30,"Cobbs Creek","PA","Philadelphia","Philadelphia","Philadelphia",287,1229,0.00408496732026144,0.0327731092436975,0.0876106194690266,1999
2016-09-30,"Westchester","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",288,3810,0.00474683544303797,0.0176282051282051,0.0353260869565217,8173
2016-09-30,"Shelby Forest-Frayser","TN","Memphis","Shelby","Memphis",289,651,-0.00306278713629403,-0.0151285930408472,-0.0180995475113122,11067
2016-09-30,"La Sierra","CA","Riverside","Riverside","Riverside",290,1788,-0.0016750418760469,-0.00666666666666667,0.00619020821609454,5175
2016-09-30,"Hyde Park","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",291,2385,0.00294365012615643,0.0179257362355954,0.0719101123595506,6587
2016-09-30,"Studio City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",292,5237,0.00210486031381554,0.0180793157076205,0.110946117946542,7059
2016-09-30,"Addicks Park Ten","TX","Houston","Harris","Houston",293,1594,-0.00561447286338116,-0.0184729064039409,-0.000626959247648903,962
2016-09-30,"Whitestone","NY","New York","Queens","New York",294,2440,-0.0016366612111293,0.00287710645293876,0.0391822827938671,5783
2016-09-30,"Del Rey","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",295,3687,0.000271296798697775,0.00408496732026144,0.053729637039154,4494
2016-09-30,"Riverview West","CA","Los Angeles-Long Beach-Anaheim","Orange","Santa Ana",296,2488,-0.00240577385725742,-0.00915969733174034,0.0221857025472473,3798
2016-09-30,"Fort Greene","NY","New York","Kings","New York",297,2827,-0.00141292829388908,-0.000353606789250354,-0.00911321416053277,509
2016-09-30,"West Lawn","IL","Chicago","Cook","Chicago",298,1526,0.0026281208935611,0.00925925925925926,0.0452054794520548,7475
2016-09-30,"West","CA","Fresno","Fresno","Fresno",299,1231,0.00244299674267101,0.00489795918367347,0.00901639344262295,10023
2016-09-30,"Whitney","NV","Las Vegas","Clark","Las Vegas",300,1144,0,-0.00348432055749129,0.0159857904085258,9769
