"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Bucktown","Chicago","IL","Chicago","Cook",204,385000,389000,386450,387900,385000,385000,374000,369000,364000,364900,369900,364450,364900,350000,335000,342400,335000,344900,339000,325000,325000,324949.5,324000,314500,299950,333000,344900,339900,339450,336950,348450,349450,349900,345500,365000,350000,350000,369500,384950,389000,398750,399450,383825,389000,395000,399900,389500,394999,415000,399000,399000,399000,389900,4e+05,424900,399900,399900,412450,399450,399000,435000,417450,439000,425000,439000,425000,437500,450000,439900,449999,462000,449450,449499.5,449000,449000,450000,450000,460000,450000,454000,479450
"Streeterville","Chicago","IL","Chicago","Cook",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517500,559000,539000,535000,507500,525000,502500,510000,512500,537450,535000,536350,527000,529000,522500,498000,495000,509900,499900,499000,499000,497000,499000,499800,507400,499850,499000,499450,489000,489450,483450,479000,486000,486950,479000,475000,492450,457000,485000,494000,470000,475000,490000,499450,499000,499000
"Tioga","Philadelphia","PA","Philadelphia","Philadelphia",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39900,40000,39900,39900,39200,41450,45000,45000,40000,39950,38000,35900
"South Reno","Reno","NV","Reno","Washoe",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209500,205000,207500,212500,217500,220000,217500,217500,209950,193500,224900,202500,189900,214500,214900,217500,218000,218000,219200,214500,234450,239000,249500,245950,249900,255000,260000,247450
"South of Market","San Francisco","CA","San Francisco","San Francisco",208,599000,599000,599450,599000,570000,550000,570000,590000,599000,599000,598000,593500,599000,599000,559000,549000,575000,557500,533995,545000,525000,499000,499000,499000,520000,520000,520000,529000,589000,559000,580000,599000,646500,650000,643500,639000,725000,650000,649000,689000,675000,695000,699000,729000,729000,729000,738000,754500,764500,799000,757500,795000,795000,779000,799000,799000,849000,850000,895000,944000,899000,897000,899000,895000,899000,849000,898500,899000,899000,899000,899000,895000,899000,975000,914250,9e+05,899000,889000,883500,888000,899000
"Downtown","Stamford","CT","Stamford","Fairfield",209,275000,317000,316500,299500,297250,289500,299250,334499.5,299500,270000,265000,249000,249000,271850,284500,257500,255000,244950,249000,239000,242000,249900,239000,245000,259000,259000,264999.5,249000,262500,260000,260000,242000,260000,260000,279900,254450,250000,250000,247500,260000,260000,269000,315000,314900,310000,279450,302000,305000,299000,298000,309000,314750,305000,307000,299000,310000,299000,299000,268000,285000,3e+05,295000,287497.5,274500,279500,308500,319500,299000,308000,309000,299000,299000,313500,299000,314000,319000,312000,322000,322000,324900,325000
"Avondale","Chicago","IL","Chicago","Cook",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309000,293700,329000,329500,325000,329000,329900,332500,334900,329900,324925,329900,324900,324950,335000,335000,324900,319000,294500,304500,298500,279000,279000,276200,309000,299000,312200,335000,369000,379999,379900,379000
"Midtown","New York","NY","New York","New York",211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297500,2500000,2350000,2120000,2105000,2372500,2195000,2130000,2297500,2400000,2400000,2400000,2400000,2495000,2630000,2495000,2500000,2625000,2495000,2462500,2495000,2499000,2498500
"Astrodome Area","Houston","TX","Houston","Harris",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126000,124900,124900,129000,129000,125000,135000,144000,139950,139750,135500,136000,147950,150000,149900,147990,135000,135000,139975,149000,145000,142250,141750,152850,162000,149900,153750,139500,144894,144900,140000
"Desert Shores","Las Vegas","NV","Las Vegas","Clark",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74900,75000,79250,75000,75000,83500,79900,80000,79000,79400,74000,69945,77500,79500,78250,82000,84900,82000,79974.5,74950,83950,84900,80000,84900,94500,84900,84900,89700,84900,89949.5,84900,86900,88000
"Harrowgate","Philadelphia","PA","Philadelphia","Philadelphia",214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44500,47950,42450,38250,38700,35500,38700,36250,35000,35200,37450,39900,44000,39000,34200,35000
"Charlestown","Boston","MA","Boston","Suffolk",215,414450,415000,429000,415000,419000,425000,419000,415000,412500,399000,399000,422000,409000,409000,399000,409000,437000,415000,439000,449000,449000,479000,469000,454000,499000,494450,475000,459000,449000,459000,459000,474000,529000,514500,522000,484450,499000,510000,494000,504450,529000,499450,469900,525000,525000,549000,549000,554000,649000,659450,599000,589000,559450,589000,599000,599000,599900,569000,547250,539000,595500,625500,632750,609000,619000,599000,604500,635000,604500,599900,634000,649750,645500,625400,612000,615000,629000,639000,669000,725000,699000
"Metro West","Orlando","FL","Orlando","Orange",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,84900,85000,89900,86950,89500,95000,1e+05,110000,109900,110000,109250,110000,108000,105000,99900,99940,108150,110000,112400,105000,109990,113000,119900,119700,119900,115000,113450,110000,118500,115700,120000,120000,120000,128950
"Adams Morgan","Washington","DC","Washington","District of Columbia",217,369950,369950,389000,424900,398000,399900,399900,399900,444900,434950,424950,415500,421000,427450,375000,382450,388500,385000,349900,381750,429000,425450,459450,454950,449750,449250,409000,424000,445000,412450,386000,386000,399000,432450,480000,485000,462450,479999.5,435000,425000,464950,452500,489000,495000,499000,499000,489999,549000,499945,489990,499450,549000,474950,425000,412500,395000,424450,427450,429900,464000,419900,432500,449000,434950,449450,479900,472450,469450,479450,484500,499700,525000,499900,499900,474900,5e+05,499900,525000,575000,549000,549000
"O'Hare","Chicago","IL","Chicago","Cook",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,119900,115000,109500,110900,129900,134200,132900,132900,129900,127000,126250,124450,119900,115000,119900,124900,129000,124900,128500,125900,121900,124900
"Midtown","Atlanta","GA","Atlanta","Fulton",219,185000,189900,197850,198375,195000,189900,195450,209950,199900,189000,179900,185000,179900,189900,189900,172000,179900,175000,180000,180000,186450,189000,184950,189900,199250,189900,179900,184250,179900,185000,183250,187000,189000,189900,2e+05,2e+05,209900,224900,220000,229000,224900,234900,229000,232400,224950,234950,229000,248600,229450,221900,219900,219900,219950,229000,234850,225000,224900,224950,224900,227450,229900,232450,220000,225000,237400,249000,247250,255000,257399.5,255000,250000,249900,259500,262450,265000,272500,275000,269900,272500,275000,279450
"Seatack","Virginia Beach","VA","Virginia Beach","Virginia Beach City",220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272450,274900,259900,269000,259616.5,274900,259000,247500,264900,230000,254900,254900,246450,252450,240000,244900,260000
"Tribeca","New York","NY","New York","New York",221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5350000,5450000,5500000,5725000,5500000,5499021,5350000,5350000,5495000,5500000,5495000,5472500,5500000,5550000,5750000,5550000,5398000,5200000,4998000,4995000,4995000,5250000,5325000
"Logan Circle","Washington","DC","Washington","District of Columbia",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435000,489000,509000,536950,480000,520000,504499.5,489450,482450,463000,542450,547000,548900,549900
"Macgregor","Houston","TX","Houston","Harris",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367450,376070,383450,389900,374820,356900,366270,352950,349900,354950,379900,348500,330000,329900,329000,322450,297000,285000,280000
"Spuyten Duyvil","New York","NY","New York","Bronx",224,299950,299000,285000,279000,279000,289450,285000,299000,285000,279000,285000,285000,279750,279000,285000,277000,279000,267250,259000,259000,269250,259500,259000,250000,262000,279000,299000,285000,259000,259000,259000,275000,259000,249000,242450,239000,235000,239000,252500,250000,252450,250000,250000,254950,259000,274900,269000,267000,269500,274000,269000,274450,271750,274900,265000,274000,265000,260000,262450,259000,265000,265000,265000,260000,259000,250000,259000,259000,249750,249750,249825,249375,250000,249750,250000,250000,274500,270000,250000,265000,274000
"Wynwood - Edgewater","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365857.5,360000,360000,360000,375500,376000,377450,389000,399900,420000,420900,419754,399999,410000,399999.5,399000,4e+05,415000,426450,415000,442000,449000,440000,429000,435000,424900,384990,394900,432000,442500,475900,499000,528450,539000,549000,559000,525000,512000,510000,510000,497975,480000,469500
"University Village - Little Italy","Chicago","IL","Chicago","Cook",226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292500,288000,279000,284950,289999,295000,289900,299000,304900,289900,289900,299000,289900,289900,289900,269900,267000,278500,294750,294500,292200,312400,314900,312450,324900,342000,352000,349900,335000,324950,329000,315000,315000,324500,329900
"Gold Coast","Chicago","IL","Chicago","Cook",227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519000,539900,525000,485000,450000,449900,459000,450000,471950,469000,467000,472000,465000,485000,510000,515000,519950,519000,515000,549000,525000,549000,557250,549900
