"RegionID","RegionName","City","County","State","Metro","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
274772,"Northeast Dallas","Dallas","Dallas","TX","Dallas-Fort Worth",1,4.08797913998964,4.14696226134505,3.65370560103591,4.44938820912124,3.89626818469323,4.01808237977034,3.64004558460618,3.84615384615384,3.70507646267468,3.76737967914438,3.71747211895911,3.84763370527126,3.84763370527126,3.77285851780558,3.88461538461539,4.004004004004,3.96158463385354,3.74212671359763,3.32044272569676,3.28643871098465,3.12989811912226,3.03030303030303,3.33890746934225,3.42271396029938,3.63855421686747,3.4965034965035,3.69563687413647,3.70644922164566,3.7200967783499,3.25118817109664,3.07692307692308,3.12257806445161,3.57270453733476,3.23624595469255,3.53982300884956,3.50889504894909,3.22684737011939,3.15962863132674,2.88659793814433,3.36666666666666,2.94829743508769,3.03490835405729,2.95652173913044,3.13356883172993,2.70271000732435,3.32152801928408,3.22653505426863,3.15151515151515,3.125,3.09278350515464,3.13689446366782,3.41880341880342,3.62650602409639,3.24579521982886,3.09449394866339,3.43091988909468,3.27074489268495,3.54073823357966,3.04480208786428,3.21331784746419,3.09278350515464,3.12597686777117,3.2258064516129,2.85795941697627,2.63227165043433,2.58004933375822,2.96355820192945,2.66449157150626,2.86298568507157,3.10096153846154,2.86329165812667,2.70273922620576,3.03030303030303
192689,"Paradise","Las Vegas","Clark","NV","Las Vegas",2,6.8119182204224,6.04960677555959,6.10362809628287,6.77692728266813,6.3625450180072,6.53408656955045,6.17283950617284,6.25,5.84905660377358,6.0391363022942,5.81327400606884,5.55864369093941,5.57780864231825,5.56173526140156,5.55555555555556,6.31578947368421,5.10936675461742,5.86628750017597,6.2604620020087,6.06676470588235,5.45272636318159,5.37130497476568,5.37189895575748,5.12342459800087,5.53998754559203,4.25531914893616,5.0093808630394,5.2830194517852,5.72601457277399,5.86854460093896,4.7685599424986,6.02846759539673,5.91715976331361,5.03953823953824,3.58620689655172,4.49438202247191,4.25015805839774,4.11240575736807,4.68935496636328,4.80952380952381,4.76190476190477,4.90963855421687,4.08803212851406,4.42647058823529,3.70029136881613,4.28076962231497,3.57270453733476,3.74001706365302,3.78151260504201,3.03076689768249,3.03582718456981,3.92208475914715,3.84911470361817,3.10333204930662,3.82804385458742,3.84615384615384,3.57155612700454,3.39097999321804,3.22591051324236,3.05966423266554,3.08009385096671,2.44897959183673,3.09027777777777,3.33333333333333,3.0834684647863,2.75049115913556,2.66233766233767,2.86123032904149,2.8297750667175,3.03031221309514,2.60863668792449,2.63227165043433,2.38907849829352
112345,"Maryvale","Phoenix","Maricopa","AZ","Phoenix",3,8.68494342906875,7.61872151702661,6.75917740999093,9.10125142207053,9.09090909090909,9.93517231309652,9.68992248062015,7.15307582260372,10.0200400801603,6.83839366866275,7.66437574779487,5.90590590590591,5.25547445255474,6.4760056137019,6.88524590163935,3.75004687558594,7.14285714285714,5.4320987654321,5.84876748834111,7.375743133846,2.76509126901173,3.6671146953405,3.97805212620027,3.84615384615384,2.13675213675214,3.125,4.12328767123288,4.66977985323549,3.68462735585204,5,4.25531914893616,6.60326086956522,4.67884465602457,3.78571428571429,3.22688172043011,3.48227137994897,3.1496062992126,2.74434688273384,3.58181818181819,2.17706821480407,2.67561521252796,2.22469410456062,2.25988700564972,2.32221653051504,2.44021473889702,3.03214069132808,2.44100895036615,2.75675675675676,2.29508196721312,2.60869565217391,3.03398058252428,3.1324004305705,3.07692307692308,3.06122448979592,2.32558139534884,1.7885674030822,2.36748548542727,3.14884302689181,2.7031704525904,2.9126213592233,2.42216350231618,2.45398773006135,2.35432607416127,1.66666666666667,1.5985633537447,2.31818181818182,1.80995475113123,1.9490201068051,2.39318181818182,2.7972027972028,2.421875,2.53064491919748,2.39844877112815
270958,"Upper West Side","New York","New York","NY","New York",4,4.97619047619048,4.51058835036925,4.12,4.16,3.98080002463509,3.85356454720617,3.59605911330049,4.40087145969499,4.07407407407407,4.27051671732522,4.31137724550898,4.47761194029851,4.03846153846153,4.2,4.54545454545454,4.90823625587574,4.44669138299068,4.14896551724138,4.17536534446764,4.07999999999999,4.25985573651499,3.69516982420208,4.27619047619047,3.9620253164557,4.33564242698506,4.34782608695652,4.37864923747277,5.4914948065633,4.37158469945356,4.16,4.44938820912124,4.65116279069767,4.12371134020618,4.50367314442877,4.00695698708944,4.16666666666666,4.12371134020618,4.36827041024942,4.7220895046982,5.31578947368421,4.54545454545454,4.76190476190477,4.70769230769231,4.60885706709095,4.77611940298508,4.07407407407407,4.04400801603206,4.34782608695652,4.54545454545454,4.84848484848485,4.02416116077212,4.16666666666666,5.65811939752424,3.77827215424545,4.03225806451613,4.13698630136986,4.50511945392491,4.54545454545454,4.26159571571208,3.77777777777778,4.77099236641222,5.23809523809524,4.64516129032259,4.36006075949367,4.29093183239524,4.15229885057471,4.53913043478261,3.96659707724426,4.42857142857143,4.00400801603207,3.84615384615384,4.43478260869565,4.82551078785284
27080,"Sherman Oaks","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim",5,4.42078170776474,4.49438202247191,4.8007608208015,4.76190476190477,4.66942583154559,4.99998845705452,4.63713918429356,4.61065182829888,3.77396326301436,4.31714832393211,3.78071833648393,4.05161241863052,4.76397916112518,4.2035359155054,3.98933214801644,5.08474576271186,4.55062571103527,3.61370434152089,3.83382484933966,3.88181714776993,3.84245799591502,4.44444444444444,3.77777777777778,4.22920681575554,4.35413642960812,4.42869796279893,3.94789579158317,4.16152816141277,3.4989262148238,5.72550838452881,4.21949030114723,3.62941388943501,4.41939479145745,3.45065562456867,4.26006760227042,4.17014178482068,3.96078431372549,2.9096416806604,3.54809563039103,3.6781288182929,4.34782608695652,3.24499729583558,3.12989811912226,3.17965023847376,2.56476019492178,3.66177140255009,2.91036088474971,3.03789563991789,3.30034129692833,3.34448160535117,3.37101414043191,3.59897172236504,3.73791805662476,3.61881785283474,3.19355435175046,3.52737599871515,4.47761194029851,3.43818580833943,3.44827586206896,2.84005979073244,3.65365365365365,3.51724137931034,4.26372012988311,4.14489675516224,2.98618887644644,3.48164972909296,3.85356454720617,2.86162988532206,3.22788896061975,4.04040404040404,3.48612007746933,3.14419595314164,3.24400771579575
118208,"South Los Angeles","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim",6,6.00000000000001,4.2571306939123,6.07597270883275,6.93333333333334,5.81395348837209,5.242673992674,5.25201233732039,5.79449656957756,4.43458980044346,5.40540540540541,5.00250125062531,5.01792114695341,5.2956866117639,3.96039603960396,4.12595005428882,4.01606425702812,4.16840350145894,3.74951874759374,3.4871909174128,4.23076923076923,5.04901960784314,3.83546414674819,3.2828727668627,4.03853278992219,3.85542974570886,3.99319319319319,4.12844036697247,5.82677165354331,3.84653846153846,4.76190476190477,4.78311752289355,4.53914989331478,3.92213916781624,3.2258064516129,2.65668426930725,2.7327046368549,2.99053704483614,4.32432432432432,3.84615384615384,3.69544872983078,3.42160837238144,3.33444481493831,3.59401676613665,4.36693868056643,3.03951367781155,2.68035565039566,3.0440105755542,3.48702994957779,3.125,3.46020761245674,2.89855072463768,3.33444481493831,2.89855072463768,3.34448160535117,4.26961770623742,3.85542168674698,4.28544081554518,4.62601788053072,4.12979351032449,1.49700598802395,3.34448160535117,3.92357014619134,3.57270453733476,5.44100097960638,4.25724637681159,4.12686908147996,3.10481350281309,4.34971726837755,3.15261044176707,2.33834762441754,2.5,4.28693912546442,3.41239428991938
270957,"Upper East Side","New York","New York","NY","New York",7,4.76198034889442,4.95238095238095,4.22200183971484,5.40540540540541,4.52173913043479,4.34782608695652,4.4543429844098,4.58041958041958,4.38049560351718,4.53834115805947,4.92957746478874,5.4127198917456,4.79144446410721,4.92619047619048,4.62870483854198,4.95238095238095,5.25062656641604,4.76569005980771,5,4.49438202247191,4.00667779632721,4.83178388293659,4,3.84615384615384,5.01396648044693,5.07936507936508,5.0125313283208,4.54800817160367,4.45652173913044,4.59681864713757,4.81065918653576,4.52261306532663,5.27472629387297,5.41645096347426,4.59770114942529,4.41767656070097,4.42743417023883,4.77326968973747,4.7637959075608,4.16666666666666,4.36974789915966,4.90196078431373,4.77137252372406,4.58550200346188,5.17852805440855,5.00250125062531,4.52664736931721,4.03337969401947,4.95238095238095,5.07936507936508,4.82758620689655,4.03225806451613,5.16787180698376,5.0974025974026,4.92063492063493,4.54545454545454,5.15517090654777,5,5.36340852130326,4.28210560625815,4.89689164480484,4.16666666666666,5.1339349663372,5.55555555555556,5.24653156232104,4.97619047619048,5.25423728813559,5.26315789473685,5,4.79151122080009,4.47284345047924,3.97418565672604,4.30881101570356
192820,"Sunrise Manor","Las Vegas","Clark","NV","Las Vegas",8,6.97674418604651,7.423458427512,7.14285714285714,8.90710382513661,7.70416024653313,7.99907999079991,9.2929292929293,6.8705774937229,8.42292993630574,7.14285714285714,7.70680863818925,7.15307582260372,7.01001430615165,7.65171503957783,6.6822429906542,6.75844806007509,7.69900320018964,7.29841082989994,6.53756981493832,7.71414532947535,6.99404100146752,6.66666666666667,5,5.14837819185646,4.52234877246266,6.66666666666667,5.99889410463652,4.8952495249525,5.40832882639265,6.25812441968431,5.55555555555556,5.46198830409357,5.77933450087565,4.39618252570708,4.80186475067853,5.73986308583465,5.00863557858376,5.03781533932288,5.36842105263158,6.25007812597658,4.76417341591234,5.005005005005,4.55882352941176,4.70727898966705,4.88042947779405,3.64007367068145,4.44444444444444,3.60128617363344,4.0016006402561,4.16840422574367,3.42857142857143,4.40562833575934,3.09471709909347,3.57398141529665,3.83382484933966,3.63636363636364,4.44642063139173,3.76881994517167,3.87986461437892,3.51724137931034,3.33455630419836,3,3.2258064516129,3.33778371161548,3.28061114697654,2.94204203164491,3.49425287356322,3.22771532484995,3.46538615446179,3.08166409861325,3.15824468085106,3.43229716111602,2.85841693960217
194430,"East New York","New York","Kings","NY","New York",9,10.4545542393727,5.85894341646554,5.92939636526167,6.80468921780791,3.01003344481605,6.80851063829787,5.2924791086351,4.07063316128375,5.2874748416137,6.84638325788277,5.69551819213927,5.20610469262587,5.73065902578796,3.69781651924967,10.8416145991702,6.28201881683776,5.420054200542,5.73065902578796,6.6964535671493,5.01516290726817,8.36653386454184,6.33245382585752,6.42809029246362,7.26842105263158,2.47562511474206,3.15457413249212,4.70588235294118,4.28178875254084,4.83870967741935,3.07692307692308,6.0790273556231,3.71747211895911,2.30965079458882,4.16666666666666,4.78260869565217,0.0019232988421769,4.64547677261614,6.23691746068958,10.1833904556521,5.73065902578796,1.96539514481757,7.48423355785319,4.66883116883117,4.92063492063493,4,5.29100529100529,3.1425804073726,7.000008000016,3.00375469336671,3.2258064516129,2.09652936345146,2.11640211640212,4.3734335839599,4.06945805909537,4.17168338907469,8.1145584725537,3.53495052455889,8,4.4543429844098,0.995670995670994,3.2306203545715,4.80961923847696,4.78095238095239,3.75,5.12820512820513,2.5062656641604,2.18642350557244,1.99049316696376,7.29783037475346,4.76191609980023,4.05755346332596,5.75796788294637,2.47094621623566
192796,"Spring Valley","Las Vegas","Clark","NV","Las Vegas",10,5.50000000000001,5.55555555555556,6.1624649859944,6.45161290322581,6.31578947368421,5.82500728006667,6.41165953717098,5.55561728463649,5.63113392722331,5.13755273147965,5.20446096654275,4.76556776556777,4.79495923419135,5.55555555555556,5.07462686567164,5.18115252339805,5,5.0125313283208,4.99347636996231,5,4.83369994663431,4.62046204620462,5,5.68475452196382,4.51153324287653,4.78949411536358,5.005005005005,5.78696172023574,5.0991298310227,5.45015831469647,4.72942246475671,5.29553157639898,5.12820512820513,3.89567345164578,4.08580183861083,4.03853278992219,4.39414114513982,4.76417341591234,4.34782608695652,5,5.02608613645626,3.87772899500812,3.20859140513903,3.36732894057173,4.17035048706458,3.48099471536616,3.72562377586647,3.51724137931034,3.10616549226307,3.59449260259265,3.57142857142857,3.38846364133406,3.42615012106537,3.37078651685393,3.07692307692308,2.94351279788173,2.92975644193435,3.03214069132808,2.76226755746132,2.9029029029029,2.80380981079992,2.63610315186247,2.6120628184838,2.75482093663911,3.07692307692308,2.93604307591505,2.5680561252821,2.39745793281982,2.89043478914697,2.85714285714286,2.59169677874244,2.80120836439248,2.39551081273693
