"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Essex Village","Essex","CT","Hartford","Middlesex",1038,550400,549000,535000,537000,537000,539000,599000,550500,579000,599000,624450,599900,599900,599900,592000,585000,599000,599000,599000,592000,597500,599000,599000,599000,599000,632000,639000,615000,625000,599900,659900,654947.5,637497.5,649450,649995,649900,635000,650000,675000,675000,693750,725000,702000,742000,742000,735000,699450,749000,699900,699000,699000,697000,659900,650000,650000,640000,599900,596500,595000,598000,598950,617450,688000,699450,707450,682000,672000,655000,689000,699000,729000,755000,699000,699000,674000,595000,595000,639000,609000,597000,595000
"East Dennis","Dennis","MA","Cape Cod","Barnstable",1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,659000,580000,580000,554499.5,539999,559000,550000,608500,627000,589000,619000,559000,550000,549500,554500,549500,536950,550000,554500
"Springfield Lakes","Chandler","AZ","Phoenix","Maricopa",1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,293990,310990,307500,307995,310990,315745,311990,304900,311990,311990,311990,311990,298000
"Downtown CBD","Little Rock","AR","Little Rock","Pulaski",1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,358000,339900,339450,347500,345000,347500,339900,345000,319500,323500,334900,356000,356000
"Flying Horse","Colorado Springs","CO","Colorado Springs","El Paso",1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,495999,499999,495999,485000,477970,495000,476485,489450,472500,465000,475000,488000,486414,465988,465494,485000,499900,519000,512055,529000,559000,539000,529000,526450,539000,527500,521500,531659,509900,519000,509000,514000,516950,514400,5e+05,507538.5,515038.5,505088.5,510177,521950,569900,571890.5
"Cory Lake Isles","Tampa","FL","Tampa","Hillsborough",1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387450,329000,377500,367500,374950,378700,375000,375000,375000,382450,369900,394450,394450,449900,444243,444121.5,434900,424900,375000
"Steele Creek","Charlotte","NC","Charlotte","Mecklenburg",1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,159900,150000,150000,159900,169000,175000,166950,169450,169450,170000,184900,183700,187500,179900,194500,212500,197000,204540,208950,215495,215990,215495,217745,217500,217990,227490,224500,215900,215450,199900,198950,204950,210000,225000,231990,230945,230745,248990,235990,238945,241990,256495,224900,224700,219900,217000
"Civano","Tucson","AZ","Tucson","Pima",1045,235000,235075,228000,219437.5,239950,237525,234250,210990,215707,204900,190222,190389.5,177500,190990,179995,174500,160990,186224.5,179995,180000,162077.5,173209.5,177990,179990,182179,181990,184990,180990,178990,183000,190990,188500,190490,198995,209950,222970,220000,215000,213495,217995,220000,241995,240490,222990,225000,225995,225000,224845,229000,229500,228500,229000,224990,225000,220000,223825,221990,216490,219245,223450,219950,224990,219900,218490,240067,235495,220990,225495,233495,234450,230000,221645,227000,225990,238990,240995,240000,237990,239900,239450,239000
"Earlewood","Columbia","SC","Columbia","Richland",1046,163950,159900,162500,149900,149900,149900,150000,149900,152500,159900,156200,152500,152500,149900,149900,149900,152000,149950,149950,150000,150000,149900,133900,129900,144300,143700,144700,148900,139000,149400,140000,147999.5,145950,147000,148999,149249.5,142500,144250,145000,144950,144950,149000,147900,159900,159900,155000,154950,150000,150000,147900,144900,148850,142450,149700,149900,149400,149999.5,148000,154450,159000,154450,159000,153950,154900,154950,150000,150000,149950,149700,150000,149950,146750,139900,144900,154450,155850,155450,156700,159900,154900,154900
"Mt. Paran - Northside","Atlanta","GA","Atlanta","Fulton",1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150000,2e+06,1735000,1745000,1672500,1712000,1595000,1699000,1650000,1725000,2012500,1995000,2150000,1945000,1945000,2195000,1945000,1970000
"Briar","Azle","TX","Dallas-Fort Worth","Tarrant",1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,219500,225000,224900,238250,230000,227500,240000,224900,258000,259500,264950,259000,269000,279999,312500,289000,299900
"Red Mountain Ranch","Mesa","AZ","Phoenix","Maricopa",1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309250,305900,302450,299500,292000,282000,299950,299900,299900,316350,306000,342450,329900,306950,329000,332300,329000,329000,345000,339900,339950,339900,340000,330000,336450,340000,352500,339000,339000,344800,339700,339500,329900,335000,329900,335250,347000,369900
"Five Mile-Prairie","Spokane","WA","Spokane","Spokane",1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279604,280710,287000,277096.5,277036,268538,277157,273468,262450,267576,261738,266288,296950,324900,299900,299900,299925,299450,291984,279950,289750,285000,277286.5,281158,284900,281158,282658,285000,305492,305984,305000,305442
"Riviera Bay","Saint Petersburg","FL","Tampa","Pinellas",1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,305000,292500,280000,249000,249900,275000,249000,260000,255000,249000,267200
"Cedar Grove","Panama City","FL","Panama City","Bay",1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199450,197000,189900,192350,185000,185000,186000,183750,189900,197250,199000,219900,199000,196228.5,197728.5,196000,200700,219900,195000,196750,199950,210000,208200,227450,219900,222900,199500,199949.5,199400,198200,179000,189925,190450,189900
"The Dominion","San Antonio","TX","San Antonio","Bexar",1053,750000,762500,760000,695000,699900,745000,752500,729000,740000,699000,696997.5,675000,675000,669000,668997.5,668997.5,669000,650000,649000,639947.5,654500,650000,649900,649000,649000,625497.5,632497.5,644450,622900,603947.5,649900,610000,603997.5,599947.5,6e+05,6e+05,599875,597950,579900,567947.5,569900,598000,599990,611995,639000,645000,649949.5,649949.5,602447.5,599900,629000,632997.5,629000,609995,629000,599995,614997,639497.5,636995,637997.5,649000,619999,621000,592500,649000,649450,617500,615000,590000,630000,624000,576000,6e+05,607196,642450,599500,679900,695000,655000,640000,660000
"Lake Las Vegas","Henderson","NV","Las Vegas","Clark",1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555000,562450,549900,555000,549900,555000,586999.5,639950,652500,599000,549900,630000,679888,677444,699999,654999.5,677000,649999,675000,684500,675000,677500,667000,649999,630000,617450,619900,639900,639900,614950,6e+05,6e+05,6e+05,599999.5,601500,599999
"Ansley Park","Atlanta","GA","Atlanta","Fulton",1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398220,1438390,1438390,1438200,1437380,1350000,1324500,1350000,1282000,1290000,1436990,1270000,1363495,1270000,1344500,1249000,1249000,1320000
"Trilogy","Gilbert","AZ","Phoenix","Maricopa",1056,263750,259950,259900,260000,267000,259900,259900,259000,259000,247450,234900,225000,219900,219925,219950,221111,219900,216900,215000,219450,225000,234900,249990,259450,289000,286250,278500,254900,240000,242000,239450,249900,253000,277900,277900,280650,272950,275500,277500,297450,287950,299900,324969,289900,324950,316950,309000,304000,299000,289900,317000,319900,322450,319900,325000,325495,324000,325990,340000,338750,325495,325990,337750,345000,345000,329000,314000,337900,325000,325000,325000,325000,326250,325000,328000,329000,349250,355000,359000,352900,349950
"Miramar","Jacksonville","FL","Jacksonville","Duval",1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359900,354450,388700,425000,429000,425000,420000,444950,450000,444500,409475,443750,449500,464500,489000,440000,425000,442400,461200,452400,474900
"Estate Groves and Valencia Estates","Mesa","AZ","Phoenix","Maricopa",1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804950,750000,762500,695000,7e+05,695000,752450,774950,739950,759900,782450,798500,8e+05
"McClellan Park","Madison","WI","Madison","Dane",1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259900,259900,259900,244900,259900,259900,251900,263900,274900,269900,250449,245000,242900
"Pine Ridge","Naples","FL","Naples","Collier",1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195000,1195000,1175000,1175000,1250000,1350000,1499000,1499000,1299000,1324500,1497000,1495000,1499000,1590000,1544500,1495000,1495000,1447000,1495000,1594500,1599000,1590000,1462000,1499000,1425000,1544500
"Tuttle West","Columbus","OH","Columbus","Franklin",1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164150,174900,174900,168950,169900,179900,184900,185900,182150,176150,165400,180000,187400,186150,185500,179900,179400,171650,154405,159900,159205,160250,160600,162100,169900
"South San Lauren - Fruitvale","Bakersfield","CA","Bakersfield","Kern",1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265000,264900,259750,259000,259500,270000,270000,267000,270000,270950,277000,272450,274900,272450
"Hampton Woods","Bakersfield","CA","Bakersfield","Kern",1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332250,319700,317250,326571.5,325753.5,329925,330000,330000,330000,310000,330000,330000,338900,339999,325000,325000,329000
"Horsethief Canyon Ranch","Corona","CA","Riverside","Riverside",1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329900,328750,322497.5,332390,339400,338499.5,335000,336940,336890,339900,339900,327450,329900,325000,335000,339000,339900,353879,343750,345000,349190,365000,365880,365000,370000,374950,350900,362450,368000,368000,368000,374950,374990,379900,384999.5
"Stapleton","Denver","CO","Denver","Denver",1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393495,453497.5,445997.5,463030.5,429000,468495,460000,481247.5,472997.5,486995,449500,479000,489995,509900,482500,475500,469900,476000,485000,460557,476000,471273,511811,514999,525000,540292,532493,537500,579900,555697.5,561495,532000,526247.5,524495,599000,6e+05,610000,614950,6e+05,614999,619999.5,611449.5
"Clearwater Beach Association","Clearwater","FL","Tampa","Pinellas",1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000,637450,734500,769000,720000,699500,699000,699500,699500,699500,699900,825000,852500,815000,699450,649900,642000,655000,648850,649800,645000,649000,649450,649450,659000,669000,675000,689000,695000,694500,7e+05,749950,749000,762000
"Calico Ridge","Henderson","NV","Las Vegas","Clark",1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282400,260950,299000,287500,292200,298500,295400,300990,299000,299900,304990,299994.5,301990,314990,319900,329900,314000,309900,299900,299900,324900,342445,325000,305000,296950,298900,293026,313565,321915,348000,367990,369900,352000,355000,375990,373000,361990,365994.5,374445,379650,378245
"Harris Ranch","Boise","ID","Boise City","Ada",1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389900,381225,387900,384900,392449.5,389900,387900,384900,384900,384900,387900,389900,394900,417150,409900,409900,432435,409900
"Brookville","Glen Head","NY","New York","Nassau",1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595000,2699000,2806500,2991500,3199000,3047000,2999999,2950000,3095000,3099000,3099000,3095000,2998000,2988000,2934000,2980000,2891500,2698000,2899999,2995000,2991500,2995000,2991500,2995000,2969000,2995000,2799000,2824500,2995000,2996500
"Pumpkin Hill","Jacksonville","FL","Jacksonville","Duval",1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274999,279500,284990,332445,319990,314990,310000,310000,270990,271990,267990,267990,267990,240294.5,239900,265000,285000,299000,247990,234990,231490
"Green Oaks","Libertyville","IL","Chicago","Lake",1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574900,574450,599000,562450,575000,599000,630000,639500,589000,617000,644900,654900,654500,650000,659000,629900,632000
"Lake Nona South","Orlando","FL","Orlando","Orange",1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332490,349990,345460,346490,343997.5,345225,343990,352990,353990,358245,355990,361490,370990,386997,374990,376990,386175,383102.5,383057.5,406995,406995,386990,386990,418566,414990,398696,389990,402490,389990,414990,392490,392383.5,419990,412490,404495,424990,420000,424950,423495,408753,444990,444990,448995,454990
"Fiddyment Farm","Roseville","CA","Sacramento","Placer",1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479900,470000,489990,477990,470000,478995,474493,469900,482441,479990,489495,462000,462000,452495,459900,454990,487990,490490
"Rolling Hills Ranch","Chula Vista","CA","San Diego","San Diego",1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e+05,699000,699475,694000,742000,757500,739000,699000,774900,774900,750450,769999.5,775000,830000,775000,799000,789000,775000,775000
"Fire Tower","Semmes","AL","Mobile","Mobile",1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201900,204512.5,2e+05,200755,206900,209900,208900,204900,199900,194900,189900,195000,205880,213880,218500,219900,223530,235745,226450,221400,234900
"Aqualane Shore","Naples","FL","Naples","Collier",1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3695000,3700000,3922500,3790000,3695000,3792500,3790000,3792500,3795000,3495000,3900000,3900000,3900000,3947500,3995000,4195000,3900000,3997000,4197000,4395000,4722000,4695000,4395000
"Westpark","Roseville","CA","Sacramento","Placer",1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412200,419900,402875,399700,415000,415000,412500,410000,415000,407095,424950,429000,422450,429500,429725,430000,425000,426045,419900,428870,417450,429922,439240,449995,450970,444900,453995,468000,476200,478175,480990
