"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Boyd Acres","Bend","OR","Bend","Deschutes",468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229950,235000,239500,244973.5,249950,249900,258450,259900,249973.5,259950,269900,255000,259950,257475,249973.5,259900,263000,265000,269950,269950,268500,277150,279950,279900,285000,281225,279950,285000,289475,289475,295000,295000,297500,307500,299925,299950,299950,315000,335000,337000,335000,329950,329950,329900
"Lynnhaven Shores","Virginia Beach","VA","Virginia Beach","Virginia Beach City",469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437000,449450,444500,444450,432000,425000,452500,462000,460000,460000,497500,480000,465000,457000,461000,429900,445000,429900,437950,399900,399900,399900,399900,399900,445000,450000,459900,450950,449450,441800,449900,470000,502400,487450,499000,525000,499000,510000,459900,475000,489500,492200,489500,499900
"Awbrey Butte","Bend","OR","Bend","Deschutes",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568750,549000,585000,574900,554000,549000,549925,530000,539500,542400,523700,585000,599000,629900,624950,607475,599500,594450,569900,544500,559475,517475,548000,592475,639950,685000,699000,710000,765500,739000
"West Yarmouth","Yarmouth","MA","Cape Cod","Barnstable",471,321000,365000,344450,329000,320450,319500,310950,299000,304450,304450,292000,305500,279900,289000,277400,287000,285000,284500,285000,277450,275000,279450,289900,298000,275000,274900,258950,289500,274900,277400,282400,294700,334950,337250,337250,299450,299000,299700,299900,309900,319500,322250,337500,320000,329000,319856,316500,316500,316500,317750,317750,317000,317000,299900,296166.5,294000,286250,299000,3e+05,325000,310700,284900,284900,297450,329700,319700,349950,347450,345000,339900,335000,330000,285000,260000,270000,299900,332450,374900,389450,399000,395000
"Deep Creek West-Dismal Swamp","Chesapeake","VA","Virginia Beach","Chesapeake City",472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299990,297990,306490,272994.5,292990,272994.5,279990,289990,283905,287650,289990,294490,292990,282490,278990,298950,305490,310990,310990,307990
"Virginia Park","Tampa","FL","Tampa","Hillsborough",473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430000,427400,415000,420000,399000,375000,425000,467000,465250,459900,439900,429900,449900,424500,415000
"Baldwin Park","Orlando","FL","Orlando","Orange",474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341745,349000,345990,369900,353990,357990,350000,360000,385000,399900,409000,399450,375500,389499.5,399900,374950,399450,391499.5,399250,396950,399450,385000,390000,390000,389950,389000,389900,395000,392000,389000,379200,374900,399900,399900,399900,399900,403950,411499.5,419450,419900,417000,399900,399900,404949.5
"Rio Bravo","Bakersfield","CA","Bakersfield","Kern",475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267500,269000,265000,265000,289000,279900,265000,249500,248225,259990,265000,275000,265000,249900,266750,237500,244500,258375,249950,240950,243450
"Avondale","Jacksonville","FL","Jacksonville","Duval",476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273900,249000,249000,234450,229000,232000,219900,245000,257500,269000,269900,289900,287450,281500,260000,299000,295000,261950,289000,284750,277200
"The North End","Virginia Beach","VA","Virginia Beach","Virginia Beach City",477,599000,627000,655000,634950,639950,637425,599000,599000,599000,599500,649250,649000,599000,631950,599000,599000,599000,612000,659000,659000,654000,622400,599000,641950,632450,649000,697000,699000,695000,675000,649500,624900,602450,619000,597450,595000,599900,607000,589000,579000,550000,550000,627000,599900,597450,609750,617500,636750,648500,650000,674750,657499.5,674750,674750,649000,625000,635000,645000,649000,649000,649900,674750,649000,649000,630000,635000,6e+05,595000,590000,592500,567500,587500,559900,535000,580000,6e+05,584950,598950,615000,595000,595000
