"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Bensonhurst","New York","NY","New York","Kings",20,889000,877499.5,875999,849000,828500,850000,899000,899000,893500,850000,850000,850000,854500,849000,869000,879000,893500,918000,918000,938000,949000,948000,899000,899000,930000,930000,939000,949000,949000,954000,890000,925000,899000,899000,899000,899250,899000,928000,948500,938500,924000,923500,960000,918500,954500,999000,989500,979000,960000,949000,999000,983500,998500,1150000,1138000,1090000,1100000,1198000,1199500,1200000,1249000,1250000,1249000,1285000,1259000,1285000,1250000,1250000,1295000,1248944.5,1280000,1278800,1298500,1325000,1390000,1390000,1350000,1349500,1348944,1390000,1394000
"Koreatown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1192500,1300000,1395000,1397500,1267500,1332000,1445000,1650000,1525000,1499500,1494500,1479000
"Westlake","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873500,809500,839499.5,899999,925000,892500,899500,912500,950000,9e+05,879999.5,798500,859999,904499.5,950000,950000
"Soundview","New York","NY","New York","Bronx",23,499000,499000,499000,499000,499000,490000,489000,477000,472000,465000,462499.5,475000,462499.5,449000,450000,449000,450000,450000,450000,459786,462500,460000,460000,459000,460000,459000,459000,459000,447500,459000,462000,459000,450000,459000,459000,459000,459000,459000,459000,459000,479000,479000,489000,499000,515000,529000,529000,499000,499000,499000,519000,499000,499000,499000,515000,499000,499000,499000,529000,549000,490000,484500,479000,479000,497000,549000,549000,559000,549000,549000,529000,529000,549000,549000,525000,479000,479000,479000,499000,529000,529000
"Canarsie","New York","NY","New York","Kings",24,549000,549000,547900,539000,525000,519000,519000,516499.5,510000,499250,499000,499000,499900,510000,518000,499700,499000,499000,499000,495000,499000,499000,499000,499000,499000,494000,489000,484999.5,489000,489000,489000,479000,489999,489000,479000,479000,489000,499000,499000,499000,499000,499000,499000,499000,510000,519000,509000,499000,509000,5e+05,510000,519000,519500,529000,549000,549750,549000,549000,549000,539000,525000,539000,534000,525000,540000,549000,549000,549000,550000,549000,550000,549000,550000,590000,607000,605000,599999,617500,629000,643000,629000
"Logan Square","Chicago","IL","Chicago","Cook",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,299900,342400,354900,359900,359000,362000,375000,377450,377450,372000,379900,379900,379000,398900,429000,430000,427500,427500,432000,427500
"South Bronx","New York","NY","New York","Bronx",26,432000,439000,432000,432000,425000,425000,425000,425000,425000,429999.5,427499.5,427500,425000,425000,425000,405000,410000,395000,395000,395000,395000,399000,399000,410000,399000,399000,399949.5,399450,402000,399000,399500,407500,417000,415000,429000,429000,419950,399950,399000,399000,399000,399000,399000,429000,429000,435000,435000,449000,449000,415000,429000,439990,485000,429000,479000,435000,469999,437000,479000,429000,429000,429000,429000,439000,445000,449000,449000,519000,549000,510000,460000,450000,479999,550000,599000,519000,549000,549000,527500,549000,532500
"Flushing","New York","NY","New York","Queens",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419000,1400000,1400000,1390000,1371000,1350000,1352000,1388000,1388000,1384000,1450000,1450000
"South Ozone Park","New York","NY","New York","Queens",28,469999.5,472499.5,469999,465000,477000,464999,477000,479500,489000,479000,472000,459000,466999.5,469000,450000,439000,449000,459000,459000,479000,472000,449000,449000,450450,450000,448000,434000,430000,427000,419000,419000,449000,459000,459000,475000,469000,479000,469900,492000,499000,499000,489000,489000,479000,472000,489900,499000,505000,505000,525000,499000,532500,549000,525000,549000,599000,599000,579000,579000,579000,534500,559000,579000,560000,599000,649000,595000,595000,599000,602500,6e+05,590000,630000,634500,671500,650000,659495,662500,649999,649999,659995
"Boyle Heights","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",29,,,,,,,,,,,,,,,,,,,,,,,,265000,257500,249000,255000,250000,272000,295000,278000,288000,299450,275000,295000,292500,299900,310000,304950,310000,329950,347350,369000,369000,350000,342500,364113,389900,379900,372974,349900,385000,379900,375000,375000,349900,397000,389450,399000,410000,425000,449000,457500,439999.5,449000,409900,435000,442499.5,450000,449950,457500,465000,475650,499000,490000,450000,450000,452500,450000,464999,479500
"Murray Hill","New York","NY","New York","Queens",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199000,1268000,1199000,1199000,1065000,1150000,1120000,1024999.5,1150000,1285000,1348000,1295000,1343444,1300000,1324000,1275000,1249500,1190000,1190000,1300000,1389500,1300000,1350000,1300000,1350000,1350000,1388888,1397000,1399000,1400000,1400000
"Sheepshead Bay","New York","NY","New York","Kings",31,625000,627000,619000,614000,639000,649000,649000,654500,649250,654500,654500,709000,729000,699000,699000,699000,689000,664500,659000,649500,649000,649000,652250,649000,599000,647000,625000,642000,622000,622000,628000,649000,654500,648500,659000,649000,654000,648500,649500,650000,676500,676500,689000,689000,689000,720000,619000,689500,759000,759000,762000,765000,768000,780000,785000,799000,787000,785000,799000,799000,794000,812000,812000,830000,825000,849000,829000,825000,827000,825000,825000,849000,899000,899000,917000,935000,949000,949000,948500,949000,948000
"Gravesend","New York","NY","New York","Kings",32,829000,799000,799000,808750,849000,799000,844000,888000,847000,799000,817500,829500,819000,799000,799000,795000,779000,779000,778000,759500,754000,749000,749000,779000,729000,695000,749499.5,795000,754499.5,790000,774000,737000,748500,739000,749000,750000,779000,799949.5,799900,870000,870000,949999,898000,887000,898000,898000,870000,829000,849000,892000,895000,895000,888500,898888,881500,899900,922500,928000,944000,999000,980000,999000,1049000,1049000,1044500,989000,950000,968500,958000,1080000,1100000,1100000,1150000,1169000,1200000,1199000,1199000,1199000,1180000,1198500,1150000
"San Pedro","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639000,629000,614000,629000,589000,562450,560000,599000,619000,637000,653999.5,689500,677000,662499.5,675000,625000,615000,599000,589500,539500,577000,599000,575000,599500,589500,612000,589000,599000,628000,659250
"Little Village","Chicago","IL","Chicago","Cook",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,1e+05,118000,109950,95000,104900,109900,109900,109000,124450,130000,114900,109950,119950,114950,119900,129000,119450,139900,134450,127000,139900,150000,147500,145900,139000,139000,139400,124900,134949.5,138450,135250,134900
"Far Rockaway","New York","NY","New York","Queens",35,350000,349000,349500,359000,350000,359000,349900,350000,350000,349999.5,347000,334999,320000,319000,315000,299900,299900,317000,310000,325000,325000,319499.5,325000,320000,329000,335000,349000,349000,335000,339000,329000,309000,299000,299000,299999,309000,299000,299000,329999,329000,349000,329999,344000,360000,369000,385000,389000,395000,398000,399000,398000,380000,374990,380000,379500,399000,4e+05,4e+05,419000,424900,425000,425000,420000,425000,422500,449000,427000,419000,427000,409000,412500,409000,404499.5,439000,444000,490000,499000,499000,495000,459000,449500
"Ridgewood","New York","NY","New York","Queens",36,609500,610000,625000,625000,618000,619000,619000,609000,610000,609000,599000,599000,598850,599000,598000,590000,589000,599000,599000,599000,602900,625000,620000,620000,629000,649500,627000,627500,624000,620000,629000,623000,619000,615000,629000,609500,639000,623000,649000,649499.5,625000,650000,659500,649000,699000,749000,734000,754950,719000,699000,699000,794500,804500,810000,849000,899000,899000,919000,849000,899000,882500,899000,899000,899000,899000,999995,999000,1050000,1129500,1199000,1184000,1159000,1169000,1149000,1190000,1190000,1225000,1199500,1199500,1199000,1195000
