"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Glenbrook","Stamford","CT","Stamford","Fairfield",683,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,299000,299000,319000,319000,312000,317000,314900,319500,322200,319000,329450,327000,339000,329900,317000,310000,3e+05,299999.5,299900,297000,299000,299000,275000,262500,274000,284900,289450,289000,294900,329000,319000,299900,299950,299900,299000,285000,325000,334450,329000,345000,342000,335000,304900,304900,325000,307500,305000,327000,334900,329000,329000,337000,329500
"Dobson Ranch","Mesa","AZ","Phoenix","Maricopa",684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,182000,189900,192200,209000,209900,212450,219000,199700,199850,185000,189950,179900,179500,190000,209500,210000,224450,227000,221000,219000,219900,219900,224000,215000,221950,215910,229900,232500,239900,244900,230000,232250,249999,257950
"Downtown","Hampton","VA","Virginia Beach","Hampton City",685,187000,181750,181750,168450,150450,155000,152000,147900,149000,145000,140000,134900,139900,129500,129000,128550,135000,126000,129900,139900,135200,135050,137499.5,129900,130000,149900,136450,146450,163900,170000,156097,148000,134900,134900,138000,137000,136000,135000,137000,135000,132500,130000,130000,130000,134900,130000,132000,155000,138000,132000,135000,136500,139000,149900,149950,155150,149900,147000,149450,152000,145000,147900,140000,149900,150000,145900,146700,149000,148250,149900,149900,140000,139800,150000,159950,160000,159900,159900,154150,149000,147500
"Bay Ho","San Diego","CA","San Diego","San Diego",686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599450,585000,565000,582499.5,582500,550000,549900,549950,575000,6e+05,595000,607000,615000
"Wicker Park","Chicago","IL","Chicago","Cook",687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499950,474900,504500,515000,505000,525000,539000,520000,539000,515000,515000,509950,530000,5e+05,539000,515000,519000,549000,550000,549500,530000,5e+05,556950,565000,556950,559900,549900,517500,509950,499900,525000,549950,589900,569949.5,617000
"Bagley","Detroit","MI","Detroit","Wayne",688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,45000,41600,40000,40000,41250,45000,45000,49900,49450,49900,49450,55000
"Windy Hill","Jacksonville","FL","Jacksonville","Duval",689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129450,118000,122500,129900,124625,125000,118000,117000,119900,124750,124825,129900,129900,124900,128500,127250,124900,122950,125000,129900,128950,129000,125000,125000,132500,135999,145950,149450
"Grand Crossing","Chicago","IL","Chicago","Cook",690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53450,46950,55000,55000,55000,55000,47000,44950,44950,49900,52500,52000,56250,59500,55000,59900,50125,55000,61000,59450,49410,49000,55950,58950,50500,50000,45000,43500
"Corona Hills","Corona","CA","Riverside","Riverside",691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385000,389900,389950,390000,389950,390000,392000,399450,399450,396333,409000,392499.5,395945,4e+05,408000,408781.5,405000,425000,424950,425000,419900,419700,419900,424900,4e+05,419500,417000,437000,429450,425000,419500
"Jamaica Hills","New York","NY","New York","Queens",692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141000,149000,149000,152499.5,145000,139500,142500,149999,156500,145000,139000,135000
