"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Port Clinton, OH","OH",474,1030,-0.00675024108003857,-0.017175572519084,-0.048938134810711,5881
2016-09-30,"Montrose, CO","CO",475,865,0.0140679953106682,-0.00345622119815668,-0.0378197997775306,372
2016-09-30,"Ellensburg, WA","WA",476,1126,0.0144144144144144,0.0035650623885918,0.190274841437632,1678
2016-09-30,"Sandpoint, ID","ID",477,1249,0.00240770465489567,0.0129764801297648,0.0620748299319728,2716
2016-09-30,"Celina, OH","OH",478,1017,-0.0192864030858245,-0.0286532951289398,-0.072926162260711,283
2016-09-30,"Garden City, KS","KS",479,1016,-0.00878048780487805,-0.0442144873000941,0.00594059405940594,523
2016-09-30,"Riverton, WY","WY",480,958,-0.0274111675126904,-0.0607843137254902,-0.138489208633094,211
2016-09-30,"Urbana, OH","OH",481,1012,-0.00978473581213307,-0.0222222222222222,0.00696517412935323,676
2016-09-30,"Okeechobee, FL","FL",482,1123,0.00447227191413238,-0.00443262411347518,0.0321691176470588,368
2016-09-30,"Berlin, NH","NH",483,1229,-0.000813008130081301,0.0224625623960067,0.114233907524932,2897
2016-09-30,"Lock Haven, PA","PA",484,751,-0.00397877984084881,-0.0195822454308094,-0.0951807228915663,328
2016-09-30,"Clewiston, FL","FL",485,1240,-0.00241351568785197,0.0056772100567721,0.0526315789473684,455
2016-09-30,"Logansport, IN","IN",486,649,0.00154320987654321,0.00309119010819165,-0.0427728613569322,762
2016-09-30,"Pontiac, IL","IL",487,1121,-0.00532386867790595,-0.0192475940507437,0.0144796380090498,280
2016-09-30,"Dyersburg, TN","TN",488,659,-0.037956204379562,-0.0665722379603399,-0.0783216783216783,379
2016-09-30,"Kill Devil Hills, NC","NC",489,1197,-0.000834724540901503,-0.00828500414250207,-0.014003294892916,1264
2016-09-30,"Crawfordsville, IN","IN",490,1024,-0.00485908649173955,-0.0182166826462128,0.000977517106549365,1239
2016-09-30,"Stephenville, TX","TX",491,1185,-0.00836820083682008,-0.0435835351089588,-0.0749414519906323,133
2016-09-30,"Easton, MD","MD",492,1427,-0.00557491289198606,-0.0212620027434842,-0.0899234693877551,548
2016-09-30,"Ada, OK","OK",493,783,0.00902061855670103,0.00513478818998716,-0.00254777070063694,138
2016-09-30,"Moscow, ID","ID",494,839,0.00720288115246099,-0.008274231678487,-0.0266821345707657,475
2016-09-30,"Safford, AZ","AZ",495,1013,-0.00393313667649951,-0.00783545543584721,0.0674394099051633,156
2016-09-30,"Murray, KY","KY",496,835,0,-0.0106635071090047,0.0170523751522534,127
2016-09-30,"Bennington, VT","VT",497,1450,-0.00888585099111415,-0.0498034076015727,0.0685335298452469,505
2016-09-30,"Huntington, IN","IN",498,664,-0.00150375939849624,-0.00895522388059702,-0.0527817403708987,161
2016-09-30,"Escanaba, MI","MI",499,814,-0.00731707317073171,-0.0297973778307509,-0.107456140350877,148
2016-09-30,"Peru, IN","IN",500,660,0.00763358778625954,0.0232558139534884,-0.0406976744186047,334
2016-09-30,"Coshocton, OH","OH",501,710,0,-0.00699300699300699,-0.0138888888888889,169
2016-09-30,"Fremont, NE","NE",502,1006,-0.00592885375494071,0.013091641490433,-0.00396039603960396,248
2016-09-30,"Hutchinson, MN","MN",503,1155,0.00173460537727667,-0.0128205128205128,-0.00345125107851596,752
2016-09-30,"Owatonna, MN","MN",504,1152,0.00348432055749129,-0.00603968938740293,0.00348432055749129,206
2016-09-30,"Laramie, WY","WY",505,927,-0.00643086816720257,-0.0540816326530612,-0.0664652567975831,744
2016-09-30,"Big Spring, TX","TX",506,867,-0.0125284738041002,-0.043046357615894,-0.0514223194748359,181
2016-09-30,"Alexandria, MN","MN",507,1256,-0.00158982511923688,-0.00317460317460317,0.0219690805532954,256
2016-09-30,"Coffeyville, KS","KS",508,642,0,-0.0153374233128834,-0.0316742081447964,180
2016-09-30,"Seneca Falls, NY","NY",509,1115,0.0081374321880651,-0.0158870255957635,-0.0677257525083612,707
2016-09-30,"Sulphur Springs, TX","TX",510,1239,-0.00561797752808989,-0.0289968652037618,-0.00321802091713596,116
2016-09-30,"Martin, TN","TN",511,818,0.00491400491400491,0.00987654320987654,0.0664928292046936,382
2016-09-30,"Susanville, CA","CA",512,1226,0.00905349794238683,0.0216666666666667,0.105500450856628,540
2016-09-30,"Arcadia, FL","FL",513,1270,-0.0078125,-0.0185471406491499,0.0291734197730956,849
2016-09-30,"Junction City, KS","KS",514,832,-0.0130486358244365,-0.038150289017341,-0.0651685393258427,744
2016-09-30,"Butte, MT","MT",515,838,0,-0.00828402366863905,0.00721153846153846,665
2016-09-30,"Angola, IN","IN",516,1051,-0.00473484848484848,-0.0131455399061033,-0.0295475530932595,337
2016-09-30,"Emporia, KS","KS",517,708,-0.0028169014084507,-0.0111731843575419,-0.0314637482900137,322
2016-09-30,"Frankfort, IN","IN",518,697,0.00287769784172662,0,-0.0305980528511822,681
2016-09-30,"Taos, NM","NM",519,1228,0.00244897959183673,0.00244897959183673,0.0442176870748299,1569
2016-09-30,"Cambridge, MD","MD",520,1434,-0.00623700623700624,-0.0251529571719918,0.0235546038543897,554
2016-09-30,"Madison, IN","IN",521,849,-0.00933488914819136,-0.0139372822299652,0.013126491646778,244
2016-09-30,"Brookings, SD","SD",522,800,-0.00744416873449132,-0.0373044524669073,0.0139416983523447,139
2016-09-30,"Albert Lea, MN","MN",523,1030,-0.00579150579150579,-0.0292177191328935,0.0819327731092437,836
2016-09-30,"Silver City, NM","NM",524,768,0.00130378096479791,0.0131926121372032,0.0364372469635627,143
2016-09-30,"McPherson, KS","KS",525,1079,-0.0119047619047619,-0.0451327433628319,0.0305635148042025,376
2016-09-30,"Washington Court House, OH","OH",526,1233,-0.00323362974939369,-0.0112269446672013,0.0024390243902439,138
2016-09-30,"Van Wert, OH","OH",527,863,-0.0226500566251416,-0.0400444938820912,-0.0464088397790055,115
2016-09-30,"Hays, KS","KS",528,1024,0,-0.0200956937799043,0.0417090539165819,599
2016-09-30,"Great Bend, KS","KS",529,627,0.00159744408945687,-0.0324074074074074,-0.0846715328467153,254
2016-09-30,"Thomaston, GA","GA",530,1039,-0.00287907869481766,-0.0114176974310181,-0.0459136822773186,379
2016-09-30,"Boone, IA","IA",531,892,0,0.0045045045045045,0.0746987951807229,137
2016-09-30,"Ottawa, KS","KS",532,936,-0.0209205020920502,-0.0592964824120603,-0.0147368421052632,204
2016-09-30,"Marshall, MN","MN",533,1182,-0.00505050505050505,-0.0239471511147812,-0.0271604938271605,107
2016-09-30,"La Grande, OR","OR",534,1099,-0.0152329749103943,-0.0566523605150215,-0.030008826125331,332
2016-09-30,"Greensburg, IN","IN",535,965,-0.00515463917525773,-0.0203045685279188,-0.0594541910331384,120
2016-09-30,"The Dalles, OR","OR",536,1297,-0.00460475825019187,0.00542635658914729,0.0228706624605678,245
2016-09-30,"Fallon, NV","NV",537,1006,-0.00592885375494071,-0.00494559841740851,0.0317948717948718,543
2016-09-30,"Connersville, IN","IN",538,627,0,-0.0141509433962264,-0.0752212389380531,167
2016-09-30,"Spearfish, SD","SD",539,1016,0.021105527638191,0.0019723865877712,-0.0738377392889699,243
2016-09-30,"Steamboat Springs, CO","CO",540,1772,-0.00561167227833894,-0.00839395635142697,0.0248698669751301,8187
2016-09-30,"Sterling, CO","CO",541,1234,0,0.0114754098360656,0.0032520325203252,401
2016-09-30,"Brookings, OR","OR",542,1280,-0.0015600624024961,-0.00078064012490242,0.118881118881119,718
2016-09-30,"Hood River, OR","OR",543,1433,0.00632022471910112,0.0155917788802268,0.131018153117601,445
2016-09-30,"Dumas, TX","TX",544,1096,-0.0152740341419587,-0.0477845351867941,-0.113985448666128,124
2016-09-30,"Prineville, OR","OR",545,1086,-0.000919963201471941,-0.00275482093663912,0.0805970149253731,201
2016-09-30,"Los Alamos, NM","NM",546,1080,0.00092678405931418,-0.00552486187845304,-0.0145985401459854,725
2016-09-30,"Fairfield, IA","IA",547,984,0.00305810397553517,0.00510725229826353,-0.00101522842639594,217
2016-09-30,"Craig, CO","CO",548,1269,0.000788643533123028,-0.001573564122738,0.0513670256835128,152
