"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Richmond, VA",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1650,1622.5,1447.5,1672.5,1772.5,1700,1550,1380,1487.5,1650,1650,1695,1695,1695,1695,1450,1522.5,1725,1725,1647.5,1600,1750,1795,1825,1800,1700,1700,1750,1700,1700,1750,1695,1497.5,1750,1762.5,1895,1925,1700,1750,1899,1925,1697.5,1700,1762.5,1750,1790,1700,1897.5,1950,1750
"Buffalo, NY",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,800,700,750,775,795,762.5,750,725,797.5,800,800,825,812.5,850,882.5,800,850,850,850,925,850,950,900,985,912.5,850
"Salt Lake City, UT",30,,,,,,,,,,,,,,,,,,,,,1325,1397.5,1495,1395,1495,1497.5,1649,1495,1472.5,1495,1495,1500,1600,1500,1595,1495,1497.5,1550,1600,1595,1600,1722.5,1650,1595,1550,1495,1525,1575,1550,1550,1575,1575,1595,1695,1712.5,1699,1625,1625,1600,1597.5,1650,1695,1800,1695,1695,1750,1750,1737.5,1750,1775,1795,1750,1800,1900,1745,1800,1800,1800,1695,1945
"Urban Honolulu, HI",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3375,3325,3100,3000,3050,3087.5,3200,3150,2950,3175,2700,2700,2500,2600,2725,2700,2350,2300,2450,2700,2600,2700,2987.5,3000,2700,2600,3000,2800,2700,2800,2800,2925,2500,2450,2500,2850,2850,2500,2625,2664,2750,2950
"Albany, NY",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1175,1200,1225,1250,1200,1350,1350,1350,1275,1325,1200,1375,1250
"New Haven, CT",33,900,875,925,900,950,950,1075,1000,950,962.5,950,950,950,950,995,995,950,1000,1000,1000,1050,1000,950,1000,1000,1000,1000,1000,1100,1100,1012.5,1037.5,1000,1050,1050,1000,1000,1050,1000,1000,1050,1065,1075,1037.5,1050,1050,1025,1050,1050,1050,1100,1000,1100,1100,1100,1070,1050,1050,1065,1100,1100,1100,1100,1100,1100,1125,1100,1100,1100,1100,1100,1100,1100,1100,1200,1100,1150,1100,1200,1100
"Ventura, CA",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,3600,3500,3495,3500,3500,3250,3600,3650,3650,3650,3650,3700,3700,3590,3537.5,3500,3800,3850,3912.5,3950,3950,3837.5,3797.5,3500,3500,3747.5,3850,3837.5,3800,3895,3672.5,3850,3800,3912.5,3837.5,3800,3800,3950,3975,3950,3850,4250,3950,3972.5
"Stockton, CA",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.5,1650,1700,1645,1797.5,1675,1662.5,1672.5,1795,1800,1841,1850,1922.5,1747.5,1800,1872,1650,1650,1695,1650,1697.5,1700,1925,1950,1950,1847.5,1850,2150,1950,1997.5,2225
"Colorado Springs, CO",36,,,,,,,,,,,,1650,1600,1800,1625,1700,1712.5,1595,1595,1600,1599,1650,1650,1600,1495,1595,1850,1700,1695,1650,1650,1645,1600,1600,1649.5,1650,1650,1650,1700,1699.5,1650,1600,1600,1662.5,1600,1625,1650,1600,1650,1650,1695,1795,1750,1795,1800,1750,1700,1695,1700,1700,1700,1795,1825,1850,1895,1812.5,1895,1850,1797.5,1750,1725,1737,1672.5,1795,1800,1900,1750,1847.5,1900,1750
"Boise City, ID",37,,,,,,,,,,,,,,,,,,,,,,,,675,642.5,650,650,650,647.5,675,725,695,725,675,675,695,695,695,675,695,675,725,695,695,695,690,695,725,750,725,745,725,775,750,775,850,875,950,975,872.5,775,840,845,895,950,850,812.5,795,810,775,775,800,775,815,795,795,815,872.5,825,850
"Boulder, CO",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2897.5,3250,3600,3800,3500,3225,3225,3200,3400,2922.5,2900,2725
"New London, CT",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1175,1200,1175,1095,1150,1150,1150,1175,1200,1200,1225,1150,1175
"Torrington, CT",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1300,1200,1000,962.5,950,975,987.5,1025,1000,1050,1050,950,1037.5,1150,1050
