"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Raleigh, NC",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,164900,154950,147450,161900,160950,169900,183700,176500,181200,150000,169900,172500,174900,170000,152750,162000,175000,199900,199000,190000,183650,169900,169900,164900,150000,169350,195000,189900,195000,219950,220000,229900
"Salt Lake City, UT",46,2e+05,199900,195000,199900,199000,195000,194500,192500,180000,179450,179900,172000,174900,179900,179900,175450,159900,158950,154900,154900,157950,164900,159900,156000,154900,155000,150000,140000,145000,149900,155000,163500,174900,176000,177000,174900,170000,175320,179900,186000,184500,189000,196000,199948.5,199850,207900,219900,220000,217000,212900,209900,214999,210000,218000,216600,219000,219000,220000,224450,225000,227900,231000,230000,239900,239900,239900,234224,240500,250000,250000,250000,249900,255950,257500,260000,259000,269900,259900,259000,264900,267900
"Grand Rapids, MI",47,137500,139800,138400,139900,144900,139900,139900,139000,139900,139900,136450,139900,135900,139900,139900,134900,130950,132905,130000,132950,134900,135000,134400,130500,129900,138900,139450,139900,144900,148900,145000,149900,149000,148900,149000,149000,149900,154400,154995,157400,154900,159900,159900,164500,174950,173900,169950,169900,171900,180000,182300,184900,184900,184900,183900,182700,189900,189900,185000,180000,189500,189900,194825,189900,193200,199900,209900,207000,199900,199900,201885,2e+05,210900,209947.5,209500,210000,215000,229900,235000,244900,250000
"Tucson, AZ",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,127500,127000,129900,129900,129900,129000,127500,129000,126900,125900,125000,128000,127500,127422.5,129900,131900,130000,129900,129450,129000,124900,124950,129000,129900,133500,129900,134700,132900,133900,132000,130000,129925,129900,128500,129000
"Urban Honolulu, HI",49,3e+05,309000,315000,319000,318000,315000,314900,320000,325000,312750,299000,299000,299400,288000,295000,288000,295000,295000,311700,324000,321900,325000,323000,325000,329000,329000,325840,325000,330000,330000,330000,335000,329450,329000,335000,330000,330000,348000,348000,354500,360000,338000,375000,379000,375000,369000,375000,373950,369000,375000,385000,380000,385000,370000,365000,365000,369000,369000,380000,385000,389000,390000,399000,395000,399000,398250,399000,399000,4e+05,410000,419000,420000,425000,395000,425000,429000,430000,449777,440000,440000,441000
"Tulsa, OK",50,68000,74450,69700,73080,74500,72000,79700,83000,79900,79900,79999.5,77000,79900,79900,78000,75000,73500,72875,79900,79900,78500,80000,77900,77500,77700,74900,74200,72950,71500,74000,74000,69900,69450,70000,72250,72250,72900,72000,72500,70900,65000,65000,64500,67500,68000,69000,68400,69900,70000,71000,71000,73999,69900,69250,70000,69000,68000,68750,72938.5,73500,76000,79900,73400,72500,72000,70000,67750,69000,68500,68500,69900,72700,75000,75000,75000,71350,74900,74900,77500,75700,75000
"Fresno, CA",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157450,145000,143000,135900,131000,139900,147000,144000,147450,134950,150000,159500,171200,175000,182000,175000,189900,185000,184250,174900,192450,193000,169700,170975,169000
"Worcester, MA",52,179900,199000,189900,189800,189000,179900,183500,185000,180000,179900,179900,174900,174900,174000,174900,179900,185000,189000,189000,185000,184900,184900,179900,179900,179950,182000,184900,189000,185000,189000,182500,179900,179500,184900,189900,184900,180250,184950,195000,199900,195000,199000,189900,197350,199000,189900,189450,179900,189900,209900,189900,189200,189900,189900,189900,190950,189900,189900,189900,189999,199900,199000,199000,195000,199900,198700,198000,194900,189900,189900,191250,194900,2e+05,196500,2e+05,210000,213450,214400,210900,205000,205000
"Stamford, CT",53,,,299615,298700,299000,299000,289900,295000,281250,275000,279700,269900,269500,269000,263500,254900,259000,259900,250900,254900,249900,250000,249900,245000,249250,258000,263000,259900,265000,264000,259900,249000,255000,249900,250000,245000,249900,253000,265000,269900,279900,279900,279900,275000,269900,269000,269000,266000,269000,269900,279000,290000,290000,285450,285000,280000,279900,282000,271497.5,261000,268900,269900,279999,291707.5,299000,299900,299000,298900,299700,299000,295000,285000,289900,295000,295000,305000,309900,319900,322947.5,320000,324000
"Albuquerque, NM",54,134000,133700,135000,139900,139899.5,138990,138990,139900,139900,130000,130000,130000,128900,128900,129900,126750,125000,126950,127450,130000,128000,128000,112500,112500,110000,109125,110000,109575,115000,115000,109500,114900,102500,105000,113500,111000,112000,119950,123245,123245,119000,125475,115000,117250,123400,114499.5,109500,109900,115000,118950,129271,129521,126900,124000,125000,119000,119900,110000,119000,115000,115000,115000,117450,129475,135000,134900,135000,134000,129950,132000,135000,136000,129000,135000,139500,139000,137900,139500,146000,131950,144482.5
