"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Panama City, FL",226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209900,205000,199900,209000,210000,214499,218900,213000,217375,219777.5,219900,218117,219900,215000,219900,224900,224500,229000,227500,230000,229000,230000,235000,232700,239000,233401.5,232400,229000,233805,233805,239000,242950,244900,243925,244000
"Kingston, NY",227,247250,249900,249900,249900,249900,259000,255000,250000,259000,259000,255000,250000,250000,249900,249900,240000,245000,245000,242500,241450,239900,239900,239000,225000,225000,219900,225000,224000,224900,224000,224625,219999.5,216000,215000,224000,225000,219000,219900,219000,224900,229000,229000,225000,225000,224250,220000,220000,219900,219000,219000,225000,228825,229000,225000,229000,229000,225000,225000,219900,218406,210000,217500,219900,219000,219250,219000,220900,220000,219900,219000,219000,219000,214900,212900,214900,216500,225000,229000,228000,227000,229900
"Daphne, AL",228,249062.5,249900,249000,244950,242500,239000,235000,214900,239000,235000,229900,229900,229900,224900,222050,224900,225000,229000,225000,229000,229900,229500,230000,239000,229900,229900,237500,230000,235000,234350,230000,224925,224900,229000,240065,239000,234900,236900,239900,239850,234900,239900,244900,240000,245000,247900,249500,247500,240000,245000,249000,249900,249900,250000,252020,249900,250000,249900,245000,249900,249900,255000,259900,264000,267975,267999,267999,269900,259000,265000,265900,265975,268500,282750,280000,280000,279900,284500,289000,289990,293500
"Gainesville, GA",229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,214961,207820,203990,209000,218900,224900,230000,225000,220000,212900,202195,199900,199900,199900,212095,201660,2e+05,209900,209000,2e+05,205000,209000,204900,210000,213677.5,218945,225000,229900,232000,234958,239000,229990,235000,235900
"Warner Robins, GA",230,149900,145700,145000,139850,137900,135450,136950,138450,144000,139000,129900,127000,131738,125000,132000,130000,126900,129900,124945,124900,125000,124500,119900,118825,117500,115250,121900,119900,119900,119900,119500,115500,115900,118250,125000,120000,125000,123000,125000,126000,129900,129900,130000,129000,125100,124900,119900,116900,119900,124900,127245,129900,134000,134250,129000,127000,124900,125000,125000,125000,131770,129900,132925,130000,132750,134000,132500,130000,133900,130000,129900,129000,127900,125000,127900,129995,133250,138500,135900,134900,134900
"Blacksburg, VA",231,188500,186150,189900,189800,189900,189900,191250,193900,193900,189900,189700,185000,184900,175000,184500,185000,185900,185000,183900,179999,185000,179950,179000,179999,179900,179900,181500,179900,179900,179900,179900,181750,178444,174900,179900,179000,175000,179900,179900,184900,183078,179000,178000,172950,169825,169900,169250,169500,182000,179900,179900,184950,187500,185900,182500,179900,180000,179900,175750,174000,169900,174950,182000,186000,185000,180000,179900,179000,185000,187900,189000,189000,179950,189900,190000,190250,189925,198500,193360,190000,189900
"Jacksonville, NC",232,187950,189000,189000,184900,186900,183900,182450,183950,184000,179900,178000,175950,175000,171450,173900,169900,169900,169900,169900,168000,165000,165900,168220,168900,169400,169400,169900,169900,166900,164900,163900,161900,159900,159900,159900,162000,162900,164000,165000,165500,169599.5,171000,169900,169900,169000,168500,169995,165000,169900,167500,169000,167900,167900,165950,164900,164961,165000,158900,157925,159000,157972.5,163950,163600,162000,159985,159250,159000,154673.5,155000,154900,154900,154900,155775,156950,160000,159950,158000,154900,150000,150000,149900
"Redding, CA",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,229900,234800,229750,244450,249500,249900,249900,249500,249000,248950,239900,235000,231900,235000,239500,249000,255000,259250,254900,219900,254500,249000,249900,249900,249000,243000,242000,249000,249800,250000,254900,259900,259000,255000
"Monroe, LA",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135450,139900,139900,144900,145000,147500,149000,149000,142500,139900,140000,136000,139700,139900,140000,144900,147500,150000,152450,151900,149900,150000,145000,148900,149900,148400,149450,159000,159000,162500,164000,161950,162000,169000,169900,169900,176000,183500,189900,189900,189900,191000,192000,189900
"Joplin, MO",235,105000,99900,99900,104450,106950,105000,104900,104900,102500,99900,95950,92900,90000,93250,94500,96000,99900,112700,114900,114900,112450,109900,109900,109000,108000,104500,99900,104900,105000,104793,102900,104500,99615,99730,99500,99900,99900,99900,1e+05,99999.5,104900,109500,109740,109900,111000,112500,109900,109900,109900,109900,110000,114900,118000,120000,123000,119900,122900,119900,119900,119900,119900,123661,124900,128000,129900,127000,122000,125000,124900,119900,119900,117000,119900,118431.5,124000,119900,119000,120402,124900,124900,119900
"El Centro, CA",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,150000,150000,150000,159900,167450,160000,175000,174950,177750,183000,189900,178000,181000,180000,185000,189900,184500,195000,199900,205000,199900,199900,196000,193900,198550,199900,197750,199000,207650,208300,215000,215000,214900,220589
"Terre Haute, IN",237,79900,79900,82900,82150,82900,79900,79900,79900,79900,79900,69900,72900,74200,78500,79500,79900,79900,80000,79900,79900,79900,77900,79900,73900,71250,72500,76900,72700,75000,78900,74950,70000,69900,69900,77500,76700,79900,79900,80100,81900,84500,84900,81900,82000,82000,79900,79900,79900,79400,79900,80750,85000,84900,88950,89500,84900,82900,79900,79900,79900,79900,84950,80000,79900,87900,89900,89900,89900,89500,88000,82900,79900,79900,84900,79000,83900,87400,87200,89900,89900,89900
"Muskegon, MI",238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,99900,97000,99250,99900,109900,114900,109900,108700,109250,109900,97950,89900,79900,84950,89900,99000,99900,107500,100400,109900,109900,109900,101950,99900,94700,89900,87900,96650,109900,119900,122900,129900,119900,119900
"East Stroudsburg, PA",239,189350,189900,189900,189900,189700,189000,188200,189700,196500,189900,190000,189000,184950,179900,179900,179900,178000,169900,169900,169000,169117.5,169900,169900,165000,159900,160000,159900,159900,159000,155900,155000,155000,150000,152000,154900,149900,149900,149900,154888,154900,155000,154000,154900,149999,149900,150000,149900,149900,148000,147000,149000,149900,149900,149900,149900,148000,145000,139900,134900,135000,129900,129900,134900,135000,139900,139994.5,140000,140000,144500,144900,143500,139000,139178,135250,134500,134900,139900,139900,139900,143050,148997
"Sioux City, IA",240,,,,,,,,,,,,,,,,,124900,119950,114950,111950,110000,109950,109900,107963,105000,109000,109900,107230,112500,114950,114000,112700,109500,109000,115000,114000,115000,114975,119950,124700,127500,132950,128250,129500,128500,125000,119900,118975,119970,119925,126900,129975,134950,133450,129000,129975,129950,129950,129245,127000,129490,125000,133500,135000,135000,139900,139950,139950,135000,139950,140000,144950,153450,148200,157950,159900,165000,166725,160000,155000,159000
"Greenville, NC",241,142000,142900,139900,139900,139950,139949.5,139900,140450,139900,134900,130000,127400,127950,126900,126400,126350,129500,128000,129500,129000,125000,120000,115000,114900,123000,124900,125900,123900,123900,124900,119900,118700,109900,112900,125500,125000,127000,127900,129900,129900,132500,132700,129900,131900,132000,131900,129900,129900,129999.5,132500,135000,139100,139900,139900,139900,139900,139900,139900,135900,136900,135000,137000,138000,134900,139500,135950,137900,139800,139000,138500,134950,132900,134900,138075,135000,139600,144500,147750,149900,149900,142500
"Waterloo, IA",242,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129999,130000,131500,129500,129500,129900,127700,132600,129950,134200,139000,134900,132500,132950,135960.5,134500,129995,129900,127900,125000,127500,129900,129700,134900,135000,139000,139900,136750,135000,139000,137500,134900,134900,137500,139000,139900,139900,139900,139500,139900,139900,139900,139900,139900,139900,140000,144500,139900,140500,144900,144900,144900,142500,144900
"Oshkosh, WI",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,149900,149900,149900,154900,159900,159900,165000,159900,159900,159900,159900,159900,164700,164900,164900,164900,164900,159900,159900,159900,164400,164900,169900,167900,159900,162500,166200,171900,169900,169950,166000,170450,169900,169000
"Yuba City, CA",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,234950,225000,229000,225000,237000,235000,235990,244950,240000,247250,242000,239900,225000,235500,244900,238500,245350,249000,245000,249000,245000,245990,249000,249888,245000,249900,249900,251000,252750,259900,263500,265000,264900,264900
"Abilene, TX",245,124900,126000,129800,129700,129000,129950,132900,129900,127500,124900,129400,122500,119000,125900,122500,127900,129900,134900,134500,130000,129999.5,129900,125000,119900,119999.5,129000,129925,127650,127950,127700,126900,120000,118500,124900,124900,121700,124700,125000,132900,132500,129900,135000,129900,127450,129900,125000,124900,121000,122000,129450,129900,132500,145000,149900,145000,143500,144900,140250,143900,140000,145000,150000,155000,160000,160000,155400,155000,157500,159500,155900,150000,149900,149900,149900,157500,157900,157900,160000,159900,154900,149900
"Columbia, MO",246,158950,159000,159950,159900,164900,164900,167900,169900,169900,169900,167740,162750,159000,157500,157500,154900,155000,159500,159500,155000,159000,159900,157900,155000,155900,159900,159900,159900,159900,159900,155500,158750,155000,154900,157500,153900,152900,159000,159900,167763.5,174250,174900,170000,174600,174900,175000,179000,174900,178000,175000,185000,185900,189250,186750,189900,189900,189000,190000,189900,189900,196500,189500,189500,192250,189900,188200,187000,184250,188900,185000,179900,179900,178950,185900,192450,195000,205000,210000,214900,210000,210000
"Dover, DE",247,204900,205000,2e+05,204990,196900,188000,189900,189900,196340,194500,192200,189900,189900,194900,189900,179900,189000,189900,189900,189900,184900,185000,184900,187000,186990,189900,189900,189990,195000,190450,192000,190000,192500,189900,199900,199900,199900,2e+05,206000,208950,210000,210000,212000,214000,216990,217000,219000,220000,213900,217000,219000,218000,219900,219900,218000,219900,219900,219900,219900,219900,222900,224900,224900,225000,224900,224900,225000,225000,227945,229500,222950,224900,225000,229900,229900,231900,234900,234900,234000,229900,229900
"Eau Claire, WI",248,159900,159900,159375,155000,159000,159900,159900,156900,159000,154900,149900,144900,142900,134900,139900,139900,143900,139900,139900,139000,135000,136000,134900,129500,120000,120450,129900,129900,134650,134900,134900,133000,129900,129900,134750,139900,140000,144900,149000,154900,159900,159000,154900,149900,154900,149900,145000,144900,145000,147200,147900,149900,154900,159500,159900,159900,159900,152900,149900,149500,149900,154795,159900,159900,164200,159900,159900,159900,159900,165000,167950,169900,169900,168900,174900,172000,176700,177000,174900,179900,184450
"Janesville, WI",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,107900,104250,109900,112950,117950,117500,118000,117000,119900,117000,114400,115900,114900,117000,117950,119900,122500,124900,127950,129900,129000,126200,119900,119900,119000,119900,124900,124900,125000,125000,125000,125000,129000,129900,125350,125000,120525,119900,125000,129000,134900,135000,134900,132900,129900
