"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Cortland, NY",592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129450,126850,119000,114950,114950,115500,120000,124500,129900,129450,119950,129900,129900,124900,121000,119900,119450,112750,115000,115950,117750,118750,120750,119000,107900,109250,109925,110000,117750,121950,125000,125000,126250,124900,124900
"Clinton, IA",593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84900,84000,76950,81700,89900,92500,95000,94250,99900,101000,99250,99000,98000,89900,99500,99900,85000,95000,99500,1e+05,1e+05,90000,86000,92000,89900,94900,96250,89900,89750,91150,89900,88750,85750,78500,87450,89700,89900,87900,87000,84500,89900,84500,89900,93250,94900,104900,107000,109900,119700,116500,104900
"Del Rio, TX",594,160200,149950,149950,150000,149450,153000,162450,168000,159000,159000,149000,144900,140000,135000,141450,158500,157250,145000,139750,149000,147500,149000,145000,145000,138000,135000,144500,145000,119950,119950,120500,128200,138950,139000,139900,140000,149900,139900,150000,158000,155000,154900,154900,154450,152000,149250,156500,150000,158950,161500,162000,169000,158950,162500,160000,158750,164500,163950,163950,163400,165000,167450,165000,169900,171900,182500,189100,191000,190450,187000,175000,169900,174900,175000,175000,182000,174950,178500,177650,169900,168000
"Clovis, NM",595,,,,,,,,,,,,,,,,,,,,,,,,,,,158450,164900,168750,174900,177500,171550,171200,167250,169900,169900,170000,169900,169995,175000,169990,169900,175900,165000,168500,162500,159900,159900,159900,160000,167350,169900,173200,169900,168500,168000,164990,164990,165000,165000,169900,169900,169700,176900,173800,179000,175000,174900,177750,175500,159900,159625,159900,159900,169000,175000,175000,175000,172500,169500,165000
"Norfolk, NE",596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109500,114950,108000,109950,117000,109950,116000,114900,113000,114900,1e+05,115700,119900,115975,113475,124500,122200,122200,119925,122975,118250,119000,117500,117950,135000,142900,139900,139900,139900,142222,139900,143361,154800,149900,149900,148500,142950,152225,164900,178000,169900,169900,169900
"Washington, NC",597,205000,209500,218500,205000,199900,199900,199000,199900,194900,195000,189900,184500,185000,189250,184000,179900,189900,189500,184000,185000,193500,195000,189500,185000,199000,199000,199000,189250,187000,185000,184950,181450,178000,178000,189900,189900,199900,199900,198000,199900,199900,198500,178000,178000,185000,184250,184500,191950,189900,184450,184949.5,189000,189000,189000,186000,187000,189000,189000,185000,185000,185000,190000,198500,199900,209900,199000,194750,194750,198250,198000,195000,193000,195000,195450,199500,198500,199450,194900,199000,196400,199945
"Corsicana, TX",598,134900,136250,139900,139500,136075,149000,145750,135900,135000,134950,139500,130000,125000,126950,124900,125750,124900,125000,125000,120250,126000,124900,119950,119900,119900,119950,121900,124900,115000,118000,119900,129900,129900,136625,139900,139900,143450,142450,140000,139900,139900,144900,139700,135900,139900,139999,149000,148250,146250,154900,148450,145000,148900,152900,149900,145750,148175,149175,143250,147200,149900,144900,152400,169500,169500,159000,169500,167900,177450,169900,175000,167500,158900,155000,164500,169900,172400,176000,179900,189000,193000
"Freeport, IL",599,105900,99900,109000,111000,109900,109638.5,109900,109000,103950,99900,99900,96900,94900,94900,93500,99900,99900,109400,109650,105000,103900,99900,98950,91700,94950,92900,94700,94900,99900,97999.5,95000,98450,94900,89900,89900,89900,89900,84900,85000,89900,89900,92500,92900,92288,89997,89900,89000,89250,89250,93650,97900,98750,99900,99900,97500,94900,93750,94945,92314,89000,89826,88900,92500,92900,99900,104900,104900,96250,94900,92900,88900,85000,86000,87400,89900,92500,94250,94900,93900,90000,89900
"Starkville, MS",600,194500,194250,194700,195000,199900,209000,209000,209900,209800,199000,199000,202400,206900,198450,205900,199700,206000,213749.5,195950,189700,179000,177750,174000,174900,184900,172000,170000,179900,170000,174000,179900,176950,179900,174950,182500,177450,179900,179900,179900,179900,184950,183500,179900,170000,176500,178950,169900,169900,169900,175000,179900,177000,183850,179900,179700,179900,176950,194500,189900,189000,192500,192900,199000,2e+05,199000,199000,209000,202450,199500,195900,189900,179950,179900,192500,207750,222450,219900,229900,235700,235900,239000
"Burlington, IA",601,86750,95300,90450,99900,99900,98400,99900,104900,109900,109900,106450,99700,91900,104750,102000,95000,105500,104900,104000,99900,95000,97600,89900,84950,88375,89500,89900,89900,99900,105000,104450,99900,99900,95000,96877.5,90950,99900,99900,99900,104500,107100,107100,106050,99950,99500,95000,94600,97450,95700,97950,104900,113900,110250,129900,117000,116900,115000,114450,113400,110950,110000,109900,113900,117000,115000,109900,109900,109900,109900,106000,99900,96250,95000,98000,99900,1e+05,103500,99900,108450,107450,115000
