"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Pittsburgh, PA",22,75000,79900,80000,84550,85900,86900,85000,86000,89900,88000,85000,84900,84500,85000,85000,86400,84900,84999,87000,84900,84900,82500,84900,84900,80000,82500,84900,85900,88900,85900,84900,82500,79900,79900,88900,88700,89000,89900,90000,94000,94500,94900,94900,91500,89900,89900,85000,87000,88250,89700,89900,92000,93000,95000,94900,90000,89900,89900,89900,88750,89900,89900,90200,94900,99887,99000,98000,94250,92000,89900,89900,89900,89900,89900,90000,99800,98978,98250,95000,95000,96500
"Portland, OR",23,195500,194900,198700,199000,193000,194900,190000,189900,189500,169900,164900,159850,150000,150000,157000,149000,144900,145000,145900,149900,145250,139000,140000,136900,135500,138900,145000,149900,149000,149900,150000,159000,155000,169900,176180,179000,179999,189900,193075,199900,205900,215000,215000,214999.5,215000,214000,208750,205000,205000,209900,214900,220000,219000,229900,229250,229900,229900,224900,219900,214500,214972.5,219900,224900,225000,232700,239900,235200,239900,244900,249000,249000,244250,239999,249900,255000,269900,274950,275000,279000,279900,284900
"Charlotte, NC",24,109900,110000,109900,109999,109900,109900,109900,1e+05,110000,100950,98900,96900,94995,95000,95500,94900,94900,97900,98000,99000,93650,90000,94900,91800,94500,94949.5,96900,92500,89900,89000,89900,89900,88900,89000,97500,97950,99500,101995,105900,109900,107900,105000,1e+05,1e+05,104000,108950,104900,102900,99900,1e+05,105500,108975,110000,112900,112000,111900,110000,110000,109547.5,107700,109300,112500,113900,119500,120000,123900,128900,127000,129000,129900,133000,134900,140000,144490,145000,140490,148500,160000,155000,154900,153219
"San Antonio, TX",25,89900,93500,95000,95000,98000,99000,99900,99100,102700,1e+05,99900,99500,98250,98625,96800,98500,98600,99500,99000,98500,93995,87950,94000,89500,89997,89500,89000,89000,89000,94000,95000,95000,90000,89900,94900,96448.5,95000,95900,99000,104900,110000,115000,113987.5,109900,108250,114900,111000,116000,115000,114555,115000,119000,119900,116950,119000,119000,119000,110250,112500,118500,115000,119950,119950,120000,124500,129999.5,135250,134000,149949.5,131655,132000,129950,131000,133500,134900,139995,146750,154000,154500,145950,145000
"Orlando, FL",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000,75000,76360,78000,77950,79500,80000,80000,85000,89900,89000,90000,87500,88000,89900,94900,93250,94900,95950,98000,102000,109500,111900,112000,119000,119900,119800,118850,120000,122000,120900,120000,125000,125000,125900
"Cincinnati, OH",27,95900,98000,98000,97500,94900,92000,89900,90000,95000,92000,89900,85000,85000,84900,85825,88950,89500,89844,87500,86000,85500,85000,86900,84900,84900,82900,84900,84900,84500,84900,80000,79900,79900,79900,89900,89900,90000,90000,91450,93500,95000,93300,92250,89900,90000,92900,91000,92500,91900,91500,95000,97500,98900,99900,98687.5,98000,99000,99900,99700,95000,96500,97500,96900,99450,99900,99000,99900,1e+05,104900,1e+05,1e+05,99900,104900,99900,99900,107000,104900,104900,105000,99900,100469
"Cleveland, OH",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,80000,82000,85000,87000,88500,85900,84900,84500,82900,82500,82000,80000,82900,85000,89500,89900,89000,88500,89500,87500,84327.5,79900,79900,79900,79900,82250,84900,84900,85000,84900,84950,84900,84000,79999,79900,79900,83200,88900,90450,95000,94900,94500,89900,89900
"Kansas City, MO",29,95000,97950,99900,99000,95000,94997,95000,95000,97500,94998.5,92900,90000,88000,89500,87500,88750,89900,89700,87500,87500,84200,80000,79950,77950,75000,76500,78000,76500,75000,69900,66400,65000,62450,64000,75000,75000,75000,74997.5,77777,82000,84250,84000,84000,80000,79900,79500,75000,70000,69900,74900,76750,80000,85000,85000,84900,84900,81000,82700,80800,79825.5,76250,78700,88000,90000,89900,88250,89900,85900,85000,85000,83000,79900,83700,85000,89600,94500,97500,99000,97000,95000,94999.5
"Las Vegas, NV",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114000,110000,111900,115000,116500,115000,116900,113985,121000,124900,125000,120000,120000,124900,127500,128000,129900,134900,130600,131000,132000,134900,134900,136650,138900,138000,144900,147500,148000,148500,148900,150000,155000,159900
"Columbus, OH",31,98000,99500,99900,99900,99900,99900,99900,99900,99999,95900,89000,85900,76225,84900,85000,88900,90500,90000,89900,89900,87900,79900,79900,75250,79900,79900,84900,89000,91000,92500,89900,89700,84900,87000,89900,93000,92500,95000,95000,97900,99000,99500,99900,99900,96950,96000,93750,94900,91900,95000,99900,102950,104900,109500,109000,105900,104999,104900,99900,95000,98950,99900,105000,107900,114900,114900,114900,113900,114900,110000,109900,108500,109700,114900,119900,124900,119949.5,119900,120000,120600,120750
