"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Augusta, ME",224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,142900,137500,137500,130000,126750,129900,132500,139900,149900,163000,167500,181150,187000,174600,174900,167500,163200,172450,169900,169000,174900,175000,179450,179900,167450,167450,167250,148500,154950,139900,159900,163900,179900,167500,154900,149000
"Staunton, VA",225,382000,394900,389900,389900,379900,369900,369900,369900,359900,369900,369900,379900,350000,359900,362400,359900,359900,367500,376450,350000,329950,319900,299000,299700,299000,319430,342450,315000,303950,329700,308000,308000,329900,299900,308000,324900,303950,299900,299000,299900,319900,299450,299000,295000,304450,325000,294900,325000,334700,329900,320000,355000,380500,382000,359450,357000,349000,335000,380750,394900,382000,379500,377250,365450,358000,353500,350000,322000,349450,349450,344900,350000,364900,377450,365000,364900,349900,349500,352500,350000,358750
"Albany, OR",226,269900,265000,259000,256950,254900,254900,254900,259000,259500,252450,238500,238000,233950,254900,252450,256950,216900,224900,224800,219900,224850,209900,192499.5,195000,195000,215000,222450,229000,195000,199900,229000,199900,224997.5,239000,239450,224900,224000,224900,237400,249900,235000,249900,245000,236000,234950,217450,239000,234450,245000,250000,259000,265000,249000,249450,265000,259970,257485,255000,252500,252500,269900,265000,259900,255000,269900,308000,309000,299900,303950,327000,271750,279900,279900,265000,259000,263900,262500,287450,279000,287000,301950
"Watertown, NY",227,,,,,,,,,,,,,,,,199750,199000,199250,219250,209500,199700,195000,228000,229000,199000,199450,216000,210000,224900,229900,247750,247500,229000,222450,235000,224900,219000,209450,199000,214800,199450,199450,197000,189950,177900,177900,178900,176800,175000,184850,179900,189949.5,189900,202450,199000,192000,188500,197900,199900,185000,197000,199950,194450,176600,174900,169999,168250,169900,165900,168400,167900,162250,153900,149900,149900,153450,164750,167900,159900,162000,160000
"Bismarck, ND",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369900,379900,379900,374900,409900,399000,394900,385000,414900,409900,414900,417400,399900,392900,389000,389450,379000,379000,379450,404950,410000,417450,420450,399900,389900,385000,393950,388000,380950,368900,355000,380000,394000
"Dunn, NC",229,271900,289950,295000,309900,309900,302750,296500,309450,298200,304450,299900,289900,282450,251500,251700,239945,238990,259945,246400,239900,245990,239900,233750,232625,234900,239900,239950,236900,229900,237945,239950,249945,254900,248845,259945,254900,254900,259900,259900,259900,259900,254900,259900,259900,259900,259900,259700,259700,258900,259900,259900,259900,259900,262445,264900,259900,259700,255000,261150,259900,262500,259900,249100,249000,248700,252500,249000,245000,270900,249000,249850,249700,247700,249900,249700,249900,255000,259300,262000,264700,269900
"Ogdensburg, NY",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,134450,139000,138250,139900,145000,139900,139000,144450,139900,135000,139000,139900,139450,147000,145000,129000,138500,136500,129900,129000,124950
"Wenatchee, WA",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474450,457000,457000,522000,499000,559000,589500,579000,524475,578000,524925,498250,532000,525000,561950,594450,625000,579900,519900,495000,494000,489000,499250,459900,469900,447400,429950,429900,434950,485000
"Lawrence, KS",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,399900,399900,379900,392500,384450,397450,389900,397500,399925,399450,399925,399900,404500,387450,384950,389900,387450,389900,399900
"Missoula, MT",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489000,489000,429450,427400,492000,492000,469950,450000,429000,399000,390000,382000,429000,433750,429000,454450,489000,489000,499000,499000,547500,512499.5,499500,475000,450000,465000,449950,449900,449900,450000,470000,482450,449950,450000,477000,454950,449900,489900,499700,499250,519000
"Lewiston, ME",234,159900,157950,159950,155000,155000,155000,159900,155000,159900,157450,159900,150000,149900,149900,149000,139900,139900,149900,139900,148900,150000,148900,145000,139900,139950,129950,145000,145000,139900,139900,139735,139950,140000,143500,149900,150000,150000,152500,148000,150000,149950,150000,155000,149900,147950,143650,142900,141450,129950,136250,138200,134500,134750,138000,127500,125000,115900,120000,129900,123700,123700,123700,128950,127750,129900,139900,139900,139900,139900,155000,157000,144900,154900,149900,139900,130000,126250,125000,119900,127450,125000
"Ithaca, NY",235,,,,,,,,,,,,,,,,,,,,,,,,,,,342500,325000,299500,3e+05,299000,329900,325000,325000,343475,385000,385000,385000,379000,325000,318888,327200,287950,319500,327450,327450,324900,288500,318750,344500,379900,375000,350000,347000,319000,324000,339250,339500,374500,362000,388500,389325.5,388750,365000,351500,331250,349900,344194,338888,354900,367450,374450,399900,399900,412450,379000,399000,396500,391500,388000,386500
"Ashtabula, OH",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127450,124950,139900,138200,136500,126950,138200,136950,124900,119950,116950,124950,129000,137400,126950,120000,121450,113000
"Twin Falls, ID",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215490,218795,228195,239450,239000,243950,249000,249900,247000,235490,232250,256195,249900,249900,247450,241400,239900,277000,243900,239500,242000,269900,299450,319725,299900,299900,282500,299900,299900,299949.5,312490,309900,309900
"Truckee, CA",238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,662000,689500,679000,689000,689500,785000,679000,698000,699990,749000,677000,675000,659475,671500,674000,725000,795000,709900
"Paducah, KY",239,,,,,,,,,,,,,,,,,,,,,,,,251400,274000,279500,274000,276750,279750,309000,294450,269000,267000,257450,269000,267000,254950,262500,285000,3e+05,275000,317500,299500,299500,285249.5,295499,304800,356200,328700,342500,369900,369900,359900,364450,369900,334500,329000,292000,285000,295500,290250,295500,340000,369900,349900,349900,345950,349900,352450,359000,364900,364900,408650,416200,405000,399900,379000,374000,336950,324900,339000
"Ocean City, NJ",240,1197000,1195000,1099000,1172000,1095000,1099000,1114500,1100000,1149000,1100000,1100000,1100000,1097000,1099000,999900,995000,960000,947000,995000,995000,977450,949900,954999.5,980000,995000,1050000,1100000,1100000,995000,967450,949900,949900,949450,959000,979000,972400,949900,949900,899900,914500,949950,991250,997500,949000,989000,975000,999000,989000,949000,975000,949000,939000,992000,962499.5,899000,912450,975000,949999.5,950000,950000,950000,929000,950000,949999,949999,949949.5,994450,994450,1040000,1049500,1047000,1021450,999900,995000,995000,989000,999000,999499.5,999999.5,1049000,1050000
"Mankato, MN",241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292400,279900,274900,269900,299900,309900,287500,329900,292200,289900,265000,299900,269900,267700
"Hot Springs, AR",242,,,,,,,,,,,,,,,,425000,468750,425000,434000,429000,454450,429000,419950,367400,389900,379000,413750,449500,504000,497000,526800,499450,497000,487000,497000,475000,499000,499000,499000,499000,499000,519950,499000,499000,489000,499000,499000,496250,497000,489000,497000,499000,495000,482000,442450,449900,454500,472500,454450,460000,454450,464500,449000,495000,475000,449900,455000,449000,457000,444450,439000,449900,429000,435000,429000,442450,449900,449900,485750,495000,493500
"Greenwood, SC",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367000,344250,349000,349000,382000,417450,372000,349900,325000,349900,379900,344450,369900,427450,389900,327800,331400,335000,331400,389900,399000,397000,392500,425000,425500,432950,412450,387400,364000,364000,329500,339900,321249.5,329000,319999,321249.5,337450,324500,316950,321750,321750,319000,314700,314500,3e+05,314500,304950,304950,324900,359999,372900
"Manhattan, KS",244,,244400,264900,273975,259000,252450,249900,243250,249000,278000,259000,246000,249900,279000,276950,289950,295000,277250,269700,274500,268000,259900,259900,275000,259400,264900,269000,265000,266425,268000,272000,274750,263425,270900,273200,259900,259900,259900,259900,262400,263224,259900,254450,254900,258000,240000,245000,254900,3e+05,279900,269400,266950,275950,270950,270950,274900,269200,260000,269200,277450,266750,262400,279950,279700,284995,279500,281950,279900,298000,319900,327000,319900,322400,315000,314900,335725,345000,343500,341250,337850,335300
"Brainerd, MN",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404700,410000,389500,417450,377400,359900,374900,349900,319950,299900,299450,349900,327450,339900,369845,379900,374900,349900,389900,410000,404950
"Kalispell, MT",246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637250,599000,599000,599000,599000,598950,622450,650000,598900,588950,630000,729000,689000,577000,579000,575000,579000,598900,599000,649000,699000,689500,699000,689500,699000,687500,684950,672000,651950,599000,599000,599000,612000,625000,639000,659475,663250,659000,667500,649950,649975,649975,649000,669000,741000
"Sevierville, TN",247,464500,479900,498000,498250,469900,479900,482450,459500,479900,469450,498000,499000,498500,469900,479900,482887.5,459900,459450,459000,449000,439900,449000,429000,439900,449450,449000,449000,449000,410000,449000,399900,399900,399900,399900,429000,442900,447450,429000,455000,455000,452500,487450,455950,462950,465950,514250,534000,509500,485000,455000,475000,474900,485000,452450,479950,474900,449900,459450,493500,487000,485000,469000,429000,485000,487000,499900,495000,499900,494400,479000,450000,471950,494500,495000,499700,497250,495000,469000,512400,499800,499800
"Moses Lake, WA",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,234900,239900,239900,238450,239450,247950,250000,250000,265000,265000,282500,265000,265000,272500,289000,249900,284400,277450,289450,278500,284000,279000,279000,274000,273500,276500,276000,269000,279000,270000
"Pinehurst-Southern Pines, NC",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372450,369450,382500,390950,397450,399950,360000,367450,369900,382000,379000,372450,397950,399950,399000,416850,396900,399000,396900,396900,415000,449900,428450,397950,389900,389900,394000,388650,391950,389450,413725,408750,419000,406875,4e+05,398950,379850,398750,379603,399900
"Hermiston-Pendleton, OR",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199900,199250,199000,199500,215000,227200,222200,235000,249000,249250,249500
